"ticker","date","value","field","variable"
"MXAP Index",1987-12-31,100,"PX LAST","Asia Pacific"
"MXAP Index",1988-01-29,104.92,"PX LAST","Asia Pacific"
"MXAP Index",1988-02-29,112.25,"PX LAST","Asia Pacific"
"MXAP Index",1988-03-31,120.91,"PX LAST","Asia Pacific"
"MXAP Index",1988-04-29,122.42,"PX LAST","Asia Pacific"
"MXAP Index",1988-05-31,117.72,"PX LAST","Asia Pacific"
"MXAP Index",1988-06-30,113.76,"PX LAST","Asia Pacific"
"MXAP Index",1988-07-29,118.85,"PX LAST","Asia Pacific"
"MXAP Index",1988-08-31,109.99,"PX LAST","Asia Pacific"
"MXAP Index",1988-09-30,114.16,"PX LAST","Asia Pacific"
"MXAP Index",1988-10-31,123.43,"PX LAST","Asia Pacific"
"MXAP Index",1988-11-30,133.48,"PX LAST","Asia Pacific"
"MXAP Index",1988-12-30,134.16,"PX LAST","Asia Pacific"
"MXAP Index",1989-01-31,135.39,"PX LAST","Asia Pacific"
"MXAP Index",1989-02-28,137.04,"PX LAST","Asia Pacific"
"MXAP Index",1989-03-31,132.66,"PX LAST","Asia Pacific"
"MXAP Index",1989-04-28,132.79,"PX LAST","Asia Pacific"
"MXAP Index",1989-05-31,125.38,"PX LAST","Asia Pacific"
"MXAP Index",1989-06-30,119.81,"PX LAST","Asia Pacific"
"MXAP Index",1989-07-31,135.24,"PX LAST","Asia Pacific"
"MXAP Index",1989-08-31,126.91,"PX LAST","Asia Pacific"
"MXAP Index",1989-09-29,134.58,"PX LAST","Asia Pacific"
"MXAP Index",1989-10-31,130.93,"PX LAST","Asia Pacific"
"MXAP Index",1989-11-30,137.15,"PX LAST","Asia Pacific"
"MXAP Index",1989-12-29,137.31,"PX LAST","Asia Pacific"
"MXAP Index",1990-01-31,129.55,"PX LAST","Asia Pacific"
"MXAP Index",1990-02-28,117.05,"PX LAST","Asia Pacific"
"MXAP Index",1990-03-30,96.19,"PX LAST","Asia Pacific"
"MXAP Index",1990-04-30,96.7,"PX LAST","Asia Pacific"
"MXAP Index",1990-05-31,110.03,"PX LAST","Asia Pacific"
"MXAP Index",1990-06-29,105.63,"PX LAST","Asia Pacific"
"MXAP Index",1990-07-31,104.9,"PX LAST","Asia Pacific"
"MXAP Index",1990-08-31,94.68,"PX LAST","Asia Pacific"
"MXAP Index",1990-09-28,79.66,"PX LAST","Asia Pacific"
"MXAP Index",1990-10-31,96.51,"PX LAST","Asia Pacific"
"MXAP Index",1990-11-30,85.76,"PX LAST","Asia Pacific"
"MXAP Index",1990-12-31,89.42,"PX LAST","Asia Pacific"
"MXAP Index",1991-01-31,92.15,"PX LAST","Asia Pacific"
"MXAP Index",1991-02-28,103.48,"PX LAST","Asia Pacific"
"MXAP Index",1991-03-29,97.99,"PX LAST","Asia Pacific"
"MXAP Index",1991-04-30,100.35,"PX LAST","Asia Pacific"
"MXAP Index",1991-05-31,99.85,"PX LAST","Asia Pacific"
"MXAP Index",1991-06-28,93.26,"PX LAST","Asia Pacific"
"MXAP Index",1991-07-31,96.22,"PX LAST","Asia Pacific"
"MXAP Index",1991-08-30,91.27,"PX LAST","Asia Pacific"
"MXAP Index",1991-09-30,98.13,"PX LAST","Asia Pacific"
"MXAP Index",1991-10-31,102.17,"PX LAST","Asia Pacific"
"MXAP Index",1991-11-29,95.69,"PX LAST","Asia Pacific"
"MXAP Index",1991-12-31,98.6,"PX LAST","Asia Pacific"
"MXAP Index",1992-01-31,95,"PX LAST","Asia Pacific"
"MXAP Index",1992-02-28,88.46,"PX LAST","Asia Pacific"
"MXAP Index",1992-03-31,80.23,"PX LAST","Asia Pacific"
"MXAP Index",1992-04-30,76.56,"PX LAST","Asia Pacific"
"MXAP Index",1992-05-29,82.19,"PX LAST","Asia Pacific"
"MXAP Index",1992-06-30,75.99,"PX LAST","Asia Pacific"
"MXAP Index",1992-07-31,74.83,"PX LAST","Asia Pacific"
"MXAP Index",1992-08-31,84.51,"PX LAST","Asia Pacific"
"MXAP Index",1992-09-30,82.76,"PX LAST","Asia Pacific"
"MXAP Index",1992-10-30,80.16,"PX LAST","Asia Pacific"
"MXAP Index",1992-11-30,81.44,"PX LAST","Asia Pacific"
"MXAP Index",1992-12-31,80.44,"PX LAST","Asia Pacific"
"MXAP Index",1993-01-29,80.32,"PX LAST","Asia Pacific"
"MXAP Index",1993-02-26,84.05,"PX LAST","Asia Pacific"
"MXAP Index",1993-03-31,93.64,"PX LAST","Asia Pacific"
"MXAP Index",1993-04-30,108.29,"PX LAST","Asia Pacific"
"MXAP Index",1993-05-31,111.36,"PX LAST","Asia Pacific"
"MXAP Index",1993-06-30,109.54,"PX LAST","Asia Pacific"
"MXAP Index",1993-07-30,115.79,"PX LAST","Asia Pacific"
"MXAP Index",1993-08-31,119.24,"PX LAST","Asia Pacific"
"MXAP Index",1993-09-30,114.92,"PX LAST","Asia Pacific"
"MXAP Index",1993-10-29,118.03,"PX LAST","Asia Pacific"
"MXAP Index",1993-11-30,102.02,"PX LAST","Asia Pacific"
"MXAP Index",1993-12-31,109.95,"PX LAST","Asia Pacific"
"MXAP Index",1994-01-31,121.5,"PX LAST","Asia Pacific"
"MXAP Index",1994-02-28,124.06,"PX LAST","Asia Pacific"
"MXAP Index",1994-03-31,116.85,"PX LAST","Asia Pacific"
"MXAP Index",1994-04-29,121.63,"PX LAST","Asia Pacific"
"MXAP Index",1994-05-31,124.7,"PX LAST","Asia Pacific"
"MXAP Index",1994-06-30,128.27,"PX LAST","Asia Pacific"
"MXAP Index",1994-07-29,125.98,"PX LAST","Asia Pacific"
"MXAP Index",1994-08-31,128.69,"PX LAST","Asia Pacific"
"MXAP Index",1994-09-30,125.39,"PX LAST","Asia Pacific"
"MXAP Index",1994-10-31,128.46,"PX LAST","Asia Pacific"
"MXAP Index",1994-11-30,121.04,"PX LAST","Asia Pacific"
"MXAP Index",1994-12-30,121.44,"PX LAST","Asia Pacific"
"MXAP Index",1995-01-31,113.34,"PX LAST","Asia Pacific"
"MXAP Index",1995-02-28,110.88,"PX LAST","Asia Pacific"
"MXAP Index",1995-03-31,118.36,"PX LAST","Asia Pacific"
"MXAP Index",1995-04-28,122.82,"PX LAST","Asia Pacific"
"MXAP Index",1995-05-31,119.09,"PX LAST","Asia Pacific"
"MXAP Index",1995-06-30,114.28,"PX LAST","Asia Pacific"
"MXAP Index",1995-07-31,121.88,"PX LAST","Asia Pacific"
"MXAP Index",1995-08-31,117.08,"PX LAST","Asia Pacific"
"MXAP Index",1995-09-29,117.98,"PX LAST","Asia Pacific"
"MXAP Index",1995-10-31,112.46,"PX LAST","Asia Pacific"
"MXAP Index",1995-11-30,116.86,"PX LAST","Asia Pacific"
"MXAP Index",1995-12-29,122.49,"PX LAST","Asia Pacific"
"MXAP Index",1996-01-31,123.21,"PX LAST","Asia Pacific"
"MXAP Index",1996-02-29,121.97,"PX LAST","Asia Pacific"
"MXAP Index",1996-03-29,125.18,"PX LAST","Asia Pacific"
"MXAP Index",1996-04-30,131.54,"PX LAST","Asia Pacific"
"MXAP Index",1996-05-31,126.04,"PX LAST","Asia Pacific"
"MXAP Index",1996-06-28,125.82,"PX LAST","Asia Pacific"
"MXAP Index",1996-07-31,119.36,"PX LAST","Asia Pacific"
"MXAP Index",1996-08-30,116.51,"PX LAST","Asia Pacific"
"MXAP Index",1996-09-30,119.69,"PX LAST","Asia Pacific"
"MXAP Index",1996-10-31,113.78,"PX LAST","Asia Pacific"
"MXAP Index",1996-11-29,116.82,"PX LAST","Asia Pacific"
"MXAP Index",1996-12-31,111.16,"PX LAST","Asia Pacific"
"MXAP Index",1997-01-31,103.45,"PX LAST","Asia Pacific"
"MXAP Index",1997-02-28,105.29,"PX LAST","Asia Pacific"
"MXAP Index",1997-03-31,101.18,"PX LAST","Asia Pacific"
"MXAP Index",1997-04-30,103.16,"PX LAST","Asia Pacific"
"MXAP Index",1997-05-30,111.88,"PX LAST","Asia Pacific"
"MXAP Index",1997-06-30,118.72,"PX LAST","Asia Pacific"
"MXAP Index",1997-07-31,116.33,"PX LAST","Asia Pacific"
"MXAP Index",1997-08-29,103.53,"PX LAST","Asia Pacific"
"MXAP Index",1997-09-30,102.59,"PX LAST","Asia Pacific"
"MXAP Index",1997-10-31,89.45,"PX LAST","Asia Pacific"
"MXAP Index",1997-11-28,84,"PX LAST","Asia Pacific"
"MXAP Index",1997-12-31,79.98,"PX LAST","Asia Pacific"
"MXAP Index",1998-01-30,83.79,"PX LAST","Asia Pacific"
"MXAP Index",1998-02-27,87.5,"PX LAST","Asia Pacific"
"MXAP Index",1998-03-31,82.98,"PX LAST","Asia Pacific"
"MXAP Index",1998-04-30,80.91,"PX LAST","Asia Pacific"
"MXAP Index",1998-05-29,74.66,"PX LAST","Asia Pacific"
"MXAP Index",1998-06-30,73.6,"PX LAST","Asia Pacific"
"MXAP Index",1998-07-31,72.49,"PX LAST","Asia Pacific"
"MXAP Index",1998-08-31,63.59,"PX LAST","Asia Pacific"
"MXAP Index",1998-09-30,63.75,"PX LAST","Asia Pacific"
"MXAP Index",1998-10-30,74.5,"PX LAST","Asia Pacific"
"MXAP Index",1998-11-30,78.49,"PX LAST","Asia Pacific"
"MXAP Index",1998-12-31,80.82,"PX LAST","Asia Pacific"
"MXAP Index",1999-01-29,81.38,"PX LAST","Asia Pacific"
"MXAP Index",1999-02-26,79.55,"PX LAST","Asia Pacific"
"MXAP Index",1999-03-31,89.37,"PX LAST","Asia Pacific"
"MXAP Index",1999-04-30,96,"PX LAST","Asia Pacific"
"MXAP Index",1999-05-31,90.93,"PX LAST","Asia Pacific"
"MXAP Index",1999-06-30,100.35,"PX LAST","Asia Pacific"
"MXAP Index",1999-07-30,106.49,"PX LAST","Asia Pacific"
"MXAP Index",1999-08-31,105.99,"PX LAST","Asia Pacific"
"MXAP Index",1999-09-30,108.92,"PX LAST","Asia Pacific"
"MXAP Index",1999-10-29,112.81,"PX LAST","Asia Pacific"
"MXAP Index",1999-11-30,118.77,"PX LAST","Asia Pacific"
"MXAP Index",1999-12-31,126.49,"PX LAST","Asia Pacific"
"MXAP Index",2000-01-31,121.95,"PX LAST","Asia Pacific"
"MXAP Index",2000-02-29,118.86,"PX LAST","Asia Pacific"
"MXAP Index",2000-03-31,126.35,"PX LAST","Asia Pacific"
