"ticker","date","value","field","variable","nice_field"
"MXAP Index",1995-10-31,1.7071,"PX TO BOOK RATIO","Asia Pacific","PB Ratio"
"MXAP Index",1995-11-30,1.7756,"PX TO BOOK RATIO","Asia Pacific","PB Ratio"
"MXAP Index",1995-12-29,1.8611,"PX TO BOOK RATIO","Asia Pacific","PB Ratio"
"MXAP Index",1996-01-31,1.8623,"PX TO BOOK RATIO","Asia Pacific","PB Ratio"
"MXAP Index",1996-02-29,1.8446,"PX TO BOOK RATIO","Asia Pacific","PB Ratio"
"MXAP Index",1996-03-29,1.891,"PX TO BOOK RATIO","Asia Pacific","PB Ratio"
"MXAP Index",1996-04-30,1.9958,"PX TO BOOK RATIO","Asia Pacific","PB Ratio"
"MXAP Index",1996-05-31,1.914,"PX TO BOOK RATIO","Asia Pacific","PB Ratio"
"MXAP Index",1996-06-28,1.9133,"PX TO BOOK RATIO","Asia Pacific","PB Ratio"
"MXAP Index",1996-07-31,2.0018,"PX TO BOOK RATIO","Asia Pacific","PB Ratio"
"MXAP Index",1996-08-30,1.954,"PX TO BOOK RATIO","Asia Pacific","PB Ratio"
"MXAP Index",1996-09-30,2.0073,"PX TO BOOK RATIO","Asia Pacific","PB Ratio"
"MXAP Index",1996-10-31,2.0893,"PX TO BOOK RATIO","Asia Pacific","PB Ratio"
"MXAP Index",1996-11-29,2.1437,"PX TO BOOK RATIO","Asia Pacific","PB Ratio"
"MXAP Index",1996-12-31,2.0398,"PX TO BOOK RATIO","Asia Pacific","PB Ratio"
"MXAP Index",1997-01-31,1.8711,"PX TO BOOK RATIO","Asia Pacific","PB Ratio"
"MXAP Index",1997-02-28,1.9043,"PX TO BOOK RATIO","Asia Pacific","PB Ratio"
"MXAP Index",1997-03-31,1.8291,"PX TO BOOK RATIO","Asia Pacific","PB Ratio"
"MXAP Index",1997-04-30,1.8465,"PX TO BOOK RATIO","Asia Pacific","PB Ratio"
"MXAP Index",1997-05-30,1.9711,"PX TO BOOK RATIO","Asia Pacific","PB Ratio"
"MXAP Index",1997-06-30,2.0938,"PX TO BOOK RATIO","Asia Pacific","PB Ratio"
"MXAP Index",1997-07-31,2.1834,"PX TO BOOK RATIO","Asia Pacific","PB Ratio"
"MXAP Index",1997-08-29,1.9431,"PX TO BOOK RATIO","Asia Pacific","PB Ratio"
"MXAP Index",1997-09-30,1.9255,"PX TO BOOK RATIO","Asia Pacific","PB Ratio"
"MXAP Index",1997-10-31,1.6789,"PX TO BOOK RATIO","Asia Pacific","PB Ratio"
