"ticker","date","value","field","variable","nice_field"
"MXAP Index",1987-12-31,100,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1988-01-29,104.92,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1988-02-29,112.25,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1988-03-31,120.91,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1988-04-29,122.42,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1988-05-31,117.72,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1988-06-30,113.76,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1988-07-29,118.85,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1988-08-31,109.99,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1988-09-30,114.16,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1988-10-31,123.43,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1988-11-30,133.48,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1988-12-30,134.16,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1989-01-31,135.39,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1989-02-28,137.04,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1989-03-31,132.66,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1989-04-28,132.79,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1989-05-31,125.38,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1989-06-30,119.81,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1989-07-31,135.24,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1989-08-31,126.91,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1989-09-29,134.58,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1989-10-31,130.93,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1989-11-30,137.15,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1989-12-29,137.31,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1990-01-31,129.55,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1990-02-28,117.05,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1990-03-30,96.19,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1990-04-30,96.7,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1990-05-31,110.03,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1990-06-29,105.63,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1990-07-31,104.9,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1990-08-31,94.68,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1990-09-28,79.66,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1990-10-31,96.51,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1990-11-30,85.76,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1990-12-31,89.42,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1991-01-31,92.15,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1991-02-28,103.48,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1991-03-29,97.99,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1991-04-30,100.35,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1991-05-31,99.85,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1991-06-28,93.26,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1991-07-31,96.22,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1991-08-30,91.27,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1991-09-30,98.13,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1991-10-31,102.17,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1991-11-29,95.69,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1991-12-31,98.6,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1992-01-31,95,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1992-02-28,88.46,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1992-03-31,80.23,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1992-04-30,76.56,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1992-05-29,82.19,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1992-06-30,75.99,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1992-07-31,74.83,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1992-08-31,84.51,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1992-09-30,82.76,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1992-10-30,80.16,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1992-11-30,81.44,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1992-12-31,80.44,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1993-01-29,80.32,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1993-02-26,84.05,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1993-03-31,93.64,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1993-04-30,108.29,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1993-05-31,111.36,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1993-06-30,109.54,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1993-07-30,115.79,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1993-08-31,119.24,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1993-09-30,114.92,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1993-10-29,118.03,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1993-11-30,102.02,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1993-12-31,109.95,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1994-01-31,121.5,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1994-02-28,124.06,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1994-03-31,116.85,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1994-04-29,121.63,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1994-05-31,124.7,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1994-06-30,128.27,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1994-07-29,125.98,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1994-08-31,128.69,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1994-09-30,125.39,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1994-10-31,128.46,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1994-11-30,121.04,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1994-12-30,121.44,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1995-01-31,113.34,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1995-02-28,110.9282,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1995-03-31,118.9126,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1995-04-28,123.4783,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1995-05-31,119.8765,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
