"ticker","date","value","field","variable"
"MXASJ INDEX",1987-12-31,100,"PX LAST","Asia ex Japon"
"MXASJ INDEX",1988-01-29,104.96,"PX LAST","Asia ex Japon"
"MXASJ INDEX",1988-02-29,105.72,"PX LAST","Asia ex Japon"
"MXASJ INDEX",1988-03-31,111.2,"PX LAST","Asia ex Japon"
"MXASJ INDEX",1988-04-29,115.88,"PX LAST","Asia ex Japon"
"MXASJ INDEX",1988-05-31,114.92,"PX LAST","Asia ex Japon"
"MXASJ INDEX",1988-06-30,124.81,"PX LAST","Asia ex Japon"
"MXASJ INDEX",1988-07-29,127.02,"PX LAST","Asia ex Japon"
"MXASJ INDEX",1988-08-31,116.1,"PX LAST","Asia ex Japon"
"MXASJ INDEX",1988-09-30,116.6,"PX LAST","Asia ex Japon"
"MXASJ INDEX",1988-10-31,122.35,"PX LAST","Asia ex Japon"
"MXASJ INDEX",1988-11-30,123.62,"PX LAST","Asia ex Japon"
"MXASJ INDEX",1988-12-30,125.84,"PX LAST","Asia ex Japon"
"MXASJ INDEX",1989-01-31,140.64,"PX LAST","Asia ex Japon"
"MXASJ INDEX",1989-02-28,139.5,"PX LAST","Asia ex Japon"
"MXASJ INDEX",1989-03-31,141.89,"PX LAST","Asia ex Japon"
"MXASJ INDEX",1989-04-28,150.76,"PX LAST","Asia ex Japon"
"MXASJ INDEX",1989-05-31,143.78,"PX LAST","Asia ex Japon"
"MXASJ INDEX",1989-06-30,133.15,"PX LAST","Asia ex Japon"
"MXASJ INDEX",1989-07-31,144.73,"PX LAST","Asia ex Japon"
"MXASJ INDEX",1989-08-31,141.96,"PX LAST","Asia ex Japon"
"MXASJ INDEX",1989-09-29,151.02,"PX LAST","Asia ex Japon"
"MXASJ INDEX",1989-10-31,148.17,"PX LAST","Asia ex Japon"
"MXASJ INDEX",1989-11-30,154.08,"PX LAST","Asia ex Japon"
"MXASJ INDEX",1989-12-29,161.09,"PX LAST","Asia ex Japon"
"MXASJ INDEX",1990-01-31,160.57,"PX LAST","Asia ex Japon"
"MXASJ INDEX",1990-02-28,166.63,"PX LAST","Asia ex Japon"
"MXASJ INDEX",1990-03-30,167.04,"PX LAST","Asia ex Japon"
"MXASJ INDEX",1990-04-30,159.67,"PX LAST","Asia ex Japon"
"MXASJ INDEX",1990-05-31,175.04,"PX LAST","Asia ex Japon"
"MXASJ INDEX",1990-06-29,178.79,"PX LAST","Asia ex Japon"
"MXASJ INDEX",1990-07-31,189.26,"PX LAST","Asia ex Japon"
"MXASJ INDEX",1990-08-31,161.67,"PX LAST","Asia ex Japon"
"MXASJ INDEX",1990-09-28,136.53,"PX LAST","Asia ex Japon"
"MXASJ INDEX",1990-10-31,144.82,"PX LAST","Asia ex Japon"
"MXASJ INDEX",1990-11-30,139.16,"PX LAST","Asia ex Japon"
"MXASJ INDEX",1990-12-31,145.5,"PX LAST","Asia ex Japon"
"MXASJ INDEX",1991-01-31,153.08,"PX LAST","Asia ex Japon"
"MXASJ INDEX",1991-02-28,171.6,"PX LAST","Asia ex Japon"
"MXASJ INDEX",1991-03-29,179.03,"PX LAST","Asia ex Japon"
"MXASJ INDEX",1991-04-30,176.56,"PX LAST","Asia ex Japon"
"MXASJ INDEX",1991-05-31,178.64,"PX LAST","Asia ex Japon"
"MXASJ INDEX",1991-06-28,173.39,"PX LAST","Asia ex Japon"
"MXASJ INDEX",1991-07-31,178.81,"PX LAST","Asia ex Japon"
"MXASJ INDEX",1991-08-30,174.23,"PX LAST","Asia ex Japon"
"MXASJ INDEX",1991-09-30,168.91,"PX LAST","Asia ex Japon"
