"ticker","date","value","field","variable","nice_field"
"MXASJ INDEX",1996-04-30,2.3638,"PX TO BOOK RATIO","Asia ex Japon","PB Ratio"
"MXASJ INDEX",1996-05-31,2.3269,"PX TO BOOK RATIO","Asia ex Japon","PB Ratio"
"MXASJ INDEX",1996-06-28,2.2877,"PX TO BOOK RATIO","Asia ex Japon","PB Ratio"
"MXASJ INDEX",1996-07-31,2.1257,"PX TO BOOK RATIO","Asia ex Japon","PB Ratio"
"MXASJ INDEX",1996-08-30,2.1862,"PX TO BOOK RATIO","Asia ex Japon","PB Ratio"
"MXASJ INDEX",1996-09-30,2.2208,"PX TO BOOK RATIO","Asia ex Japon","PB Ratio"
"MXASJ INDEX",1997-03-31,2.5677,"PX TO BOOK RATIO","Asia ex Japon","PB Ratio"
"MXASJ INDEX",2000-10-31,1.6392,"PX TO BOOK RATIO","Asia ex Japon","PB Ratio"
"MXASJ INDEX",2000-11-30,1.5288,"PX TO BOOK RATIO","Asia ex Japon","PB Ratio"
"MXASJ INDEX",2000-12-29,1.5236,"PX TO BOOK RATIO","Asia ex Japon","PB Ratio"
"MXASJ INDEX",2001-01-31,1.7445,"PX TO BOOK RATIO","Asia ex Japon","PB Ratio"
"MXASJ INDEX",2001-02-28,1.6617,"PX TO BOOK RATIO","Asia ex Japon","PB Ratio"
"MXASJ INDEX",2001-03-30,1.4686,"PX TO BOOK RATIO","Asia ex Japon","PB Ratio"
"MXASJ INDEX",2001-04-30,1.5519,"PX TO BOOK RATIO","Asia ex Japon","PB Ratio"
"MXASJ INDEX",2001-05-31,1.5256,"PX TO BOOK RATIO","Asia ex Japon","PB Ratio"
"MXASJ INDEX",2001-06-29,1.4879,"PX TO BOOK RATIO","Asia ex Japon","PB Ratio"
"MXASJ INDEX",2001-07-31,1.1728,"PX TO BOOK RATIO","Asia ex Japon","PB Ratio"
"MXASJ INDEX",2001-08-31,1.1514,"PX TO BOOK RATIO","Asia ex Japon","PB Ratio"
"MXASJ INDEX",2001-09-28,0.9686,"PX TO BOOK RATIO","Asia ex Japon","PB Ratio"
"MXASJ INDEX",2001-10-31,1.0374,"PX TO BOOK RATIO","Asia ex Japon","PB Ratio"
"MXASJ INDEX",2001-11-30,1.1615,"PX TO BOOK RATIO","Asia ex Japon","PB Ratio"
"MXASJ INDEX",2001-12-31,1.2581,"PX TO BOOK RATIO","Asia ex Japon","PB Ratio"
"MXASJ INDEX",2002-01-31,1.2956,"PX TO BOOK RATIO","Asia ex Japon","PB Ratio"
"MXASJ INDEX",2002-02-28,1.3027,"PX TO BOOK RATIO","Asia ex Japon","PB Ratio"
"MXASJ INDEX",2002-03-29,1.3834,"PX TO BOOK RATIO","Asia ex Japon","PB Ratio"
"MXASJ INDEX",2002-04-30,1.6776,"PX TO BOOK RATIO","Asia ex Japon","PB Ratio"
"MXASJ INDEX",2002-05-31,1.5815,"PX TO BOOK RATIO","Asia ex Japon","PB Ratio"
"MXASJ INDEX",2002-06-28,1.4995,"PX TO BOOK RATIO","Asia ex Japon","PB Ratio"
"MXASJ INDEX",2002-07-31,1.6146,"PX TO BOOK RATIO","Asia ex Japon","PB Ratio"
"MXASJ INDEX",2002-08-30,1.583,"PX TO BOOK RATIO","Asia ex Japon","PB Ratio"
"MXASJ INDEX",2002-09-30,1.4072,"PX TO BOOK RATIO","Asia ex Japon","PB Ratio"
"MXASJ INDEX",2002-10-31,1.4653,"PX TO BOOK RATIO","Asia ex Japon","PB Ratio"
"MXASJ INDEX",2002-11-29,1.5411,"PX TO BOOK RATIO","Asia ex Japon","PB Ratio"
"MXASJ INDEX",2002-12-31,1.4462,"PX TO BOOK RATIO","Asia ex Japon","PB Ratio"
"MXASJ INDEX",2003-01-31,1.4787,"PX TO BOOK RATIO","Asia ex Japon","PB Ratio"
"MXASJ INDEX",2003-02-28,1.4125,"PX TO BOOK RATIO","Asia ex Japon","PB Ratio"
"MXASJ INDEX",2003-03-31,1.3408,"PX TO BOOK RATIO","Asia ex Japon","PB Ratio"
"MXASJ INDEX",2003-04-30,1.306,"PX TO BOOK RATIO","Asia ex Japon","PB Ratio"
"MXASJ INDEX",2003-05-30,1.3921,"PX TO BOOK RATIO","Asia ex Japon","PB Ratio"
"MXASJ INDEX",2003-06-30,1.4758,"PX TO BOOK RATIO","Asia ex Japon","PB Ratio"
"MXASJ INDEX",2003-07-31,1.6374,"PX TO BOOK RATIO","Asia ex Japon","PB Ratio"
"MXASJ INDEX",2003-08-29,1.7562,"PX TO BOOK RATIO","Asia ex Japon","PB Ratio"
"MXASJ INDEX",2003-09-30,1.7656,"PX TO BOOK RATIO","Asia ex Japon","PB Ratio"
"MXASJ INDEX",2003-10-31,1.8961,"PX TO BOOK RATIO","Asia ex Japon","PB Ratio"
"MXASJ INDEX",2003-11-28,1.8711,"PX TO BOOK RATIO","Asia ex Japon","PB Ratio"
"MXASJ INDEX",2003-12-31,1.9828,"PX TO BOOK RATIO","Asia ex Japon","PB Ratio"
"MXASJ INDEX",2004-01-30,2.0811,"PX TO BOOK RATIO","Asia ex Japon","PB Ratio"
"MXASJ INDEX",2004-02-27,2.1435,"PX TO BOOK RATIO","Asia ex Japon","PB Ratio"
"MXASJ INDEX",2004-03-31,2.0991,"PX TO BOOK RATIO","Asia ex Japon","PB Ratio"
"MXASJ INDEX",2004-04-30,1.8487,"PX TO BOOK RATIO","Asia ex Japon","PB Ratio"
"MXASJ INDEX",2004-05-31,1.7747,"PX TO BOOK RATIO","Asia ex Japon","PB Ratio"
"MXASJ INDEX",2004-06-30,1.7531,"PX TO BOOK RATIO","Asia ex Japon","PB Ratio"
"MXASJ INDEX",2004-07-30,1.6292,"PX TO BOOK RATIO","Asia ex Japon","PB Ratio"
"MXASJ INDEX",2004-08-31,1.7026,"PX TO BOOK RATIO","Asia ex Japon","PB Ratio"
"MXASJ INDEX",2004-09-30,1.7639,"PX TO BOOK RATIO","Asia ex Japon","PB Ratio"
"MXASJ INDEX",2004-10-29,1.7766,"PX TO BOOK RATIO","Asia ex Japon","PB Ratio"
"MXASJ INDEX",2004-11-30,1.9325,"PX TO BOOK RATIO","Asia ex Japon","PB Ratio"
"MXASJ INDEX",2004-12-31,1.9901,"PX TO BOOK RATIO","Asia ex Japon","PB Ratio"
"MXASJ INDEX",2005-01-31,1.9758,"PX TO BOOK RATIO","Asia ex Japon","PB Ratio"
"MXASJ INDEX",2005-02-28,2.0825,"PX TO BOOK RATIO","Asia ex Japon","PB Ratio"
"MXASJ INDEX",2005-03-31,1.9834,"PX TO BOOK RATIO","Asia ex Japon","PB Ratio"
"MXASJ INDEX",2005-04-29,1.7493,"PX TO BOOK RATIO","Asia ex Japon","PB Ratio"
"MXASJ INDEX",2005-05-31,1.7677,"PX TO BOOK RATIO","Asia ex Japon","PB Ratio"
"MXASJ INDEX",2005-06-30,1.8131,"PX TO BOOK RATIO","Asia ex Japon","PB Ratio"
"MXASJ INDEX",2005-07-29,1.9004,"PX TO BOOK RATIO","Asia ex Japon","PB Ratio"
"MXASJ INDEX",2005-08-31,1.8363,"PX TO BOOK RATIO","Asia ex Japon","PB Ratio"
"MXASJ INDEX",2005-09-30,1.9314,"PX TO BOOK RATIO","Asia ex Japon","PB Ratio"
"MXASJ INDEX",2005-10-31,1.8181,"PX TO BOOK RATIO","Asia ex Japon","PB Ratio"
"MXASJ INDEX",2005-11-30,1.9547,"PX TO BOOK RATIO","Asia ex Japon","PB Ratio"
"MXASJ INDEX",2005-12-30,2.0731,"PX TO BOOK RATIO","Asia ex Japon","PB Ratio"
"MXASJ INDEX",2006-01-31,2.2426,"PX TO BOOK RATIO","Asia ex Japon","PB Ratio"
