"ticker","date","value","field","variable"
"MXASJ INDEX",1987-12-31,100,"TOT_RETURN_INDEX_GROSS_DVDS","Asia ex Japon"
"MXASJ INDEX",1988-01-29,104.96,"TOT_RETURN_INDEX_GROSS_DVDS","Asia ex Japon"
"MXASJ INDEX",1988-02-29,105.72,"TOT_RETURN_INDEX_GROSS_DVDS","Asia ex Japon"
"MXASJ INDEX",1988-03-31,111.2,"TOT_RETURN_INDEX_GROSS_DVDS","Asia ex Japon"
"MXASJ INDEX",1988-04-29,115.88,"TOT_RETURN_INDEX_GROSS_DVDS","Asia ex Japon"
"MXASJ INDEX",1988-05-31,114.92,"TOT_RETURN_INDEX_GROSS_DVDS","Asia ex Japon"
"MXASJ INDEX",1988-06-30,124.81,"TOT_RETURN_INDEX_GROSS_DVDS","Asia ex Japon"
"MXASJ INDEX",1988-07-29,127.02,"TOT_RETURN_INDEX_GROSS_DVDS","Asia ex Japon"
"MXASJ INDEX",1988-08-31,116.1,"TOT_RETURN_INDEX_GROSS_DVDS","Asia ex Japon"
"MXASJ INDEX",1988-09-30,116.6,"TOT_RETURN_INDEX_GROSS_DVDS","Asia ex Japon"
"MXASJ INDEX",1988-10-31,122.35,"TOT_RETURN_INDEX_GROSS_DVDS","Asia ex Japon"
"MXASJ INDEX",1988-11-30,123.62,"TOT_RETURN_INDEX_GROSS_DVDS","Asia ex Japon"
"MXASJ INDEX",1988-12-30,125.84,"TOT_RETURN_INDEX_GROSS_DVDS","Asia ex Japon"
"MXASJ INDEX",1989-01-31,140.64,"TOT_RETURN_INDEX_GROSS_DVDS","Asia ex Japon"
"MXASJ INDEX",1989-02-28,139.5,"TOT_RETURN_INDEX_GROSS_DVDS","Asia ex Japon"
"MXASJ INDEX",1989-03-31,141.89,"TOT_RETURN_INDEX_GROSS_DVDS","Asia ex Japon"
"MXASJ INDEX",1989-04-28,150.76,"TOT_RETURN_INDEX_GROSS_DVDS","Asia ex Japon"
"MXASJ INDEX",1989-05-31,143.78,"TOT_RETURN_INDEX_GROSS_DVDS","Asia ex Japon"
"MXASJ INDEX",1989-06-30,133.15,"TOT_RETURN_INDEX_GROSS_DVDS","Asia ex Japon"
"MXASJ INDEX",1989-07-31,144.73,"TOT_RETURN_INDEX_GROSS_DVDS","Asia ex Japon"
"MXASJ INDEX",1989-08-31,141.96,"TOT_RETURN_INDEX_GROSS_DVDS","Asia ex Japon"
"MXASJ INDEX",1989-09-29,151.02,"TOT_RETURN_INDEX_GROSS_DVDS","Asia ex Japon"
"MXASJ INDEX",1989-10-31,148.17,"TOT_RETURN_INDEX_GROSS_DVDS","Asia ex Japon"
"MXASJ INDEX",1989-11-30,154.08,"TOT_RETURN_INDEX_GROSS_DVDS","Asia ex Japon"
"MXASJ INDEX",1989-12-29,161.09,"TOT_RETURN_INDEX_GROSS_DVDS","Asia ex Japon"
"MXASJ INDEX",1990-01-31,160.57,"TOT_RETURN_INDEX_GROSS_DVDS","Asia ex Japon"
"MXASJ INDEX",1990-02-28,166.63,"TOT_RETURN_INDEX_GROSS_DVDS","Asia ex Japon"
"MXASJ INDEX",1990-03-30,167.04,"TOT_RETURN_INDEX_GROSS_DVDS","Asia ex Japon"
"MXASJ INDEX",1990-04-30,159.67,"TOT_RETURN_INDEX_GROSS_DVDS","Asia ex Japon"
"MXASJ INDEX",1990-05-31,175.04,"TOT_RETURN_INDEX_GROSS_DVDS","Asia ex Japon"
"MXASJ INDEX",1990-06-29,178.79,"TOT_RETURN_INDEX_GROSS_DVDS","Asia ex Japon"
"MXASJ INDEX",1990-07-31,189.26,"TOT_RETURN_INDEX_GROSS_DVDS","Asia ex Japon"
"MXASJ INDEX",1990-08-31,161.67,"TOT_RETURN_INDEX_GROSS_DVDS","Asia ex Japon"
