"ticker","date","value","field","variable"
"MXCN INDEX",1992-12-31,12.91406,"PX LAST","China"
"MXCN INDEX",1993-01-29,12.77113,"PX LAST","China"
"MXCN INDEX",1993-02-26,14.0553,"PX LAST","China"
"MXCN INDEX",1993-03-31,12.54556,"PX LAST","China"
"MXCN INDEX",1993-04-30,11.85512,"PX LAST","China"
"MXCN INDEX",1993-05-31,11.14468,"PX LAST","China"
"MXCN INDEX",1993-06-30,10.6246,"PX LAST","China"
"MXCN INDEX",1993-07-30,9.3612,"PX LAST","China"
"MXCN INDEX",1993-08-31,10.94665,"PX LAST","China"
"MXCN INDEX",1993-09-30,11.69339,"PX LAST","China"
"MXCN INDEX",1993-10-29,12.81353,"PX LAST","China"
"MXCN INDEX",1993-11-30,13.87958,"PX LAST","China"
"MXCN INDEX",1993-12-31,17.26212,"PX LAST","China"
"MXCN INDEX",1994-01-31,14.95865,"PX LAST","China"
"MXCN INDEX",1994-02-28,14.15259,"PX LAST","China"
"MXCN INDEX",1994-03-31,11.55742,"PX LAST","China"
"MXCN INDEX",1994-04-29,11.29837,"PX LAST","China"
"MXCN INDEX",1994-05-31,11.79352,"PX LAST","China"
"MXCN INDEX",1994-06-30,10.4511,"PX LAST","China"
"MXCN INDEX",1994-07-29,11.6722,"PX LAST","China"
"MXCN INDEX",1994-08-31,12.3434,"PX LAST","China"
"MXCN INDEX",1994-09-30,12.4699,"PX LAST","China"
"MXCN INDEX",1994-10-31,11.9687,"PX LAST","China"
"MXCN INDEX",1994-11-30,10.40768,"PX LAST","China"
"MXCN INDEX",1994-12-30,9.1169,"PX LAST","China"
"MXCN INDEX",1995-01-31,7.86014,"PX LAST","China"
"MXCN INDEX",1995-02-28,8.75828,"PX LAST","China"
"MXCN INDEX",1995-03-31,8.77212,"PX LAST","China"
"MXCN INDEX",1995-04-28,7.83028,"PX LAST","China"
"MXCN INDEX",1995-05-31,9.08508,"PX LAST","China"
