"ticker","date","value","field","variable"
"MXCN INDEX",1992-12-31,12.9141,"TOT_RETURN_INDEX_GROSS_DVDS","China"
"MXCN INDEX",1993-01-29,12.7711,"TOT_RETURN_INDEX_GROSS_DVDS","China"
"MXCN INDEX",1993-02-26,14.0553,"TOT_RETURN_INDEX_GROSS_DVDS","China"
"MXCN INDEX",1993-03-31,12.5456,"TOT_RETURN_INDEX_GROSS_DVDS","China"
"MXCN INDEX",1993-04-30,11.8551,"TOT_RETURN_INDEX_GROSS_DVDS","China"
"MXCN INDEX",1993-05-31,11.1447,"TOT_RETURN_INDEX_GROSS_DVDS","China"
"MXCN INDEX",1993-06-30,10.6246,"TOT_RETURN_INDEX_GROSS_DVDS","China"
"MXCN INDEX",1993-07-30,9.3612,"TOT_RETURN_INDEX_GROSS_DVDS","China"
"MXCN INDEX",1993-08-31,10.9466,"TOT_RETURN_INDEX_GROSS_DVDS","China"
"MXCN INDEX",1993-09-30,11.6934,"TOT_RETURN_INDEX_GROSS_DVDS","China"
"MXCN INDEX",1993-10-29,12.8135,"TOT_RETURN_INDEX_GROSS_DVDS","China"
"MXCN INDEX",1993-11-30,13.8796,"TOT_RETURN_INDEX_GROSS_DVDS","China"
"MXCN INDEX",1993-12-31,17.2621,"TOT_RETURN_INDEX_GROSS_DVDS","China"
"MXCN INDEX",1994-01-31,14.9586,"TOT_RETURN_INDEX_GROSS_DVDS","China"
"MXCN INDEX",1994-02-28,14.1526,"TOT_RETURN_INDEX_GROSS_DVDS","China"
"MXCN INDEX",1994-03-31,11.5574,"TOT_RETURN_INDEX_GROSS_DVDS","China"
"MXCN INDEX",1994-04-29,11.2984,"TOT_RETURN_INDEX_GROSS_DVDS","China"
"MXCN INDEX",1994-05-31,11.7935,"TOT_RETURN_INDEX_GROSS_DVDS","China"
"MXCN INDEX",1994-06-30,10.4511,"TOT_RETURN_INDEX_GROSS_DVDS","China"
"MXCN INDEX",1994-07-29,11.6722,"TOT_RETURN_INDEX_GROSS_DVDS","China"
"MXCN INDEX",1994-08-31,12.3434,"TOT_RETURN_INDEX_GROSS_DVDS","China"
"MXCN INDEX",1994-09-30,12.4699,"TOT_RETURN_INDEX_GROSS_DVDS","China"
"MXCN INDEX",1994-10-31,11.9687,"TOT_RETURN_INDEX_GROSS_DVDS","China"
"MXCN INDEX",1994-11-30,10.4077,"TOT_RETURN_INDEX_GROSS_DVDS","China"
"MXCN INDEX",1994-12-30,9.1169,"TOT_RETURN_INDEX_GROSS_DVDS","China"
"MXCN INDEX",1995-01-31,7.8601,"TOT_RETURN_INDEX_GROSS_DVDS","China"
"MXCN INDEX",1995-02-28,8.7583,"TOT_RETURN_INDEX_GROSS_DVDS","China"
"MXCN INDEX",1995-03-31,8.7721,"TOT_RETURN_INDEX_GROSS_DVDS","China"
"MXCN INDEX",1995-04-28,7.8303,"TOT_RETURN_INDEX_GROSS_DVDS","China"
"MXCN INDEX",1995-05-31,9.0851,"TOT_RETURN_INDEX_GROSS_DVDS","China"
"MXCN INDEX",1995-06-30,8.9611,"TOT_RETURN_INDEX_GROSS_DVDS","China"
"MXCN INDEX",1995-07-31,9.4063,"TOT_RETURN_INDEX_GROSS_DVDS","China"
"MXCN INDEX",1995-08-31,8.8591,"TOT_RETURN_INDEX_GROSS_DVDS","China"
"MXCN INDEX",1995-09-29,8.4543,"TOT_RETURN_INDEX_GROSS_DVDS","China"
"MXCN INDEX",1995-10-31,7.9281,"TOT_RETURN_INDEX_GROSS_DVDS","China"
"MXCN INDEX",1995-11-30,7.3639,"TOT_RETURN_INDEX_GROSS_DVDS","China"
"MXCN INDEX",1995-12-29,7.0214,"TOT_RETURN_INDEX_GROSS_DVDS","China"
"MXCN INDEX",1996-01-31,8.096,"TOT_RETURN_INDEX_GROSS_DVDS","China"
"MXCN INDEX",1996-02-29,8.3364,"TOT_RETURN_INDEX_GROSS_DVDS","China"
"MXCN INDEX",1996-03-29,7.9513,"TOT_RETURN_INDEX_GROSS_DVDS","China"
"MXCN INDEX",1996-04-30,7.545,"TOT_RETURN_INDEX_GROSS_DVDS","China"
"MXCN INDEX",1996-05-31,7.9356,"TOT_RETURN_INDEX_GROSS_DVDS","China"
"MXCN INDEX",1996-06-28,8.0549,"TOT_RETURN_INDEX_GROSS_DVDS","China"
"MXCN INDEX",1996-07-31,7.7659,"TOT_RETURN_INDEX_GROSS_DVDS","China"
"MXCN INDEX",1996-08-30,7.7422,"TOT_RETURN_INDEX_GROSS_DVDS","China"
"MXCN INDEX",1996-09-30,7.6722,"TOT_RETURN_INDEX_GROSS_DVDS","China"
"MXCN INDEX",1996-10-31,7.468,"TOT_RETURN_INDEX_GROSS_DVDS","China"
"MXCN INDEX",1996-11-29,8.3316,"TOT_RETURN_INDEX_GROSS_DVDS","China"
"MXCN INDEX",1996-12-31,9.7132,"TOT_RETURN_INDEX_GROSS_DVDS","China"
"MXCN INDEX",1997-01-31,9.4975,"TOT_RETURN_INDEX_GROSS_DVDS","China"
"MXCN INDEX",1997-02-28,9.7761,"TOT_RETURN_INDEX_GROSS_DVDS","China"
"MXCN INDEX",1997-03-31,9.494,"TOT_RETURN_INDEX_GROSS_DVDS","China"
"MXCN INDEX",1997-04-30,10.7478,"TOT_RETURN_INDEX_GROSS_DVDS","China"
"MXCN INDEX",1997-05-30,10.627,"TOT_RETURN_INDEX_GROSS_DVDS","China"
"MXCN INDEX",1997-06-30,10.8637,"TOT_RETURN_INDEX_GROSS_DVDS","China"
"MXCN INDEX",1997-07-31,12.3477,"TOT_RETURN_INDEX_GROSS_DVDS","China"
"MXCN INDEX",1997-08-29,13.0755,"TOT_RETURN_INDEX_GROSS_DVDS","China"
