"ticker","date","value","field","variable","nice_field"
"MXFEJ Index",1996-04-30,2.3502,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",1996-05-31,2.3166,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",1996-06-28,2.2668,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",1996-07-31,2.1102,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",1996-08-30,2.1825,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",1996-09-30,2.2348,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",1996-10-31,2.2567,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",1996-11-29,2.3739,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",1996-12-31,2.3562,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",1997-01-31,2.2478,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",1997-02-28,2.2538,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",1997-03-31,2.1223,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",1997-04-30,1.9476,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",1997-05-30,1.9743,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",1997-06-30,2.0238,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",1997-07-31,2.0682,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",1997-08-29,1.6844,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",1997-09-30,1.6694,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",1997-10-31,1.2564,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",1997-11-28,1.1673,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",1997-12-31,1.1125,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",1998-01-30,1.0513,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",1998-02-27,1.29,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",1998-03-31,1.2584,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",1998-04-30,1.3447,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",1998-05-29,1.1138,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",1998-06-30,0.988,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",1998-07-31,0.9199,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",1998-08-31,0.7743,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",1998-09-30,0.8557,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
