"ticker","date","value","field","variable"
"MXID INDEX",1991-11-29,0.19666,"PX LAST","Indonesia"
"MXID INDEX",1991-12-31,0.19826,"PX LAST","Indonesia"
"MXID INDEX",1992-01-31,0.23354,"PX LAST","Indonesia"
"MXID INDEX",1992-02-28,0.22235,"PX LAST","Indonesia"
"MXID INDEX",1992-03-31,0.22018,"PX LAST","Indonesia"
"MXID INDEX",1992-04-30,0.22052,"PX LAST","Indonesia"
"MXID INDEX",1992-05-29,0.24159,"PX LAST","Indonesia"
"MXID INDEX",1992-06-30,0.24437,"PX LAST","Indonesia"
"MXID INDEX",1992-07-31,0.24613,"PX LAST","Indonesia"
"MXID INDEX",1992-08-31,0.22794,"PX LAST","Indonesia"
"MXID INDEX",1992-09-30,0.22495,"PX LAST","Indonesia"
"MXID INDEX",1992-10-30,0.22852,"PX LAST","Indonesia"
"MXID INDEX",1992-11-30,0.20499,"PX LAST","Indonesia"
"MXID INDEX",1992-12-31,0.19416,"PX LAST","Indonesia"
"MXID INDEX",1993-01-29,0.19841,"PX LAST","Indonesia"
"MXID INDEX",1993-02-26,0.21475,"PX LAST","Indonesia"
"MXID INDEX",1993-03-31,0.21629,"PX LAST","Indonesia"
"MXID INDEX",1993-04-30,0.22293,"PX LAST","Indonesia"
"MXID INDEX",1993-05-31,0.24812,"PX LAST","Indonesia"
"MXID INDEX",1993-06-30,0.26143,"PX LAST","Indonesia"
"MXID INDEX",1993-07-30,0.25689,"PX LAST","Indonesia"
"MXID INDEX",1993-08-31,0.31547,"PX LAST","Indonesia"
"MXID INDEX",1993-09-30,0.30564,"PX LAST","Indonesia"
"MXID INDEX",1993-10-29,0.31788,"PX LAST","Indonesia"
"MXID INDEX",1993-11-30,0.34482,"PX LAST","Indonesia"
"MXID INDEX",1993-12-31,0.3942,"PX LAST","Indonesia"
"MXID INDEX",1994-01-31,0.40416,"PX LAST","Indonesia"
"MXID INDEX",1994-02-28,0.36798,"PX LAST","Indonesia"
"MXID INDEX",1994-03-31,0.33272,"PX LAST","Indonesia"
"MXID INDEX",1994-04-29,0.29863,"PX LAST","Indonesia"
"MXID INDEX",1994-05-31,0.33537,"PX LAST","Indonesia"
"MXID INDEX",1994-06-30,0.30645,"PX LAST","Indonesia"
"MXID INDEX",1994-07-29,0.29847,"PX LAST","Indonesia"
"MXID INDEX",1994-08-31,0.34143,"PX LAST","Indonesia"
"MXID INDEX",1994-09-30,0.32754,"PX LAST","Indonesia"
"MXID INDEX",1994-10-31,0.33682,"PX LAST","Indonesia"
"MXID INDEX",1994-11-30,0.29965,"PX LAST","Indonesia"
"MXID INDEX",1994-12-30,0.28643,"PX LAST","Indonesia"
"MXID INDEX",1995-01-31,0.26225,"PX LAST","Indonesia"
"MXID INDEX",1995-02-28,0.28412,"PX LAST","Indonesia"
"MXID INDEX",1995-03-31,0.26883,"PX LAST","Indonesia"
"MXID INDEX",1995-04-28,0.25658,"PX LAST","Indonesia"
"MXID INDEX",1995-05-31,0.29737,"PX LAST","Indonesia"
"MXID INDEX",1995-06-30,0.30942,"PX LAST","Indonesia"
"MXID INDEX",1995-07-31,0.31576,"PX LAST","Indonesia"
"MXID INDEX",1995-08-31,0.3,"PX LAST","Indonesia"
"MXID INDEX",1995-09-29,0.29168,"PX LAST","Indonesia"
"MXID INDEX",1995-10-31,0.29567,"PX LAST","Indonesia"
"MXID INDEX",1995-11-30,0.28155,"PX LAST","Indonesia"
"MXID INDEX",1995-12-29,0.30795,"PX LAST","Indonesia"
"MXID INDEX",1996-01-31,0.34868,"PX LAST","Indonesia"
"MXID INDEX",1996-02-29,0.35503,"PX LAST","Indonesia"
"MXID INDEX",1996-03-29,0.34899,"PX LAST","Indonesia"
"MXID INDEX",1996-04-30,0.37762,"PX LAST","Indonesia"
"MXID INDEX",1996-05-31,0.36628,"PX LAST","Indonesia"
"MXID INDEX",1996-06-28,0.35781,"PX LAST","Indonesia"
"MXID INDEX",1996-07-31,0.31621,"PX LAST","Indonesia"
"MXID INDEX",1996-08-30,0.32718,"PX LAST","Indonesia"
"MXID INDEX",1996-09-30,0.34932,"PX LAST","Indonesia"
"MXID INDEX",1996-10-31,0.34618,"PX LAST","Indonesia"
"MXID INDEX",1996-11-29,0.37699,"PX LAST","Indonesia"
"MXID INDEX",1996-12-31,0.38612,"PX LAST","Indonesia"
"MXID INDEX",1997-01-31,0.4099,"PX LAST","Indonesia"
"MXID INDEX",1997-02-28,0.41431,"PX LAST","Indonesia"
"MXID INDEX",1997-03-31,0.38379,"PX LAST","Indonesia"
"MXID INDEX",1997-04-30,0.37209,"PX LAST","Indonesia"
"MXID INDEX",1997-05-30,0.3974,"PX LAST","Indonesia"
"MXID INDEX",1997-06-30,0.40721,"PX LAST","Indonesia"
"MXID INDEX",1997-07-31,0.36813,"PX LAST","Indonesia"
"MXID INDEX",1997-08-29,0.21768,"PX LAST","Indonesia"
"MXID INDEX",1997-09-30,0.23252,"PX LAST","Indonesia"
"MXID INDEX",1997-10-31,0.19741,"PX LAST","Indonesia"
"MXID INDEX",1997-11-28,0.15077,"PX LAST","Indonesia"
"MXID INDEX",1997-12-31,0.09911,"PX LAST","Indonesia"
"MXID INDEX",1998-01-30,0.05412,"PX LAST","Indonesia"
"MXID INDEX",1998-02-27,0.07322,"PX LAST","Indonesia"
"MXID INDEX",1998-03-31,0.08776,"PX LAST","Indonesia"
"MXID INDEX",1998-04-30,0.07613,"PX LAST","Indonesia"
"MXID INDEX",1998-05-29,0.04893,"PX LAST","Indonesia"
"MXID INDEX",1998-06-30,0.04083,"PX LAST","Indonesia"
"MXID INDEX",1998-07-31,0.05171,"PX LAST","Indonesia"
"MXID INDEX",1998-08-31,0.04015,"PX LAST","Indonesia"
