"ticker","date","value","field","variable"
"MXID INDEX",1995-07-31,2.6699,"PX TO BOOK RATIO","Indonesia"
"MXID INDEX",1995-08-31,2.573,"PX TO BOOK RATIO","Indonesia"
"MXID INDEX",1995-09-29,2.5005,"PX TO BOOK RATIO","Indonesia"
"MXID INDEX",1995-10-31,2.6121,"PX TO BOOK RATIO","Indonesia"
"MXID INDEX",1995-11-30,2.5049,"PX TO BOOK RATIO","Indonesia"
"MXID INDEX",1995-12-29,2.7421,"PX TO BOOK RATIO","Indonesia"
"MXID INDEX",1996-04-30,2.901,"PX TO BOOK RATIO","Indonesia"
"MXID INDEX",1996-05-31,2.8175,"PX TO BOOK RATIO","Indonesia"
"MXID INDEX",1996-06-28,2.7464,"PX TO BOOK RATIO","Indonesia"
"MXID INDEX",1996-07-31,2.466,"PX TO BOOK RATIO","Indonesia"
"MXID INDEX",1996-08-30,2.5397,"PX TO BOOK RATIO","Indonesia"
"MXID INDEX",1996-09-30,2.6837,"PX TO BOOK RATIO","Indonesia"
"MXID INDEX",1996-10-31,2.7411,"PX TO BOOK RATIO","Indonesia"
"MXID INDEX",1996-11-29,3.0042,"PX TO BOOK RATIO","Indonesia"
"MXID INDEX",1996-12-31,3.1019,"PX TO BOOK RATIO","Indonesia"
"MXID INDEX",1997-01-31,3.2422,"PX TO BOOK RATIO","Indonesia"
"MXID INDEX",1997-02-28,3.3088,"PX TO BOOK RATIO","Indonesia"
"MXID INDEX",1997-03-31,3.0689,"PX TO BOOK RATIO","Indonesia"
"MXID INDEX",1997-04-30,2.4955,"PX TO BOOK RATIO","Indonesia"
"MXID INDEX",1997-05-30,2.6686,"PX TO BOOK RATIO","Indonesia"
"MXID INDEX",1997-06-30,2.73,"PX TO BOOK RATIO","Indonesia"
"MXID INDEX",1997-07-31,2.6717,"PX TO BOOK RATIO","Indonesia"
"MXID INDEX",1997-08-29,1.7834,"PX TO BOOK RATIO","Indonesia"
"MXID INDEX",1997-09-30,2.1217,"PX TO BOOK RATIO","Indonesia"
"MXID INDEX",1997-10-31,2.4749,"PX TO BOOK RATIO","Indonesia"
"MXID INDEX",1997-11-28,1.9058,"PX TO BOOK RATIO","Indonesia"
"MXID INDEX",1997-12-31,1.8732,"PX TO BOOK RATIO","Indonesia"
"MXID INDEX",1998-04-30,1.4556,"PX TO BOOK RATIO","Indonesia"
"MXID INDEX",1998-05-29,1.3341,"PX TO BOOK RATIO","Indonesia"
"MXID INDEX",1998-06-30,1.441,"PX TO BOOK RATIO","Indonesia"
"MXID INDEX",1998-07-31,1.3774,"PX TO BOOK RATIO","Indonesia"
"MXID INDEX",1998-08-31,0.8964,"PX TO BOOK RATIO","Indonesia"
"MXID INDEX",1998-09-30,0.6325,"PX TO BOOK RATIO","Indonesia"
"MXID INDEX",1998-10-30,0.6963,"PX TO BOOK RATIO","Indonesia"
"MXID INDEX",1998-11-30,1.0472,"PX TO BOOK RATIO","Indonesia"
"MXID INDEX",1998-12-31,1.0541,"PX TO BOOK RATIO","Indonesia"
"MXID INDEX",1999-03-31,1.1642,"PX TO BOOK RATIO","Indonesia"
"MXID INDEX",2000-02-29,2.1909,"PX TO BOOK RATIO","Indonesia"
"MXID INDEX",2000-03-31,2.1971,"PX TO BOOK RATIO","Indonesia"
"MXID INDEX",2000-04-28,1.7094,"PX TO BOOK RATIO","Indonesia"
"MXID INDEX",2000-05-31,1.3815,"PX TO BOOK RATIO","Indonesia"
"MXID INDEX",2000-06-30,1.5712,"PX TO BOOK RATIO","Indonesia"
"MXID INDEX",2000-07-31,1.4197,"PX TO BOOK RATIO","Indonesia"
"MXID INDEX",2000-08-31,1.3408,"PX TO BOOK RATIO","Indonesia"
"MXID INDEX",2000-09-29,1.2195,"PX TO BOOK RATIO","Indonesia"
"MXID INDEX",2000-10-31,1.0809,"PX TO BOOK RATIO","Indonesia"
"MXID INDEX",2000-11-30,1.1265,"PX TO BOOK RATIO","Indonesia"
"MXID INDEX",2000-12-29,1.0321,"PX TO BOOK RATIO","Indonesia"
"MXID INDEX",2001-01-31,1.1096,"PX TO BOOK RATIO","Indonesia"
"MXID INDEX",2001-02-28,1.1435,"PX TO BOOK RATIO","Indonesia"
"MXID INDEX",2001-03-30,0.9736,"PX TO BOOK RATIO","Indonesia"
"MXID INDEX",2001-04-30,1.1285,"PX TO BOOK RATIO","Indonesia"
"MXID INDEX",2001-05-31,1.2291,"PX TO BOOK RATIO","Indonesia"
"MXID INDEX",2001-06-29,1.3189,"PX TO BOOK RATIO","Indonesia"
"MXID INDEX",2001-07-31,1.3231,"PX TO BOOK RATIO","Indonesia"
"MXID INDEX",2001-08-31,1.5396,"PX TO BOOK RATIO","Indonesia"
"MXID INDEX",2001-09-28,1.3562,"PX TO BOOK RATIO","Indonesia"
"MXID INDEX",2001-10-31,1.3144,"PX TO BOOK RATIO","Indonesia"
"MXID INDEX",2001-11-30,1.1952,"PX TO BOOK RATIO","Indonesia"
"MXID INDEX",2001-12-31,1.2618,"PX TO BOOK RATIO","Indonesia"
"MXID INDEX",2002-01-31,1.5285,"PX TO BOOK RATIO","Indonesia"
"MXID INDEX",2002-02-28,1.5219,"PX TO BOOK RATIO","Indonesia"
"MXID INDEX",2002-03-29,1.6523,"PX TO BOOK RATIO","Indonesia"
"MXID INDEX",2002-04-30,1.3863,"PX TO BOOK RATIO","Indonesia"
"MXID INDEX",2002-05-31,2.6067,"PX TO BOOK RATIO","Indonesia"
"MXID INDEX",2002-06-28,2.4473,"PX TO BOOK RATIO","Indonesia"
"MXID INDEX",2002-07-31,2.2984,"PX TO BOOK RATIO","Indonesia"
"MXID INDEX",2002-08-30,2.0988,"PX TO BOOK RATIO","Indonesia"
"MXID INDEX",2002-09-30,1.9934,"PX TO BOOK RATIO","Indonesia"
"MXID INDEX",2002-10-31,1.6864,"PX TO BOOK RATIO","Indonesia"
"MXID INDEX",2002-11-29,1.6434,"PX TO BOOK RATIO","Indonesia"
