"ticker","date","value","field","variable"
"MXJP INDEX",1971-01-29,0.2481,"PX LAST","Japon"
"MXJP INDEX",1971-02-26,0.2588,"PX LAST","Japon"
"MXJP INDEX",1971-03-31,0.27947,"PX LAST","Japon"
"MXJP INDEX",1971-04-30,0.29317,"PX LAST","Japon"
"MXJP INDEX",1971-05-31,0.29029,"PX LAST","Japon"
"MXJP INDEX",1971-06-30,0.31727,"PX LAST","Japon"
"MXJP INDEX",1971-07-30,0.31799,"PX LAST","Japon"
"MXJP INDEX",1971-08-31,0.29063,"PX LAST","Japon"
"MXJP INDEX",1971-09-30,0.30174,"PX LAST","Japon"
"MXJP INDEX",1971-10-29,0.28921,"PX LAST","Japon"
"MXJP INDEX",1971-11-30,0.30926,"PX LAST","Japon"
"MXJP INDEX",1971-12-31,0.34803,"PX LAST","Japon"
"MXJP INDEX",1972-01-31,0.37399,"PX LAST","Japon"
"MXJP INDEX",1972-02-29,0.40938,"PX LAST","Japon"
"MXJP INDEX",1972-03-31,0.42731,"PX LAST","Japon"
"MXJP INDEX",1972-04-28,0.44981,"PX LAST","Japon"
"MXJP INDEX",1972-05-31,0.48762,"PX LAST","Japon"
"MXJP INDEX",1972-06-30,0.50622,"PX LAST","Japon"
"MXJP INDEX",1972-07-31,0.54772,"PX LAST","Japon"
"MXJP INDEX",1972-08-31,0.56083,"PX LAST","Japon"
"MXJP INDEX",1972-09-29,0.58546,"PX LAST","Japon"
"MXJP INDEX",1972-10-31,0.60315,"PX LAST","Japon"
"MXJP INDEX",1972-11-30,0.70758,"PX LAST","Japon"
"MXJP INDEX",1972-12-29,0.76995,"PX LAST","Japon"
"MXJP INDEX",1973-01-31,0.78155,"PX LAST","Japon"
"MXJP INDEX",1973-02-28,0.83983,"PX LAST","Japon"
"MXJP INDEX",1973-03-30,0.84659,"PX LAST","Japon"
"MXJP INDEX",1973-04-30,0.75304,"PX LAST","Japon"
"MXJP INDEX",1973-05-31,0.77223,"PX LAST","Japon"
"MXJP INDEX",1973-06-29,0.78832,"PX LAST","Japon"
"MXJP INDEX",1973-07-31,0.82987,"PX LAST","Japon"
"MXJP INDEX",1973-08-31,0.79003,"PX LAST","Japon"
"MXJP INDEX",1973-09-28,0.74656,"PX LAST","Japon"
"MXJP INDEX",1973-10-31,0.73774,"PX LAST","Japon"
"MXJP INDEX",1973-11-30,0.63849,"PX LAST","Japon"
"MXJP INDEX",1973-12-31,0.60185,"PX LAST","Japon"
"MXJP INDEX",1974-01-31,0.59978,"PX LAST","Japon"
"MXJP INDEX",1974-02-28,0.61934,"PX LAST","Japon"
"MXJP INDEX",1974-03-29,0.62823,"PX LAST","Japon"
"MXJP INDEX",1974-04-30,0.63894,"PX LAST","Japon"
"MXJP INDEX",1974-05-31,0.66002,"PX LAST","Japon"
"MXJP INDEX",1974-06-28,0.63611,"PX LAST","Japon"
"MXJP INDEX",1974-07-31,0.57266,"PX LAST","Japon"
"MXJP INDEX",1974-08-30,0.50844,"PX LAST","Japon"
"MXJP INDEX",1974-09-30,0.51067,"PX LAST","Japon"
"MXJP INDEX",1974-10-31,0.46935,"PX LAST","Japon"
"MXJP INDEX",1974-11-29,0.51635,"PX LAST","Japon"
"MXJP INDEX",1974-12-31,0.49445,"PX LAST","Japon"
"MXJP INDEX",1975-01-31,0.51899,"PX LAST","Japon"
"MXJP INDEX",1975-02-28,0.59418,"PX LAST","Japon"
"MXJP INDEX",1975-03-31,0.60414,"PX LAST","Japon"
"MXJP INDEX",1975-04-30,0.60783,"PX LAST","Japon"
"MXJP INDEX",1975-05-30,0.60315,"PX LAST","Japon"
"MXJP INDEX",1975-06-30,0.61173,"PX LAST","Japon"
"MXJP INDEX",1975-07-31,0.57626,"PX LAST","Japon"
"MXJP INDEX",1975-08-29,0.55058,"PX LAST","Japon"
"MXJP INDEX",1975-09-30,0.51485,"PX LAST","Japon"
"MXJP INDEX",1975-10-31,0.56865,"PX LAST","Japon"
"MXJP INDEX",1975-11-28,0.57273,"PX LAST","Japon"
"MXJP INDEX",1975-12-31,0.57798,"PX LAST","Japon"
"MXJP INDEX",1976-01-30,0.61298,"PX LAST","Japon"
"MXJP INDEX",1976-02-27,0.61632,"PX LAST","Japon"
"MXJP INDEX",1976-03-31,0.61458,"PX LAST","Japon"
"MXJP INDEX",1976-04-30,0.61808,"PX LAST","Japon"
"MXJP INDEX",1976-05-31,0.61977,"PX LAST","Japon"
"MXJP INDEX",1976-06-30,0.64741,"PX LAST","Japon"
"MXJP INDEX",1976-07-30,0.63725,"PX LAST","Japon"
"MXJP INDEX",1976-08-31,0.65681,"PX LAST","Japon"
"MXJP INDEX",1976-09-30,0.66151,"PX LAST","Japon"
"MXJP INDEX",1976-10-29,0.62437,"PX LAST","Japon"
"MXJP INDEX",1976-11-30,0.61543,"PX LAST","Japon"
"MXJP INDEX",1976-12-31,0.70921,"PX LAST","Japon"
"MXJP INDEX",1977-01-31,0.68729,"PX LAST","Japon"
"MXJP INDEX",1977-02-28,0.7213,"PX LAST","Japon"
"MXJP INDEX",1977-03-31,0.71331,"PX LAST","Japon"
"MXJP INDEX",1977-04-29,0.72393,"PX LAST","Japon"
"MXJP INDEX",1977-05-31,0.71976,"PX LAST","Japon"
"MXJP INDEX",1977-06-30,0.74384,"PX LAST","Japon"
"MXJP INDEX",1977-07-29,0.73509,"PX LAST","Japon"
"MXJP INDEX",1977-08-31,0.77384,"PX LAST","Japon"
"MXJP INDEX",1977-09-30,0.78335,"PX LAST","Japon"
"MXJP INDEX",1977-10-31,0.80053,"PX LAST","Japon"
"MXJP INDEX",1977-11-30,0.80182,"PX LAST","Japon"
"MXJP INDEX",1977-12-30,0.80347,"PX LAST","Japon"
"MXJP INDEX",1978-01-31,0.83552,"PX LAST","Japon"
"MXJP INDEX",1978-02-28,0.86892,"PX LAST","Japon"
"MXJP INDEX",1978-03-31,0.94668,"PX LAST","Japon"
"MXJP INDEX",1978-04-28,0.96382,"PX LAST","Japon"
"MXJP INDEX",1978-05-31,0.98051,"PX LAST","Japon"
"MXJP INDEX",1978-06-30,1.07153,"PX LAST","Japon"
"MXJP INDEX",1978-07-31,1.18136,"PX LAST","Japon"
"MXJP INDEX",1978-08-31,1.15483,"PX LAST","Japon"
"MXJP INDEX",1978-09-29,1.18095,"PX LAST","Japon"
"MXJP INDEX",1978-10-31,1.24985,"PX LAST","Japon"
"MXJP INDEX",1978-11-30,1.14373,"PX LAST","Japon"
"MXJP INDEX",1978-12-29,1.20643,"PX LAST","Japon"
"MXJP INDEX",1979-01-31,1.19291,"PX LAST","Japon"
"MXJP INDEX",1979-02-28,1.14988,"PX LAST","Japon"
"MXJP INDEX",1979-03-30,1.11045,"PX LAST","Japon"
"MXJP INDEX",1979-04-30,1.07358,"PX LAST","Japon"
"MXJP INDEX",1979-05-31,1.08655,"PX LAST","Japon"
"MXJP INDEX",1979-06-29,1.09363,"PX LAST","Japon"
"MXJP INDEX",1979-07-31,1.09139,"PX LAST","Japon"
"MXJP INDEX",1979-08-31,1.09138,"PX LAST","Japon"
"MXJP INDEX",1979-09-28,1.10636,"PX LAST","Japon"
"MXJP INDEX",1979-10-31,1.02405,"PX LAST","Japon"
"MXJP INDEX",1979-11-30,0.98015,"PX LAST","Japon"
"MXJP INDEX",1979-12-31,1.0375,"PX LAST","Japon"
"MXJP INDEX",1980-01-31,1.05915,"PX LAST","Japon"
"MXJP INDEX",1980-02-29,1.01211,"PX LAST","Japon"
"MXJP INDEX",1980-03-31,0.98767,"PX LAST","Japon"
"MXJP INDEX",1980-04-30,1.06372,"PX LAST","Japon"
"MXJP INDEX",1980-05-30,1.13552,"PX LAST","Japon"
"MXJP INDEX",1980-06-30,1.16173,"PX LAST","Japon"
"MXJP INDEX",1980-07-31,1.11152,"PX LAST","Japon"
"MXJP INDEX",1980-08-29,1.18238,"PX LAST","Japon"
"MXJP INDEX",1980-09-30,1.25836,"PX LAST","Japon"
"MXJP INDEX",1980-10-31,1.29205,"PX LAST","Japon"
"MXJP INDEX",1980-11-28,1.24407,"PX LAST","Japon"
"MXJP INDEX",1980-12-31,1.33261,"PX LAST","Japon"
"MXJP INDEX",1981-01-30,1.34796,"PX LAST","Japon"
"MXJP INDEX",1981-02-27,1.32743,"PX LAST","Japon"
"MXJP INDEX",1981-03-31,1.41058,"PX LAST","Japon"
"MXJP INDEX",1981-04-30,1.50514,"PX LAST","Japon"
"MXJP INDEX",1981-05-29,1.46959,"PX LAST","Japon"
"MXJP INDEX",1981-06-30,1.51588,"PX LAST","Japon"
"MXJP INDEX",1981-07-31,1.45582,"PX LAST","Japon"
"MXJP INDEX",1981-08-31,1.51274,"PX LAST","Japon"
"MXJP INDEX",1981-09-30,1.37301,"PX LAST","Japon"
"MXJP INDEX",1981-10-30,1.36952,"PX LAST","Japon"
"MXJP INDEX",1981-11-30,1.49381,"PX LAST","Japon"
"MXJP INDEX",1981-12-31,1.5141,"PX LAST","Japon"
"MXJP INDEX",1982-01-29,1.48683,"PX LAST","Japon"
"MXJP INDEX",1982-02-26,1.36401,"PX LAST","Japon"
"MXJP INDEX",1982-03-31,1.23032,"PX LAST","Japon"
"MXJP INDEX",1982-04-30,1.33498,"PX LAST","Japon"
"MXJP INDEX",1982-05-31,1.28943,"PX LAST","Japon"
"MXJP INDEX",1982-06-30,1.2043,"PX LAST","Japon"
"MXJP INDEX",1982-07-30,1.15519,"PX LAST","Japon"
"MXJP INDEX",1982-08-31,1.16243,"PX LAST","Japon"
"MXJP INDEX",1982-09-30,1.12071,"PX LAST","Japon"
"MXJP INDEX",1982-10-29,1.12422,"PX LAST","Japon"
"MXJP INDEX",1982-11-30,1.34525,"PX LAST","Japon"
"MXJP INDEX",1982-12-31,1.4802,"PX LAST","Japon"
"MXJP INDEX",1983-01-31,1.41327,"PX LAST","Japon"
"MXJP INDEX",1983-02-28,1.43594,"PX LAST","Japon"
"MXJP INDEX",1983-03-31,1.4908,"PX LAST","Japon"
"MXJP INDEX",1983-04-29,1.51718,"PX LAST","Japon"
"MXJP INDEX",1983-05-31,1.52577,"PX LAST","Japon"
"MXJP INDEX",1983-06-30,1.57031,"PX LAST","Japon"
"MXJP INDEX",1983-07-29,1.58201,"PX LAST","Japon"
"MXJP INDEX",1983-08-31,1.56423,"PX LAST","Japon"
"MXJP INDEX",1983-09-30,1.68308,"PX LAST","Japon"
"MXJP INDEX",1983-10-31,1.67229,"PX LAST","Japon"
"MXJP INDEX",1983-11-30,1.68813,"PX LAST","Japon"
"MXJP INDEX",1983-12-30,1.81907,"PX LAST","Japon"
"MXJP INDEX",1984-01-31,1.90302,"PX LAST","Japon"
"MXJP INDEX",1984-02-29,1.89497,"PX LAST","Japon"
"MXJP INDEX",1984-03-30,2.22822,"PX LAST","Japon"
"MXJP INDEX",1984-04-30,2.18453,"PX LAST","Japon"
"MXJP INDEX",1984-05-31,1.91513,"PX LAST","Japon"
"MXJP INDEX",1984-06-29,1.91802,"PX LAST","Japon"
"MXJP INDEX",1984-07-31,1.77692,"PX LAST","Japon"
"MXJP INDEX",1984-08-31,1.93414,"PX LAST","Japon"
"MXJP INDEX",1984-09-28,1.91706,"PX LAST","Japon"
"MXJP INDEX",1984-10-31,2.02,"PX LAST","Japon"
"MXJP INDEX",1984-11-30,2.02939,"PX LAST","Japon"
"MXJP INDEX",1984-12-31,2.10279,"PX LAST","Japon"
"MXJP INDEX",1985-01-31,2.09621,"PX LAST","Japon"
"MXJP INDEX",1985-02-28,2.15927,"PX LAST","Japon"
"MXJP INDEX",1985-03-29,2.28735,"PX LAST","Japon"
"MXJP INDEX",1985-04-30,2.20474,"PX LAST","Japon"
"MXJP INDEX",1985-05-31,2.28527,"PX LAST","Japon"
"MXJP INDEX",1985-06-28,2.37994,"PX LAST","Japon"
"MXJP INDEX",1985-07-31,2.38906,"PX LAST","Japon"
"MXJP INDEX",1985-08-30,2.42565,"PX LAST","Japon"
"MXJP INDEX",1985-09-30,2.70066,"PX LAST","Japon"
"MXJP INDEX",1985-10-31,2.77778,"PX LAST","Japon"
"MXJP INDEX",1985-11-29,2.82294,"PX LAST","Japon"
"MXJP INDEX",1985-12-31,2.99662,"PX LAST","Japon"
"MXJP INDEX",1986-01-31,3.08236,"PX LAST","Japon"
"MXJP INDEX",1986-02-28,3.42459,"PX LAST","Japon"
"MXJP INDEX",1986-03-31,4.17661,"PX LAST","Japon"
"MXJP INDEX",1986-04-30,4.32983,"PX LAST","Japon"
"MXJP INDEX",1986-05-30,4.29126,"PX LAST","Japon"
"MXJP INDEX",1986-06-30,4.735,"PX LAST","Japon"
"MXJP INDEX",1986-07-31,5.35329,"PX LAST","Japon"
"MXJP INDEX",1986-08-29,5.83149,"PX LAST","Japon"
"MXJP INDEX",1986-09-30,5.97993,"PX LAST","Japon"
"MXJP INDEX",1986-10-31,5.18901,"PX LAST","Japon"
