"ticker","date","value","field","variable"
"MXJP INDEX",1995-10-31,1.9313,"PX TO BOOK RATIO","Japon"
"MXJP INDEX",1995-11-30,2.0303,"PX TO BOOK RATIO","Japon"
"MXJP INDEX",1995-12-29,2.1672,"PX TO BOOK RATIO","Japon"
"MXJP INDEX",1996-01-31,2.2112,"PX TO BOOK RATIO","Japon"
"MXJP INDEX",1996-02-29,2.1363,"PX TO BOOK RATIO","Japon"
"MXJP INDEX",1996-03-29,2.2443,"PX TO BOOK RATIO","Japon"
"MXJP INDEX",1996-04-30,2.3167,"PX TO BOOK RATIO","Japon"
"MXJP INDEX",1996-05-31,2.212,"PX TO BOOK RATIO","Japon"
"MXJP INDEX",1996-06-28,2.269,"PX TO BOOK RATIO","Japon"
"MXJP INDEX",1996-07-31,2.1079,"PX TO BOOK RATIO","Japon"
"MXJP INDEX",1996-08-30,2.048,"PX TO BOOK RATIO","Japon"
"MXJP INDEX",1996-09-30,2.1721,"PX TO BOOK RATIO","Japon"
"MXJP INDEX",1996-10-31,2.1743,"PX TO BOOK RATIO","Japon"
"MXJP INDEX",1996-11-29,2.2159,"PX TO BOOK RATIO","Japon"
"MXJP INDEX",1996-12-31,2.1028,"PX TO BOOK RATIO","Japon"
"MXJP INDEX",1997-01-31,1.9504,"PX TO BOOK RATIO","Japon"
"MXJP INDEX",1997-02-28,1.9833,"PX TO BOOK RATIO","Japon"
"MXJP INDEX",1997-03-31,1.9658,"PX TO BOOK RATIO","Japon"
"MXJP INDEX",1997-04-30,2.1061,"PX TO BOOK RATIO","Japon"
"MXJP INDEX",1997-05-30,2.0874,"PX TO BOOK RATIO","Japon"
"MXJP INDEX",1997-06-30,2.2042,"PX TO BOOK RATIO","Japon"
"MXJP INDEX",1997-07-31,2.2101,"PX TO BOOK RATIO","Japon"
"MXJP INDEX",1997-08-29,2.0496,"PX TO BOOK RATIO","Japon"
"MXJP INDEX",1997-09-30,2.0249,"PX TO BOOK RATIO","Japon"
"MXJP INDEX",1997-10-31,1.8849,"PX TO BOOK RATIO","Japon"
"MXJP INDEX",1997-11-28,1.8763,"PX TO BOOK RATIO","Japon"
