"ticker","date","value","field","variable"
"MXJP INDEX",1971-01-29,0.2481,"TOT RETURN INDEX GROSS DVDS","Japon"
"MXJP INDEX",1971-02-26,0.2588,"TOT RETURN INDEX GROSS DVDS","Japon"
"MXJP INDEX",1971-03-31,0.2795,"TOT RETURN INDEX GROSS DVDS","Japon"
"MXJP INDEX",1971-04-30,0.2932,"TOT RETURN INDEX GROSS DVDS","Japon"
"MXJP INDEX",1971-05-31,0.2903,"TOT RETURN INDEX GROSS DVDS","Japon"
"MXJP INDEX",1971-06-30,0.3173,"TOT RETURN INDEX GROSS DVDS","Japon"
"MXJP INDEX",1971-07-30,0.318,"TOT RETURN INDEX GROSS DVDS","Japon"
"MXJP INDEX",1971-08-31,0.2906,"TOT RETURN INDEX GROSS DVDS","Japon"
"MXJP INDEX",1971-09-30,0.3017,"TOT RETURN INDEX GROSS DVDS","Japon"
"MXJP INDEX",1971-10-29,0.2892,"TOT RETURN INDEX GROSS DVDS","Japon"
"MXJP INDEX",1971-11-30,0.3093,"TOT RETURN INDEX GROSS DVDS","Japon"
"MXJP INDEX",1971-12-31,0.348,"TOT RETURN INDEX GROSS DVDS","Japon"
"MXJP INDEX",1972-01-31,0.374,"TOT RETURN INDEX GROSS DVDS","Japon"
"MXJP INDEX",1972-02-29,0.4094,"TOT RETURN INDEX GROSS DVDS","Japon"
"MXJP INDEX",1972-03-31,0.4273,"TOT RETURN INDEX GROSS DVDS","Japon"
"MXJP INDEX",1972-04-28,0.4498,"TOT RETURN INDEX GROSS DVDS","Japon"
"MXJP INDEX",1972-05-31,0.4876,"TOT RETURN INDEX GROSS DVDS","Japon"
"MXJP INDEX",1972-06-30,0.5062,"TOT RETURN INDEX GROSS DVDS","Japon"
"MXJP INDEX",1972-07-31,0.5477,"TOT RETURN INDEX GROSS DVDS","Japon"
"MXJP INDEX",1972-08-31,0.5608,"TOT RETURN INDEX GROSS DVDS","Japon"
"MXJP INDEX",1972-09-29,0.5855,"TOT RETURN INDEX GROSS DVDS","Japon"
"MXJP INDEX",1972-10-31,0.6032,"TOT RETURN INDEX GROSS DVDS","Japon"
"MXJP INDEX",1972-11-30,0.7076,"TOT RETURN INDEX GROSS DVDS","Japon"
"MXJP INDEX",1972-12-29,0.77,"TOT RETURN INDEX GROSS DVDS","Japon"
"MXJP INDEX",1973-01-31,0.7816,"TOT RETURN INDEX GROSS DVDS","Japon"
"MXJP INDEX",1973-02-28,0.8398,"TOT RETURN INDEX GROSS DVDS","Japon"
