"ticker","date","value","field","variable"
"MXKR INDEX",1987-12-31,0.12564,"PX LAST","Corea del Sur"
"MXKR INDEX",1988-01-29,0.15264,"PX LAST","Corea del Sur"
"MXKR INDEX",1988-02-29,0.14789,"PX LAST","Corea del Sur"
"MXKR INDEX",1988-03-31,0.15722,"PX LAST","Corea del Sur"
"MXKR INDEX",1988-04-29,0.16246,"PX LAST","Corea del Sur"
"MXKR INDEX",1988-05-31,0.18165,"PX LAST","Corea del Sur"
"MXKR INDEX",1988-06-30,0.17281,"PX LAST","Corea del Sur"
"MXKR INDEX",1988-07-29,0.1793,"PX LAST","Corea del Sur"
"MXKR INDEX",1988-08-31,0.16819,"PX LAST","Corea del Sur"
"MXKR INDEX",1988-09-30,0.17342,"PX LAST","Corea del Sur"
"MXKR INDEX",1988-10-31,0.19061,"PX LAST","Corea del Sur"
"MXKR INDEX",1988-11-30,0.21777,"PX LAST","Corea del Sur"
"MXKR INDEX",1988-12-30,0.24389,"PX LAST","Corea del Sur"
"MXKR INDEX",1989-01-31,0.23929,"PX LAST","Corea del Sur"
"MXKR INDEX",1989-02-28,0.2462,"PX LAST","Corea del Sur"
"MXKR INDEX",1989-03-31,0.26902,"PX LAST","Corea del Sur"
"MXKR INDEX",1989-04-28,0.24913,"PX LAST","Corea del Sur"
"MXKR INDEX",1989-05-31,0.24517,"PX LAST","Corea del Sur"
"MXKR INDEX",1989-06-30,0.22557,"PX LAST","Corea del Sur"
"MXKR INDEX",1989-07-31,0.23717,"PX LAST","Corea del Sur"
"MXKR INDEX",1989-08-31,0.26398,"PX LAST","Corea del Sur"
"MXKR INDEX",1989-09-29,0.25625,"PX LAST","Corea del Sur"
"MXKR INDEX",1989-10-31,0.24393,"PX LAST","Corea del Sur"
"MXKR INDEX",1989-11-30,0.24743,"PX LAST","Corea del Sur"
"MXKR INDEX",1989-12-29,0.24494,"PX LAST","Corea del Sur"
"MXKR INDEX",1990-01-31,0.23688,"PX LAST","Corea del Sur"
"MXKR INDEX",1990-02-28,0.22499,"PX LAST","Corea del Sur"
"MXKR INDEX",1990-03-30,0.21893,"PX LAST","Corea del Sur"
"MXKR INDEX",1990-04-30,0.17415,"PX LAST","Corea del Sur"
"MXKR INDEX",1990-05-31,0.20103,"PX LAST","Corea del Sur"
"MXKR INDEX",1990-06-29,0.17969,"PX LAST","Corea del Sur"
"MXKR INDEX",1990-07-31,0.17126,"PX LAST","Corea del Sur"
"MXKR INDEX",1990-08-31,0.15022,"PX LAST","Corea del Sur"
"MXKR INDEX",1990-09-28,0.14813,"PX LAST","Corea del Sur"
"MXKR INDEX",1990-10-31,0.17441,"PX LAST","Corea del Sur"
"MXKR INDEX",1990-11-30,0.17691,"PX LAST","Corea del Sur"
"MXKR INDEX",1990-12-31,0.17521,"PX LAST","Corea del Sur"
"MXKR INDEX",1991-01-31,0.15896,"PX LAST","Corea del Sur"
"MXKR INDEX",1991-02-28,0.16845,"PX LAST","Corea del Sur"
"MXKR INDEX",1991-03-29,0.15984,"PX LAST","Corea del Sur"
"MXKR INDEX",1991-04-30,0.15923,"PX LAST","Corea del Sur"
"MXKR INDEX",1991-05-31,0.15171,"PX LAST","Corea del Sur"
"MXKR INDEX",1991-06-28,0.14955,"PX LAST","Corea del Sur"
"MXKR INDEX",1991-07-31,0.18727,"PX LAST","Corea del Sur"
"MXKR INDEX",1991-08-30,0.17254,"PX LAST","Corea del Sur"
"MXKR INDEX",1991-09-30,0.17757,"PX LAST","Corea del Sur"
"MXKR INDEX",1991-10-31,0.16952,"PX LAST","Corea del Sur"
"MXKR INDEX",1991-11-29,0.15527,"PX LAST","Corea del Sur"
"MXKR INDEX",1991-12-31,0.14505,"PX LAST","Corea del Sur"
"MXKR INDEX",1992-01-31,0.15757,"PX LAST","Corea del Sur"
"MXKR INDEX",1992-02-28,0.13919,"PX LAST","Corea del Sur"
"MXKR INDEX",1992-03-31,0.12936,"PX LAST","Corea del Sur"
"MXKR INDEX",1992-04-30,0.13417,"PX LAST","Corea del Sur"
"MXKR INDEX",1992-05-29,0.12002,"PX LAST","Corea del Sur"
"MXKR INDEX",1992-06-30,0.12266,"PX LAST","Corea del Sur"
"MXKR INDEX",1992-07-31,0.11446,"PX LAST","Corea del Sur"
"MXKR INDEX",1992-08-31,0.12346,"PX LAST","Corea del Sur"
"MXKR INDEX",1992-09-30,0.11123,"PX LAST","Corea del Sur"
"MXKR INDEX",1992-10-30,0.12964,"PX LAST","Corea del Sur"
"MXKR INDEX",1992-11-30,0.14078,"PX LAST","Corea del Sur"
"MXKR INDEX",1992-12-31,0.14595,"PX LAST","Corea del Sur"
"MXKR INDEX",1993-01-29,0.14398,"PX LAST","Corea del Sur"
"MXKR INDEX",1993-02-26,0.13388,"PX LAST","Corea del Sur"
"MXKR INDEX",1993-03-31,0.14271,"PX LAST","Corea del Sur"
"MXKR INDEX",1993-04-30,0.15496,"PX LAST","Corea del Sur"
"MXKR INDEX",1993-05-31,0.16236,"PX LAST","Corea del Sur"
"MXKR INDEX",1993-06-30,0.15817,"PX LAST","Corea del Sur"
"MXKR INDEX",1993-07-30,0.15258,"PX LAST","Corea del Sur"
"MXKR INDEX",1993-08-31,0.14142,"PX LAST","Corea del Sur"
"MXKR INDEX",1993-09-30,0.1524,"PX LAST","Corea del Sur"
"MXKR INDEX",1993-10-29,0.15537,"PX LAST","Corea del Sur"
"MXKR INDEX",1993-11-30,0.17003,"PX LAST","Corea del Sur"
"MXKR INDEX",1993-12-31,0.18813,"PX LAST","Corea del Sur"
"MXKR INDEX",1994-01-31,0.21345,"PX LAST","Corea del Sur"
"MXKR INDEX",1994-02-28,0.21076,"PX LAST","Corea del Sur"
"MXKR INDEX",1994-03-31,0.19328,"PX LAST","Corea del Sur"
"MXKR INDEX",1994-04-29,0.20637,"PX LAST","Corea del Sur"
"MXKR INDEX",1994-05-31,0.21528,"PX LAST","Corea del Sur"
"MXKR INDEX",1994-06-30,0.21157,"PX LAST","Corea del Sur"
"MXKR INDEX",1994-07-29,0.21213,"PX LAST","Corea del Sur"
"MXKR INDEX",1994-08-31,0.22228,"PX LAST","Corea del Sur"
"MXKR INDEX",1994-09-30,0.2564,"PX LAST","Corea del Sur"
"MXKR INDEX",1994-10-31,0.25792,"PX LAST","Corea del Sur"
"MXKR INDEX",1994-11-30,0.2465,"PX LAST","Corea del Sur"
"MXKR INDEX",1994-12-30,0.23062,"PX LAST","Corea del Sur"
"MXKR INDEX",1995-01-31,0.21049,"PX LAST","Corea del Sur"
"MXKR INDEX",1995-02-28,0.20625,"PX LAST","Corea del Sur"
"MXKR INDEX",1995-03-31,0.22259,"PX LAST","Corea del Sur"
"MXKR INDEX",1995-04-28,0.22315,"PX LAST","Corea del Sur"
"MXKR INDEX",1995-05-31,0.21858,"PX LAST","Corea del Sur"
"MXKR INDEX",1995-06-30,0.22346,"PX LAST","Corea del Sur"
"MXKR INDEX",1995-07-31,0.23124,"PX LAST","Corea del Sur"
"MXKR INDEX",1995-08-31,0.22299,"PX LAST","Corea del Sur"
"MXKR INDEX",1995-09-29,0.24512,"PX LAST","Corea del Sur"
"MXKR INDEX",1995-10-31,0.24929,"PX LAST","Corea del Sur"
"MXKR INDEX",1995-11-30,0.23003,"PX LAST","Corea del Sur"
"MXKR INDEX",1995-12-29,0.22095,"PX LAST","Corea del Sur"
"MXKR INDEX",1996-01-31,0.2153,"PX LAST","Corea del Sur"
"MXKR INDEX",1996-02-29,0.21097,"PX LAST","Corea del Sur"
"MXKR INDEX",1996-03-29,0.21493,"PX LAST","Corea del Sur"
"MXKR INDEX",1996-04-30,0.23992,"PX LAST","Corea del Sur"
"MXKR INDEX",1996-05-31,0.21126,"PX LAST","Corea del Sur"
"MXKR INDEX",1996-06-28,0.18795,"PX LAST","Corea del Sur"
"MXKR INDEX",1996-07-31,0.18054,"PX LAST","Corea del Sur"
"MXKR INDEX",1996-08-30,0.17108,"PX LAST","Corea del Sur"
"MXKR INDEX",1996-09-30,0.16938,"PX LAST","Corea del Sur"
"MXKR INDEX",1996-10-31,0.15786,"PX LAST","Corea del Sur"
"MXKR INDEX",1996-11-29,0.15549,"PX LAST","Corea del Sur"
"MXKR INDEX",1996-12-31,0.13591,"PX LAST","Corea del Sur"
"MXKR INDEX",1997-01-31,0.14218,"PX LAST","Corea del Sur"
"MXKR INDEX",1997-02-28,0.13607,"PX LAST","Corea del Sur"
"MXKR INDEX",1997-03-31,0.13104,"PX LAST","Corea del Sur"
"MXKR INDEX",1997-04-30,0.1353,"PX LAST","Corea del Sur"
"MXKR INDEX",1997-05-30,0.14639,"PX LAST","Corea del Sur"
"MXKR INDEX",1997-06-30,0.14882,"PX LAST","Corea del Sur"
"MXKR INDEX",1997-07-31,0.14431,"PX LAST","Corea del Sur"
"MXKR INDEX",1997-08-29,0.13829,"PX LAST","Corea del Sur"
"MXKR INDEX",1997-09-30,0.12499,"PX LAST","Corea del Sur"
"MXKR INDEX",1997-10-31,0.08592,"PX LAST","Corea del Sur"
"MXKR INDEX",1997-11-28,0.06499,"PX LAST","Corea del Sur"
"MXKR INDEX",1997-12-31,0.04427,"PX LAST","Corea del Sur"
"MXKR INDEX",1998-01-30,0.07547,"PX LAST","Corea del Sur"
"MXKR INDEX",1998-02-27,0.07087,"PX LAST","Corea del Sur"
"MXKR INDEX",1998-03-31,0.07016,"PX LAST","Corea del Sur"
"MXKR INDEX",1998-04-30,0.06788,"PX LAST","Corea del Sur"
"MXKR INDEX",1998-05-29,0.05094,"PX LAST","Corea del Sur"
"MXKR INDEX",1998-06-30,0.04606,"PX LAST","Corea del Sur"
"MXKR INDEX",1998-07-31,0.06025,"PX LAST","Corea del Sur"
"MXKR INDEX",1998-08-31,0.05032,"PX LAST","Corea del Sur"
"MXKR INDEX",1998-09-30,0.04904,"PX LAST","Corea del Sur"
"MXKR INDEX",1998-10-30,0.06465,"PX LAST","Corea del Sur"
"MXKR INDEX",1998-11-30,0.07673,"PX LAST","Corea del Sur"
"MXKR INDEX",1998-12-31,0.10511,"PX LAST","Corea del Sur"
"MXKR INDEX",1999-01-29,0.10868,"PX LAST","Corea del Sur"
"MXKR INDEX",1999-02-26,0.09646,"PX LAST","Corea del Sur"
"MXKR INDEX",1999-03-31,0.11253,"PX LAST","Corea del Sur"
"MXKR INDEX",1999-04-30,0.14405,"PX LAST","Corea del Sur"
"MXKR INDEX",1999-05-31,0.14273,"PX LAST","Corea del Sur"
"MXKR INDEX",1999-06-30,0.18502,"PX LAST","Corea del Sur"
"MXKR INDEX",1999-07-30,0.19243,"PX LAST","Corea del Sur"
"MXKR INDEX",1999-08-31,0.19608,"PX LAST","Corea del Sur"
"MXKR INDEX",1999-09-30,0.16714,"PX LAST","Corea del Sur"
"MXKR INDEX",1999-10-29,0.16919,"PX LAST","Corea del Sur"
"MXKR INDEX",1999-11-30,0.20611,"PX LAST","Corea del Sur"
"MXKR INDEX",1999-12-31,0.19916,"PX LAST","Corea del Sur"
"MXKR INDEX",2000-01-31,0.20188,"PX LAST","Corea del Sur"
"MXKR INDEX",2000-02-29,0.17305,"PX LAST","Corea del Sur"
"MXKR INDEX",2000-03-31,0.19301,"PX LAST","Corea del Sur"
"MXKR INDEX",2000-04-28,0.17084,"PX LAST","Corea del Sur"
"MXKR INDEX",2000-05-31,0.16822,"PX LAST","Corea del Sur"
"MXKR INDEX",2000-06-30,0.19154,"PX LAST","Corea del Sur"
"MXKR INDEX",2000-07-31,0.16072,"PX LAST","Corea del Sur"
