"ticker","date","value","field","variable","nice_field"
"MXKR INDEX",1998-05-29,0.4945,"PX TO BOOK RATIO","Corea del Sur","PB Ratio"
"MXKR INDEX",1998-06-30,0.4363,"PX TO BOOK RATIO","Corea del Sur","PB Ratio"
"MXKR INDEX",1998-07-31,0.5294,"PX TO BOOK RATIO","Corea del Sur","PB Ratio"
"MXKR INDEX",1998-08-31,0.485,"PX TO BOOK RATIO","Corea del Sur","PB Ratio"
"MXKR INDEX",1998-09-30,0.4869,"PX TO BOOK RATIO","Corea del Sur","PB Ratio"
"MXKR INDEX",1998-10-30,0.6412,"PX TO BOOK RATIO","Corea del Sur","PB Ratio"
"MXKR INDEX",1998-11-30,0.7188,"PX TO BOOK RATIO","Corea del Sur","PB Ratio"
"MXKR INDEX",1998-12-31,0.9508,"PX TO BOOK RATIO","Corea del Sur","PB Ratio"
"MXKR INDEX",1999-01-29,1.0069,"PX TO BOOK RATIO","Corea del Sur","PB Ratio"
"MXKR INDEX",1999-02-26,0.9302,"PX TO BOOK RATIO","Corea del Sur","PB Ratio"
"MXKR INDEX",1999-03-31,1.0887,"PX TO BOOK RATIO","Corea del Sur","PB Ratio"
"MXKR INDEX",1999-04-30,1.0969,"PX TO BOOK RATIO","Corea del Sur","PB Ratio"
"MXKR INDEX",1999-05-31,1.0477,"PX TO BOOK RATIO","Corea del Sur","PB Ratio"
"MXKR INDEX",1999-06-30,1.3252,"PX TO BOOK RATIO","Corea del Sur","PB Ratio"
"MXKR INDEX",1999-07-30,1.5105,"PX TO BOOK RATIO","Corea del Sur","PB Ratio"
"MXKR INDEX",1999-08-31,1.5077,"PX TO BOOK RATIO","Corea del Sur","PB Ratio"
"MXKR INDEX",1999-09-30,1.3244,"PX TO BOOK RATIO","Corea del Sur","PB Ratio"
"MXKR INDEX",1999-10-29,1.4857,"PX TO BOOK RATIO","Corea del Sur","PB Ratio"
"MXKR INDEX",1999-11-30,1.7491,"PX TO BOOK RATIO","Corea del Sur","PB Ratio"
"MXKR INDEX",1999-12-31,1.6584,"PX TO BOOK RATIO","Corea del Sur","PB Ratio"
"MXKR INDEX",2000-01-31,1.7099,"PX TO BOOK RATIO","Corea del Sur","PB Ratio"
"MXKR INDEX",2000-02-29,1.5263,"PX TO BOOK RATIO","Corea del Sur","PB Ratio"
"MXKR INDEX",2000-03-31,1.7269,"PX TO BOOK RATIO","Corea del Sur","PB Ratio"
"MXKR INDEX",2000-04-28,0.9912,"PX TO BOOK RATIO","Corea del Sur","PB Ratio"
"MXKR INDEX",2000-05-31,0.9375,"PX TO BOOK RATIO","Corea del Sur","PB Ratio"
"MXKR INDEX",2000-06-30,1.0539,"PX TO BOOK RATIO","Corea del Sur","PB Ratio"
"MXKR INDEX",2000-07-31,0.93,"PX TO BOOK RATIO","Corea del Sur","PB Ratio"
"MXKR INDEX",2000-08-31,0.8785,"PX TO BOOK RATIO","Corea del Sur","PB Ratio"
"MXKR INDEX",2000-09-29,0.7736,"PX TO BOOK RATIO","Corea del Sur","PB Ratio"
"MXKR INDEX",2000-10-31,0.8559,"PX TO BOOK RATIO","Corea del Sur","PB Ratio"
"MXKR INDEX",2000-11-30,0.8546,"PX TO BOOK RATIO","Corea del Sur","PB Ratio"
"MXKR INDEX",2000-12-29,0.8555,"PX TO BOOK RATIO","Corea del Sur","PB Ratio"
"MXKR INDEX",2001-01-31,1.0891,"PX TO BOOK RATIO","Corea del Sur","PB Ratio"
"MXKR INDEX",2001-02-28,1.0061,"PX TO BOOK RATIO","Corea del Sur","PB Ratio"
"MXKR INDEX",2001-03-30,0.9004,"PX TO BOOK RATIO","Corea del Sur","PB Ratio"
"MXKR INDEX",2001-04-30,1.0198,"PX TO BOOK RATIO","Corea del Sur","PB Ratio"
"MXKR INDEX",2001-05-31,1.0481,"PX TO BOOK RATIO","Corea del Sur","PB Ratio"
"MXKR INDEX",2001-06-29,1.004,"PX TO BOOK RATIO","Corea del Sur","PB Ratio"
"MXKR INDEX",2001-07-31,0.9143,"PX TO BOOK RATIO","Corea del Sur","PB Ratio"
"MXKR INDEX",2001-08-31,0.9294,"PX TO BOOK RATIO","Corea del Sur","PB Ratio"
"MXKR INDEX",2001-09-28,0.7979,"PX TO BOOK RATIO","Corea del Sur","PB Ratio"
"MXKR INDEX",2001-10-31,0.8827,"PX TO BOOK RATIO","Corea del Sur","PB Ratio"
"MXKR INDEX",2001-11-30,1.0874,"PX TO BOOK RATIO","Corea del Sur","PB Ratio"
"MXKR INDEX",2001-12-31,1.2082,"PX TO BOOK RATIO","Corea del Sur","PB Ratio"
"MXKR INDEX",2002-01-31,1.3062,"PX TO BOOK RATIO","Corea del Sur","PB Ratio"
"MXKR INDEX",2002-02-28,1.4456,"PX TO BOOK RATIO","Corea del Sur","PB Ratio"
"MXKR INDEX",2002-03-29,1.5637,"PX TO BOOK RATIO","Corea del Sur","PB Ratio"
