"ticker","date","value","field","variable"
"MXMY INDEX",1987-12-31,40.17678,"PX LAST","Malasia"
"MXMY INDEX",1988-01-29,42.18824,"PX LAST","Malasia"
"MXMY INDEX",1988-02-29,39.98839,"PX LAST","Malasia"
"MXMY INDEX",1988-03-31,42.2062,"PX LAST","Malasia"
"MXMY INDEX",1988-04-29,45.75534,"PX LAST","Malasia"
"MXMY INDEX",1988-05-31,46.89455,"PX LAST","Malasia"
"MXMY INDEX",1988-06-30,52.72031,"PX LAST","Malasia"
"MXMY INDEX",1988-07-29,52.43079,"PX LAST","Malasia"
"MXMY INDEX",1988-08-31,46.66542,"PX LAST","Malasia"
"MXMY INDEX",1988-09-30,47.44697,"PX LAST","Malasia"
"MXMY INDEX",1988-10-31,48.76451,"PX LAST","Malasia"
"MXMY INDEX",1988-11-30,48.95405,"PX LAST","Malasia"
"MXMY INDEX",1988-12-30,49.68635,"PX LAST","Malasia"
"MXMY INDEX",1989-01-31,53.77656,"PX LAST","Malasia"
"MXMY INDEX",1989-02-28,53.68556,"PX LAST","Malasia"
"MXMY INDEX",1989-03-31,55.56645,"PX LAST","Malasia"
"MXMY INDEX",1989-04-28,61.15377,"PX LAST","Malasia"
"MXMY INDEX",1989-05-31,60.80029,"PX LAST","Malasia"
"MXMY INDEX",1989-06-30,60.98816,"PX LAST","Malasia"
"MXMY INDEX",1989-07-31,63.92334,"PX LAST","Malasia"
"MXMY INDEX",1989-08-31,62.86827,"PX LAST","Malasia"
"MXMY INDEX",1989-09-29,67.53672,"PX LAST","Malasia"
"MXMY INDEX",1989-10-31,64.51984,"PX LAST","Malasia"
"MXMY INDEX",1989-11-30,68.99371,"PX LAST","Malasia"
"MXMY INDEX",1989-12-29,75.81266,"PX LAST","Malasia"
"MXMY INDEX",1990-01-31,76.95072,"PX LAST","Malasia"
"MXMY INDEX",1990-02-28,80.78772,"PX LAST","Malasia"
"MXMY INDEX",1990-03-30,77.53666,"PX LAST","Malasia"
"MXMY INDEX",1990-04-30,69.6539,"PX LAST","Malasia"
"MXMY INDEX",1990-05-31,79.68929,"PX LAST","Malasia"
"MXMY INDEX",1990-06-29,78.87495,"PX LAST","Malasia"
"MXMY INDEX",1990-07-31,86.19577,"PX LAST","Malasia"
"MXMY INDEX",1990-08-31,74.53328,"PX LAST","Malasia"
"MXMY INDEX",1990-09-28,62.53193,"PX LAST","Malasia"
"MXMY INDEX",1990-10-31,66.79008,"PX LAST","Malasia"
"MXMY INDEX",1990-11-30,64.13755,"PX LAST","Malasia"
"MXMY INDEX",1990-12-31,68.35523,"PX LAST","Malasia"
"MXMY INDEX",1991-01-31,68.25338,"PX LAST","Malasia"
"MXMY INDEX",1991-02-28,75.76838,"PX LAST","Malasia"
"MXMY INDEX",1991-03-29,78.07734,"PX LAST","Malasia"
"MXMY INDEX",1991-04-30,75.93478,"PX LAST","Malasia"
"MXMY INDEX",1991-05-31,78.0395,"PX LAST","Malasia"
"MXMY INDEX",1991-06-28,75.18479,"PX LAST","Malasia"
"MXMY INDEX",1991-07-31,73.61435,"PX LAST","Malasia"
"MXMY INDEX",1991-08-30,67.39357,"PX LAST","Malasia"
"MXMY INDEX",1991-09-30,64.42213,"PX LAST","Malasia"
"MXMY INDEX",1991-10-31,66.18684,"PX LAST","Malasia"
"MXMY INDEX",1991-11-29,66.70419,"PX LAST","Malasia"
"MXMY INDEX",1991-12-31,70.47024,"PX LAST","Malasia"
"MXMY INDEX",1992-01-31,74.41949,"PX LAST","Malasia"
"MXMY INDEX",1992-02-28,79.89946,"PX LAST","Malasia"
"MXMY INDEX",1992-03-31,77.51307,"PX LAST","Malasia"
"MXMY INDEX",1992-04-30,77.67709,"PX LAST","Malasia"
"MXMY INDEX",1992-05-29,76.23979,"PX LAST","Malasia"
"MXMY INDEX",1992-06-30,76.65589,"PX LAST","Malasia"
"MXMY INDEX",1992-07-31,76.97629,"PX LAST","Malasia"
"MXMY INDEX",1992-08-31,73.73344,"PX LAST","Malasia"
"MXMY INDEX",1992-09-30,78.82589,"PX LAST","Malasia"
"MXMY INDEX",1992-10-30,84.81411,"PX LAST","Malasia"
"MXMY INDEX",1992-11-30,85.27022,"PX LAST","Malasia"
"MXMY INDEX",1992-12-31,81.43948,"PX LAST","Malasia"
"MXMY INDEX",1993-01-29,79.47148,"PX LAST","Malasia"
"MXMY INDEX",1993-02-26,83.26879,"PX LAST","Malasia"
"MXMY INDEX",1993-03-31,85.88122,"PX LAST","Malasia"
"MXMY INDEX",1993-04-30,99.96883,"PX LAST","Malasia"
"MXMY INDEX",1993-05-31,103.60932,"PX LAST","Malasia"
"MXMY INDEX",1993-06-30,99.10361,"PX LAST","Malasia"
"MXMY INDEX",1993-07-30,104.36598,"PX LAST","Malasia"
"MXMY INDEX",1993-08-31,114.28515,"PX LAST","Malasia"
"MXMY INDEX",1993-09-30,122.85041,"PX LAST","Malasia"
"MXMY INDEX",1993-10-29,142.48435,"PX LAST","Malasia"
"MXMY INDEX",1993-11-30,139.96481,"PX LAST","Malasia"
"MXMY INDEX",1993-12-31,169.23992,"PX LAST","Malasia"
"MXMY INDEX",1994-01-31,142.33935,"PX LAST","Malasia"
"MXMY INDEX",1994-02-28,148.05214,"PX LAST","Malasia"
"MXMY INDEX",1994-03-31,126.21536,"PX LAST","Malasia"
"MXMY INDEX",1994-04-29,139.17037,"PX LAST","Malasia"
"MXMY INDEX",1994-05-31,134.4186,"PX LAST","Malasia"
"MXMY INDEX",1994-06-30,136.56083,"PX LAST","Malasia"
"MXMY INDEX",1994-07-29,140.15882,"PX LAST","Malasia"
"MXMY INDEX",1994-08-31,155.79215,"PX LAST","Malasia"
"MXMY INDEX",1994-09-30,155.05364,"PX LAST","Malasia"
"MXMY INDEX",1994-10-31,153.79801,"PX LAST","Malasia"
"MXMY INDEX",1994-11-30,140.64516,"PX LAST","Malasia"
"MXMY INDEX",1994-12-30,134.01488,"PX LAST","Malasia"
"MXMY INDEX",1995-01-31,120.30979,"PX LAST","Malasia"
"MXMY INDEX",1995-02-28,136.62223,"PX LAST","Malasia"
"MXMY INDEX",1995-03-31,137.06744,"PX LAST","Malasia"
"MXMY INDEX",1995-04-28,135.1776,"PX LAST","Malasia"
"MXMY INDEX",1995-05-31,150.23032,"PX LAST","Malasia"
