"ticker","date","value","field","variable"
"MXMY INDEX",1996-01-31,3.1401,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",1996-02-29,3.2418,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",1996-03-29,3.4291,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",1996-04-30,3.3235,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",1996-05-31,3.1924,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",1996-06-28,3.2002,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",1996-07-31,3.039,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",1996-08-30,3.2004,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",1996-09-30,3.2678,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",1996-10-31,3.2331,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",1996-11-29,3.3851,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",1996-12-31,3.4149,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",1997-01-31,3.2994,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",1997-02-28,3.4397,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",1997-03-31,3.18,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",1997-04-30,2.7331,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",1997-05-30,2.7868,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",1997-06-30,2.7222,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",1997-07-31,2.5376,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",1997-08-29,1.9556,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",1997-09-30,2.0118,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",1997-10-31,1.5868,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",1997-11-28,1.2738,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",1997-12-31,1.4079,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",1998-01-30,1.3271,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",1998-02-27,1.7491,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",1998-03-31,1.6804,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",1998-04-30,1.4658,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",1998-05-29,1.2264,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",1998-06-30,1.0122,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",1998-07-31,0.8933,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",1998-08-31,0.6486,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",1998-09-30,0.7838,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",1998-10-30,0.8728,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",1998-11-30,1.0656,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",1998-12-31,1.2561,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",1999-01-29,1.3378,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",1999-02-26,1.2123,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",1999-03-31,1.1235,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",1999-04-30,1.6368,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",1999-05-31,1.7697,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",1999-06-30,1.9497,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",1999-07-30,1.9369,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",1999-08-31,1.8732,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",1999-09-30,1.6014,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",1999-10-29,1.8097,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",1999-11-30,1.8027,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",1999-12-31,2.0093,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2000-01-31,2.2849,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2000-02-29,2.456,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2000-03-31,2.5469,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2000-04-28,2.4324,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2000-05-31,2.3218,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2000-06-30,2.0813,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2000-07-31,1.9726,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2000-08-31,2.0995,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2000-09-29,1.5832,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2000-10-31,1.7939,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2000-11-30,1.767,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2000-12-29,1.6588,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2001-01-31,1.7764,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2001-02-28,1.7534,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2001-03-30,1.6302,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2001-04-30,1.4988,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2001-05-31,1.3518,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2001-06-29,1.3807,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2001-07-31,1.5522,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2001-08-31,1.6083,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2001-09-28,1.3974,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2001-10-31,1.3531,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2001-11-30,1.5158,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2001-12-31,1.642,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2002-01-31,1.7191,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2002-02-28,1.7601,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2002-03-29,1.9667,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2002-04-30,2.0078,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2002-05-31,1.8672,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2002-06-28,1.7709,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2002-07-31,1.7578,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2002-08-30,1.7387,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2002-09-30,1.5128,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2002-10-31,1.5832,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2002-11-29,1.6158,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2002-12-31,1.6304,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2003-01-31,1.6853,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2003-02-28,1.6419,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2003-03-31,1.7054,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2003-04-30,1.6697,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2003-05-30,1.7408,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2003-06-30,1.7749,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2003-07-31,1.8529,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2003-08-29,1.8871,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2003-09-30,1.7243,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2003-10-31,1.9603,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2003-11-28,1.8461,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2003-12-31,1.8752,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2004-01-30,1.9447,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2004-02-27,2.1379,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2004-03-31,2.0751,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2004-04-30,1.949,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2004-05-31,1.832,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2004-06-30,1.8521,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2004-07-30,1.8563,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2004-08-31,1.8674,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2004-09-30,1.9078,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2004-10-29,1.904,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2004-11-30,2.0235,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2004-12-31,1.995,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2005-01-31,2.0168,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2005-02-28,1.9973,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2005-03-31,1.8888,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2005-04-29,1.9149,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2005-05-31,1.812,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2005-06-30,1.8721,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2005-07-29,1.949,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2005-08-31,1.9226,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2005-09-30,1.9351,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2005-10-31,1.8702,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2005-11-30,1.8309,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2005-12-30,1.8445,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2006-01-31,1.8843,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2006-02-28,1.9466,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2006-03-31,2.0261,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2006-04-28,1.9672,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2006-05-31,1.9042,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2006-06-30,1.8476,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2006-07-31,1.8807,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2006-08-31,1.9146,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2006-09-29,1.9211,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2006-10-31,2.0048,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2006-11-30,2.1424,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2006-12-29,2.1799,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2007-01-31,2.3924,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2007-02-28,2.349,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2007-03-30,2.4273,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2007-04-30,2.5562,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2007-05-31,2.5664,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2007-06-29,2.5495,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2007-07-31,2.5864,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2007-08-31,2.2285,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2007-09-28,2.3365,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2007-10-31,2.4621,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2007-11-30,2.3917,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2007-12-31,2.4929,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2008-01-31,2.4127,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2008-02-29,2.4434,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2008-03-31,2.2272,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2008-04-30,2.2507,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2008-05-30,2.1996,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2008-06-30,2.0193,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2008-07-31,1.9794,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2008-08-29,1.9313,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2008-09-30,1.7765,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2008-10-31,1.5095,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2008-11-28,1.4981,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2008-12-31,1.5163,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2009-01-30,1.5453,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2009-02-27,1.5895,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2009-03-31,1.5572,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2009-04-30,1.7628,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2009-05-29,1.8565,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2009-06-30,1.9354,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2009-07-31,2.1338,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2009-08-31,2.0262,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2009-09-30,2.0656,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2009-10-30,2.1287,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2009-11-30,2.0905,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2009-12-31,2.1152,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2010-01-29,2.0874,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2010-02-26,2.0929,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2010-03-31,2.1675,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2010-04-30,2.2048,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2010-05-31,2.1763,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2010-06-30,2.2239,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2010-07-30,2.3023,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2010-08-31,2.2438,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2010-09-30,2.3209,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2010-10-29,2.4004,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2010-11-30,2.347,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2010-12-31,2.3993,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2011-01-31,2.4013,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2011-02-28,2.3041,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2011-03-31,2.3964,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2011-04-29,2.3815,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2011-05-31,2.3667,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2011-06-30,2.402,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2011-07-29,2.3527,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2011-08-31,2.1544,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2011-09-30,2.0567,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2011-10-31,2.2207,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2011-11-30,2.1862,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2011-12-30,2.2243,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2012-01-31,2.2278,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2012-02-29,2.2826,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2012-03-30,2.2618,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2012-04-30,2.2087,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2012-05-31,2.1437,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2012-06-29,2.1665,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2012-07-31,2.2,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2012-08-31,2.164,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2012-09-28,2.1024,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2012-10-31,2.1452,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2012-11-30,2.0975,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2012-12-31,2.1574,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2013-01-31,2.0867,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2013-02-28,2.1014,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2013-03-29,2.1475,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2013-04-30,2.1965,"PX TO BOOK RATIO","Malasia"
"MXMY INDEX",2013-05-31,2.2244,"PX TO BOOK RATIO","Malasia"
