"ticker","date","value","field","variable"
"MXMY INDEX",1987-12-31,40.1768,"TOT_RETURN_INDEX_GROSS_DVDS","Malasia"
"MXMY INDEX",1988-01-29,42.1882,"TOT_RETURN_INDEX_GROSS_DVDS","Malasia"
"MXMY INDEX",1988-02-29,39.9884,"TOT_RETURN_INDEX_GROSS_DVDS","Malasia"
"MXMY INDEX",1988-03-31,42.2062,"TOT_RETURN_INDEX_GROSS_DVDS","Malasia"
"MXMY INDEX",1988-04-29,45.7553,"TOT_RETURN_INDEX_GROSS_DVDS","Malasia"
"MXMY INDEX",1988-05-31,46.8946,"TOT_RETURN_INDEX_GROSS_DVDS","Malasia"
"MXMY INDEX",1988-06-30,52.7203,"TOT_RETURN_INDEX_GROSS_DVDS","Malasia"
"MXMY INDEX",1988-07-29,52.4308,"TOT_RETURN_INDEX_GROSS_DVDS","Malasia"
"MXMY INDEX",1988-08-31,46.6654,"TOT_RETURN_INDEX_GROSS_DVDS","Malasia"
"MXMY INDEX",1988-09-30,47.447,"TOT_RETURN_INDEX_GROSS_DVDS","Malasia"
"MXMY INDEX",1988-10-31,48.7645,"TOT_RETURN_INDEX_GROSS_DVDS","Malasia"
"MXMY INDEX",1988-11-30,48.9541,"TOT_RETURN_INDEX_GROSS_DVDS","Malasia"
"MXMY INDEX",1988-12-30,49.6863,"TOT_RETURN_INDEX_GROSS_DVDS","Malasia"
"MXMY INDEX",1989-01-31,53.7766,"TOT_RETURN_INDEX_GROSS_DVDS","Malasia"
"MXMY INDEX",1989-02-28,53.6856,"TOT_RETURN_INDEX_GROSS_DVDS","Malasia"
"MXMY INDEX",1989-03-31,55.5664,"TOT_RETURN_INDEX_GROSS_DVDS","Malasia"
"MXMY INDEX",1989-04-28,61.1538,"TOT_RETURN_INDEX_GROSS_DVDS","Malasia"
"MXMY INDEX",1989-05-31,60.8003,"TOT_RETURN_INDEX_GROSS_DVDS","Malasia"
"MXMY INDEX",1989-06-30,60.9882,"TOT_RETURN_INDEX_GROSS_DVDS","Malasia"
"MXMY INDEX",1989-07-31,63.9233,"TOT_RETURN_INDEX_GROSS_DVDS","Malasia"
"MXMY INDEX",1989-08-31,62.8683,"TOT_RETURN_INDEX_GROSS_DVDS","Malasia"
"MXMY INDEX",1989-09-29,67.5367,"TOT_RETURN_INDEX_GROSS_DVDS","Malasia"
"MXMY INDEX",1989-10-31,64.5198,"TOT_RETURN_INDEX_GROSS_DVDS","Malasia"
