"ticker","date","value","field","variable"
"MXPH INDEX",1991-11-29,9.99386,"PX LAST","Filipinas"
"MXPH INDEX",1991-12-31,10.64914,"PX LAST","Filipinas"
"MXPH INDEX",1992-01-31,11.56761,"PX LAST","Filipinas"
"MXPH INDEX",1992-02-28,12.15004,"PX LAST","Filipinas"
"MXPH INDEX",1992-03-31,11.46711,"PX LAST","Filipinas"
"MXPH INDEX",1992-04-30,12.23333,"PX LAST","Filipinas"
"MXPH INDEX",1992-05-29,14.0141,"PX LAST","Filipinas"
"MXPH INDEX",1992-06-30,16.12338,"PX LAST","Filipinas"
"MXPH INDEX",1992-07-31,16.00566,"PX LAST","Filipinas"
"MXPH INDEX",1992-08-31,15.31026,"PX LAST","Filipinas"
"MXPH INDEX",1992-09-30,15.825,"PX LAST","Filipinas"
"MXPH INDEX",1992-10-30,15.22536,"PX LAST","Filipinas"
"MXPH INDEX",1992-11-30,13.78627,"PX LAST","Filipinas"
"MXPH INDEX",1992-12-31,13.66943,"PX LAST","Filipinas"
"MXPH INDEX",1993-01-29,14.66303,"PX LAST","Filipinas"
"MXPH INDEX",1993-02-26,16.24,"PX LAST","Filipinas"
"MXPH INDEX",1993-03-31,15.05364,"PX LAST","Filipinas"
"MXPH INDEX",1993-04-30,15.55827,"PX LAST","Filipinas"
"MXPH INDEX",1993-05-31,15.28698,"PX LAST","Filipinas"
"MXPH INDEX",1993-06-30,15.21101,"PX LAST","Filipinas"
"MXPH INDEX",1993-07-30,16.54657,"PX LAST","Filipinas"
"MXPH INDEX",1993-08-31,17.26988,"PX LAST","Filipinas"
"MXPH INDEX",1993-09-30,18.12479,"PX LAST","Filipinas"
"MXPH INDEX",1993-10-29,22.34764,"PX LAST","Filipinas"
"MXPH INDEX",1993-11-30,23.20064,"PX LAST","Filipinas"
"MXPH INDEX",1993-12-31,32.08784,"PX LAST","Filipinas"
"MXPH INDEX",1994-01-31,28.79602,"PX LAST","Filipinas"
"MXPH INDEX",1994-02-28,28.0697,"PX LAST","Filipinas"
"MXPH INDEX",1994-03-31,27.2126,"PX LAST","Filipinas"
"MXPH INDEX",1994-04-29,28.69234,"PX LAST","Filipinas"
"MXPH INDEX",1994-05-31,30.99738,"PX LAST","Filipinas"
"MXPH INDEX",1994-06-30,28.06425,"PX LAST","Filipinas"
"MXPH INDEX",1994-07-29,28.51736,"PX LAST","Filipinas"
"MXPH INDEX",1994-08-31,31.55948,"PX LAST","Filipinas"
"MXPH INDEX",1994-09-30,28.91276,"PX LAST","Filipinas"
"MXPH INDEX",1994-10-31,31.11111,"PX LAST","Filipinas"
"MXPH INDEX",1994-11-30,28.79834,"PX LAST","Filipinas"
"MXPH INDEX",1994-12-30,29.17285,"PX LAST","Filipinas"
"MXPH INDEX",1995-01-31,25.25806,"PX LAST","Filipinas"
"MXPH INDEX",1995-02-28,25.41233,"PX LAST","Filipinas"
"MXPH INDEX",1995-03-31,24.34912,"PX LAST","Filipinas"
"MXPH INDEX",1995-04-28,24.90195,"PX LAST","Filipinas"
"MXPH INDEX",1995-05-31,28.84104,"PX LAST","Filipinas"
"MXPH INDEX",1995-06-30,28.89166,"PX LAST","Filipinas"
"MXPH INDEX",1995-07-31,29.40298,"PX LAST","Filipinas"
"MXPH INDEX",1995-08-31,27.71379,"PX LAST","Filipinas"
"MXPH INDEX",1995-09-29,26.46012,"PX LAST","Filipinas"
"MXPH INDEX",1995-10-31,24.30299,"PX LAST","Filipinas"
"MXPH INDEX",1995-11-30,24.18271,"PX LAST","Filipinas"
"MXPH INDEX",1995-12-29,25.91777,"PX LAST","Filipinas"
"MXPH INDEX",1996-01-31,28.50581,"PX LAST","Filipinas"
"MXPH INDEX",1996-02-29,28.02562,"PX LAST","Filipinas"
"MXPH INDEX",1996-03-29,27.46812,"PX LAST","Filipinas"
"MXPH INDEX",1996-04-30,28.20506,"PX LAST","Filipinas"
"MXPH INDEX",1996-05-31,31.36157,"PX LAST","Filipinas"
"MXPH INDEX",1996-06-28,31.90324,"PX LAST","Filipinas"
"MXPH INDEX",1996-07-31,29.50509,"PX LAST","Filipinas"
"MXPH INDEX",1996-08-30,31.22279,"PX LAST","Filipinas"
"MXPH INDEX",1996-09-30,30.46585,"PX LAST","Filipinas"
"MXPH INDEX",1996-10-31,28.11985,"PX LAST","Filipinas"
"MXPH INDEX",1996-11-29,29.5236,"PX LAST","Filipinas"
"MXPH INDEX",1996-12-31,30.20608,"PX LAST","Filipinas"
"MXPH INDEX",1997-01-31,33.12159,"PX LAST","Filipinas"
"MXPH INDEX",1997-02-28,31.94941,"PX LAST","Filipinas"
"MXPH INDEX",1997-03-31,30.9673,"PX LAST","Filipinas"
"MXPH INDEX",1997-04-30,25.70412,"PX LAST","Filipinas"
"MXPH INDEX",1997-05-30,26.69912,"PX LAST","Filipinas"
"MXPH INDEX",1997-06-30,26.51109,"PX LAST","Filipinas"
"MXPH INDEX",1997-07-31,23.33279,"PX LAST","Filipinas"
"MXPH INDEX",1997-08-29,16.60657,"PX LAST","Filipinas"
"MXPH INDEX",1997-09-30,14.63627,"PX LAST","Filipinas"
"MXPH INDEX",1997-10-31,12.81793,"PX LAST","Filipinas"
"MXPH INDEX",1997-11-28,12.47155,"PX LAST","Filipinas"
