"ticker","date","value","field","variable"
"MXPH INDEX",1995-07-31,3.7165,"PX TO BOOK RATIO","Filipinas"
"MXPH INDEX",1995-08-31,3.5495,"PX TO BOOK RATIO","Filipinas"
"MXPH INDEX",1995-09-29,3.3994,"PX TO BOOK RATIO","Filipinas"
"MXPH INDEX",1995-10-31,3.152,"PX TO BOOK RATIO","Filipinas"
"MXPH INDEX",1995-11-30,3.0682,"PX TO BOOK RATIO","Filipinas"
"MXPH INDEX",1995-12-29,3.2934,"PX TO BOOK RATIO","Filipinas"
"MXPH INDEX",1996-01-31,3.5284,"PX TO BOOK RATIO","Filipinas"
"MXPH INDEX",1996-02-29,3.4669,"PX TO BOOK RATIO","Filipinas"
"MXPH INDEX",1996-03-29,3.402,"PX TO BOOK RATIO","Filipinas"
"MXPH INDEX",1996-04-30,2.8635,"PX TO BOOK RATIO","Filipinas"
"MXPH INDEX",1996-05-31,3.1864,"PX TO BOOK RATIO","Filipinas"
"MXPH INDEX",1996-06-28,3.2427,"PX TO BOOK RATIO","Filipinas"
"MXPH INDEX",1996-07-31,3.1367,"PX TO BOOK RATIO","Filipinas"
"MXPH INDEX",1996-08-30,3.318,"PX TO BOOK RATIO","Filipinas"
"MXPH INDEX",1996-09-30,3.2426,"PX TO BOOK RATIO","Filipinas"
"MXPH INDEX",1996-10-31,2.9062,"PX TO BOOK RATIO","Filipinas"
"MXPH INDEX",1996-11-29,3.0528,"PX TO BOOK RATIO","Filipinas"
"MXPH INDEX",1996-12-31,3.1257,"PX TO BOOK RATIO","Filipinas"
"MXPH INDEX",1997-01-31,3.8671,"PX TO BOOK RATIO","Filipinas"
"MXPH INDEX",1997-02-28,3.7093,"PX TO BOOK RATIO","Filipinas"
"MXPH INDEX",1997-03-31,3.5994,"PX TO BOOK RATIO","Filipinas"
"MXPH INDEX",1997-04-30,2.4393,"PX TO BOOK RATIO","Filipinas"
"MXPH INDEX",1997-05-30,2.549,"PX TO BOOK RATIO","Filipinas"
