"ticker","date","value","field","variable"
"MXPH INDEX",1991-11-29,9.9939,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1991-12-31,10.6491,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1992-01-31,11.5676,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1992-02-28,12.15,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1992-03-31,11.4671,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1992-04-30,12.2333,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1992-05-29,14.0141,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1992-06-30,16.1234,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1992-07-31,16.0057,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1992-08-31,15.3103,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1992-09-30,15.825,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1992-10-30,15.2254,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1992-11-30,13.7863,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1992-12-31,13.6694,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1993-01-29,14.663,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1993-02-26,16.24,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1993-03-31,15.0536,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1993-04-30,15.5583,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1993-05-31,15.287,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1993-06-30,15.211,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1993-07-30,16.5466,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1993-08-31,17.2699,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1993-09-30,18.1248,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1993-10-29,22.3476,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1993-11-30,23.2006,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1993-12-31,32.0878,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1994-01-31,28.796,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1994-02-28,28.0697,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1994-03-31,27.2126,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1994-04-29,28.6923,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1994-05-31,30.9974,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1994-06-30,28.0643,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1994-07-29,28.5174,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1994-08-31,31.5595,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1994-09-30,28.9128,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1994-10-31,31.1111,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1994-11-30,28.7983,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1994-12-30,29.1728,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1995-01-31,25.2581,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1995-02-28,25.4801,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1995-03-31,24.4389,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1995-04-28,25.0008,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1995-05-31,28.9606,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1995-06-30,29.0288,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1995-07-31,29.5431,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1995-08-31,27.8636,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1995-09-29,26.6198,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1995-10-31,24.4611,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1995-11-30,24.3423,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1995-12-29,26.1066,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1996-01-31,28.7141,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1996-02-29,28.2573,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1996-03-29,27.7889,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1996-04-30,28.5493,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1996-05-31,31.7636,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1996-06-28,32.3324,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1996-07-31,29.9027,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1996-08-30,31.6823,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1996-09-30,30.9348,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1996-10-31,28.5569,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1996-11-29,29.9948,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1996-12-31,30.7044,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1997-01-31,33.6687,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1997-02-28,32.5084,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1997-03-31,31.6066,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1997-04-30,26.2501,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1997-05-30,27.2849,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1997-06-30,27.1125,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1997-07-31,23.8627,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1997-08-29,17.0088,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1997-09-30,15.0048,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1997-10-31,13.1407,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1997-11-28,12.7865,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1997-12-31,11.4865,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1998-01-30,11.6908,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1998-02-27,14.5324,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1998-03-31,15.5366,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1998-04-30,14.0538,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1998-05-29,13.5418,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1998-06-30,10.9759,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1998-07-31,9.9973,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1998-08-31,7.2881,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1998-09-30,8.2407,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1998-10-30,11.8498,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1998-11-30,13.5035,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1998-12-31,13.1313,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1999-01-29,13.0192,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1999-02-26,13.118,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1999-03-31,13.7627,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1999-04-30,17.1336,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1999-05-31,16.1686,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1999-06-30,16.723,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1999-07-30,15.1146,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1999-08-31,13.6809,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1999-09-30,12.7762,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1999-10-29,13.008,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1999-11-30,12.413,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",1999-12-31,13.5992,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",2000-01-31,12.3877,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",2000-02-29,10.4375,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",2000-03-31,10.3303,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",2000-04-28,9.5758,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",2000-05-31,8.6606,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",2000-06-30,8.7401,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",2000-07-31,7.4906,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",2000-08-31,8.102,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",2000-09-29,7.4749,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",2000-10-31,6.1437,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",2000-11-30,6.8593,"TOT RETURN INDEX GROSS DVDS","Filipinas"
"MXPH INDEX",2000-12-29,7.5045,"TOT RETURN INDEX GROSS DVDS","Filipinas"
