"ticker","date","value","field","variable"
"MXRU INDEX",1994-12-30,100,"PX LAST","Russia"
"MXRU INDEX",1995-01-31,78.013,"PX LAST","Russia"
"MXRU INDEX",1995-02-28,62.4293,"PX LAST","Russia"
"MXRU INDEX",1995-03-31,67.8173,"PX LAST","Russia"
"MXRU INDEX",1995-04-28,51.322,"PX LAST","Russia"
"MXRU INDEX",1995-05-31,67.6469,"PX LAST","Russia"
"MXRU INDEX",1995-06-30,96.8626,"PX LAST","Russia"
"MXRU INDEX",1995-07-31,96.8296,"PX LAST","Russia"
"MXRU INDEX",1995-08-31,83.91,"PX LAST","Russia"
"MXRU INDEX",1995-09-29,79.7799,"PX LAST","Russia"
"MXRU INDEX",1995-10-31,67.3375,"PX LAST","Russia"
"MXRU INDEX",1995-11-30,64.5617,"PX LAST","Russia"
"MXRU INDEX",1995-12-29,71.9993,"PX LAST","Russia"
"MXRU INDEX",1996-01-31,73.4834,"PX LAST","Russia"
"MXRU INDEX",1996-02-29,65.9251,"PX LAST","Russia"
"MXRU INDEX",1996-03-29,68.9369,"PX LAST","Russia"
"MXRU INDEX",1996-04-30,96.1711,"PX LAST","Russia"
"MXRU INDEX",1996-05-31,131.5486,"PX LAST","Russia"
"MXRU INDEX",1996-06-28,187.1005,"PX LAST","Russia"
"MXRU INDEX",1996-07-31,138.9308,"PX LAST","Russia"
"MXRU INDEX",1996-08-30,171.4609,"PX LAST","Russia"
"MXRU INDEX",1996-09-30,152.924,"PX LAST","Russia"
"MXRU INDEX",1996-10-31,167.0777,"PX LAST","Russia"
"MXRU INDEX",1996-11-29,171.7199,"PX LAST","Russia"
"MXRU INDEX",1996-12-31,180.7632,"PX LAST","Russia"
"MXRU INDEX",1997-01-31,249.6065,"PX LAST","Russia"
"MXRU INDEX",1997-02-28,294.862,"PX LAST","Russia"
"MXRU INDEX",1997-03-31,271.8362,"PX LAST","Russia"
"MXRU INDEX",1997-04-30,293.8737,"PX LAST","Russia"
"MXRU INDEX",1997-05-30,330.2737,"PX LAST","Russia"
"MXRU INDEX",1997-06-30,392.7341,"PX LAST","Russia"
"MXRU INDEX",1997-07-31,457.413,"PX LAST","Russia"
"MXRU INDEX",1997-08-29,432.8435,"PX LAST","Russia"
"MXRU INDEX",1997-09-30,465.5684,"PX LAST","Russia"
"MXRU INDEX",1997-10-31,398.7867,"PX LAST","Russia"
"MXRU INDEX",1997-11-28,313.8609,"PX LAST","Russia"
