"ticker","date","value","field","variable"
"MXRU INDEX",2001-05-31,0.6499,"PX TO BOOK RATIO","Russia"
"MXRU INDEX",2001-06-29,0.6389,"PX TO BOOK RATIO","Russia"
"MXRU INDEX",2001-07-31,0.5714,"PX TO BOOK RATIO","Russia"
"MXRU INDEX",2001-08-31,0.6002,"PX TO BOOK RATIO","Russia"
"MXRU INDEX",2001-09-28,0.5109,"PX TO BOOK RATIO","Russia"
"MXRU INDEX",2001-10-31,0.5481,"PX TO BOOK RATIO","Russia"
"MXRU INDEX",2001-11-30,0.6158,"PX TO BOOK RATIO","Russia"
"MXRU INDEX",2001-12-31,0.6796,"PX TO BOOK RATIO","Russia"
"MXRU INDEX",2002-01-31,0.7837,"PX TO BOOK RATIO","Russia"
"MXRU INDEX",2002-02-28,0.7238,"PX TO BOOK RATIO","Russia"
"MXRU INDEX",2002-03-29,0.6554,"PX TO BOOK RATIO","Russia"
"MXRU INDEX",2002-04-30,0.7148,"PX TO BOOK RATIO","Russia"
"MXRU INDEX",2002-05-31,0.7194,"PX TO BOOK RATIO","Russia"
"MXRU INDEX",2002-06-28,1.1865,"PX TO BOOK RATIO","Russia"
"MXRU INDEX",2002-07-31,1.075,"PX TO BOOK RATIO","Russia"
"MXRU INDEX",2002-08-30,1.11,"PX TO BOOK RATIO","Russia"
"MXRU INDEX",2002-09-30,1.1018,"PX TO BOOK RATIO","Russia"
"MXRU INDEX",2002-10-31,1.4073,"PX TO BOOK RATIO","Russia"
"MXRU INDEX",2002-11-29,1.4051,"PX TO BOOK RATIO","Russia"
"MXRU INDEX",2002-12-31,1.379,"PX TO BOOK RATIO","Russia"
"MXRU INDEX",2003-01-31,1.2743,"PX TO BOOK RATIO","Russia"
"MXRU INDEX",2003-02-28,1.4046,"PX TO BOOK RATIO","Russia"
"MXRU INDEX",2003-03-31,1.3162,"PX TO BOOK RATIO","Russia"
"MXRU INDEX",2003-04-30,1.5954,"PX TO BOOK RATIO","Russia"
"MXRU INDEX",2003-05-30,1.5717,"PX TO BOOK RATIO","Russia"
"MXRU INDEX",2003-06-30,1.667,"PX TO BOOK RATIO","Russia"
"MXRU INDEX",2003-07-31,1.5419,"PX TO BOOK RATIO","Russia"
"MXRU INDEX",2003-08-29,1.7555,"PX TO BOOK RATIO","Russia"
"MXRU INDEX",2003-09-30,1.8403,"PX TO BOOK RATIO","Russia"
"MXRU INDEX",2003-10-31,1.717,"PX TO BOOK RATIO","Russia"
"MXRU INDEX",2003-11-28,1.8212,"PX TO BOOK RATIO","Russia"
"MXRU INDEX",2003-12-31,2.046,"PX TO BOOK RATIO","Russia"
"MXRU INDEX",2004-01-30,2.1751,"PX TO BOOK RATIO","Russia"
"MXRU INDEX",2004-02-27,2.364,"PX TO BOOK RATIO","Russia"
"MXRU INDEX",2004-03-31,2.6475,"PX TO BOOK RATIO","Russia"
"MXRU INDEX",2004-04-30,2.2109,"PX TO BOOK RATIO","Russia"
"MXRU INDEX",2004-05-31,2.0889,"PX TO BOOK RATIO","Russia"
"MXRU INDEX",2004-06-30,2.0762,"PX TO BOOK RATIO","Russia"
"MXRU INDEX",2004-09-30,2.01,"PX TO BOOK RATIO","Russia"
"MXRU INDEX",2004-10-29,2.0997,"PX TO BOOK RATIO","Russia"
"MXRU INDEX",2004-11-30,1.9699,"PX TO BOOK RATIO","Russia"
"MXRU INDEX",2004-12-31,2.0547,"PX TO BOOK RATIO","Russia"
"MXRU INDEX",2005-01-31,2.1166,"PX TO BOOK RATIO","Russia"
"MXRU INDEX",2005-02-28,2.3545,"PX TO BOOK RATIO","Russia"
"MXRU INDEX",2005-03-31,2.1555,"PX TO BOOK RATIO","Russia"
"MXRU INDEX",2005-04-29,2.1751,"PX TO BOOK RATIO","Russia"
"MXRU INDEX",2005-05-31,2.279,"PX TO BOOK RATIO","Russia"
"MXRU INDEX",2005-06-30,2.3535,"PX TO BOOK RATIO","Russia"
"MXRU INDEX",2005-07-29,2.6101,"PX TO BOOK RATIO","Russia"
"MXRU INDEX",2005-08-31,2.9815,"PX TO BOOK RATIO","Russia"
"MXRU INDEX",2005-09-30,1.6511,"PX TO BOOK RATIO","Russia"
"MXRU INDEX",2005-10-31,1.5225,"PX TO BOOK RATIO","Russia"
"MXRU INDEX",2005-11-30,1.6345,"PX TO BOOK RATIO","Russia"
