"ticker","date","value","field","variable"
"MXRU INDEX",1994-12-30,100,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",1995-01-31,78.013,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",1995-02-28,62.4293,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",1995-03-31,67.8173,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",1995-04-28,51.322,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",1995-05-31,67.6469,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",1995-06-30,96.8626,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",1995-07-31,96.8296,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",1995-08-31,83.91,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",1995-09-29,79.7799,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",1995-10-31,67.3375,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",1995-11-30,64.5617,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",1995-12-29,71.9993,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",1996-01-31,73.4834,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",1996-02-29,65.9266,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",1996-03-29,68.94,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",1996-04-30,96.1995,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",1996-05-31,131.5874,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",1996-06-28,187.1557,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",1996-07-31,138.9718,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",1996-08-30,171.5114,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",1996-09-30,152.9691,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",1996-10-31,167.127,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",1996-11-29,171.7705,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",1996-12-31,180.8165,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",1997-01-31,249.6801,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",1997-02-28,294.9489,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",1997-03-31,271.9163,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",1997-04-30,342.1516,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",1997-05-30,384.5586,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",1997-06-30,457.3667,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",1997-07-31,532.6898,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",1997-08-29,504.0769,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",1997-09-30,542.1873,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",1997-10-31,464.4153,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",1997-11-28,365.5132,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",1997-12-31,445.3713,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",1998-01-30,311.6055,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",1998-02-27,365.7571,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",1998-03-31,386.9303,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",1998-04-30,378.3364,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",1998-05-29,229.4454,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",1998-06-30,180.1597,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",1998-07-31,183.7479,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",1998-08-31,72.4492,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",1998-09-30,44.6957,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",1998-10-30,69.1329,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",1998-11-30,96.3455,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",1998-12-31,75.2578,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",1999-01-29,71.2582,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",1999-02-26,97.2857,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",1999-03-31,122.8004,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",1999-04-30,142.9165,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",1999-05-31,149.2234,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",1999-06-30,175.8534,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",1999-07-30,170.2085,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",1999-08-31,143.9057,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",1999-09-30,120.5683,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",1999-10-29,140.8282,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",1999-11-30,161.9858,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",1999-12-31,261.012,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",2000-01-31,239.4466,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",2000-02-29,233.2034,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",2000-03-31,320.7956,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",2000-04-28,315.6383,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",2000-05-31,268.7209,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",2000-06-30,246.9637,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",2000-07-31,276.3978,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",2000-08-31,329.3339,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",2000-09-29,269.9221,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",2000-10-31,253.4039,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",2000-11-30,178.269,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",2000-12-29,183.0211,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",2001-01-31,218.5513,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",2001-02-28,200.2209,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",2001-03-30,199.6667,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",2001-04-30,218.0162,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",2001-05-31,259.1422,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",2001-06-29,254.7816,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",2001-07-31,229.5621,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",2001-08-31,241.1322,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",2001-09-28,205.2429,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",2001-10-31,230.876,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",2001-11-30,259.4271,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",2001-12-31,286.2778,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",2002-01-31,312.4287,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",2002-02-28,288.9742,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",2002-03-29,338.8899,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",2002-04-30,369.6654,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",2002-05-31,377.2566,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",2002-06-28,338.2588,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",2002-07-31,304.5155,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",2002-08-30,314.4557,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",2002-09-30,312.1228,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",2002-10-31,337.8639,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",2002-11-29,338.6768,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",2002-12-31,332.391,"TOT RETURN INDEX GROSS DVDS","Russia"
"MXRU INDEX",2003-01-31,314.4786,"TOT RETURN INDEX GROSS DVDS","Russia"
