"ticker","date","value","field","variable"
"MXTH INDEX",1987-12-31,3.98565,"PX LAST","Tailandia"
"MXTH INDEX",1988-01-29,4.56815,"PX LAST","Tailandia"
"MXTH INDEX",1988-02-29,5.37125,"PX LAST","Tailandia"
"MXTH INDEX",1988-03-31,5.57727,"PX LAST","Tailandia"
"MXTH INDEX",1988-04-29,6.10608,"PX LAST","Tailandia"
"MXTH INDEX",1988-05-31,6.20501,"PX LAST","Tailandia"
"MXTH INDEX",1988-06-30,6.5971,"PX LAST","Tailandia"
"MXTH INDEX",1988-07-29,6.7501,"PX LAST","Tailandia"
"MXTH INDEX",1988-08-31,6.42589,"PX LAST","Tailandia"
"MXTH INDEX",1988-09-30,6.5409,"PX LAST","Tailandia"
"MXTH INDEX",1988-10-31,6.2597,"PX LAST","Tailandia"
"MXTH INDEX",1988-11-30,5.83632,"PX LAST","Tailandia"
"MXTH INDEX",1988-12-30,5.6627,"PX LAST","Tailandia"
"MXTH INDEX",1989-01-31,6.24862,"PX LAST","Tailandia"
"MXTH INDEX",1989-02-28,6.21042,"PX LAST","Tailandia"
"MXTH INDEX",1989-03-31,6.13045,"PX LAST","Tailandia"
"MXTH INDEX",1989-04-28,6.93305,"PX LAST","Tailandia"
"MXTH INDEX",1989-05-31,7.48209,"PX LAST","Tailandia"
"MXTH INDEX",1989-06-30,8.03779,"PX LAST","Tailandia"
"MXTH INDEX",1989-07-31,8.13499,"PX LAST","Tailandia"
"MXTH INDEX",1989-08-31,8.90674,"PX LAST","Tailandia"
"MXTH INDEX",1989-09-29,9.04241,"PX LAST","Tailandia"
"MXTH INDEX",1989-10-31,9.24255,"PX LAST","Tailandia"
"MXTH INDEX",1989-11-30,10.53292,"PX LAST","Tailandia"
"MXTH INDEX",1989-12-29,11.64706,"PX LAST","Tailandia"
"MXTH INDEX",1990-01-31,11.32775,"PX LAST","Tailandia"
"MXTH INDEX",1990-02-28,10.59496,"PX LAST","Tailandia"
"MXTH INDEX",1990-03-30,10.94735,"PX LAST","Tailandia"
"MXTH INDEX",1990-04-30,10.96274,"PX LAST","Tailandia"
"MXTH INDEX",1990-05-31,12.69632,"PX LAST","Tailandia"
"MXTH INDEX",1990-06-29,13.35681,"PX LAST","Tailandia"
"MXTH INDEX",1990-07-31,14.25633,"PX LAST","Tailandia"
"MXTH INDEX",1990-08-31,11.28044,"PX LAST","Tailandia"
"MXTH INDEX",1990-09-28,8.40812,"PX LAST","Tailandia"
"MXTH INDEX",1990-10-31,8.41291,"PX LAST","Tailandia"
"MXTH INDEX",1990-11-30,7.25817,"PX LAST","Tailandia"
"MXTH INDEX",1990-12-31,8.16318,"PX LAST","Tailandia"
"MXTH INDEX",1991-01-31,8.99365,"PX LAST","Tailandia"
"MXTH INDEX",1991-02-28,10.48238,"PX LAST","Tailandia"
"MXTH INDEX",1991-03-29,11.41046,"PX LAST","Tailandia"
"MXTH INDEX",1991-04-30,11.28316,"PX LAST","Tailandia"
"MXTH INDEX",1991-05-31,10.22951,"PX LAST","Tailandia"
"MXTH INDEX",1991-06-28,9.66731,"PX LAST","Tailandia"
"MXTH INDEX",1991-07-31,9.36353,"PX LAST","Tailandia"
"MXTH INDEX",1991-08-30,9.16557,"PX LAST","Tailandia"
"MXTH INDEX",1991-09-30,8.77673,"PX LAST","Tailandia"
"MXTH INDEX",1991-10-31,8.34738,"PX LAST","Tailandia"
"MXTH INDEX",1991-11-29,8.90501,"PX LAST","Tailandia"
"MXTH INDEX",1991-12-31,9.61056,"PX LAST","Tailandia"
"MXTH INDEX",1992-01-31,10.46829,"PX LAST","Tailandia"
"MXTH INDEX",1992-02-28,10.49745,"PX LAST","Tailandia"
"MXTH INDEX",1992-03-31,11.11163,"PX LAST","Tailandia"
"MXTH INDEX",1992-04-30,10.27769,"PX LAST","Tailandia"
"MXTH INDEX",1992-05-29,9.57674,"PX LAST","Tailandia"
"MXTH INDEX",1992-06-30,10.3786,"PX LAST","Tailandia"
"MXTH INDEX",1992-07-31,10.22209,"PX LAST","Tailandia"
"MXTH INDEX",1992-08-31,10.45719,"PX LAST","Tailandia"
"MXTH INDEX",1992-09-30,11.77416,"PX LAST","Tailandia"
"MXTH INDEX",1992-10-30,13.0319,"PX LAST","Tailandia"
"MXTH INDEX",1992-11-30,12.32798,"PX LAST","Tailandia"
"MXTH INDEX",1992-12-31,12.56438,"PX LAST","Tailandia"
"MXTH INDEX",1993-01-29,14.08471,"PX LAST","Tailandia"
"MXTH INDEX",1993-02-26,13.87667,"PX LAST","Tailandia"
"MXTH INDEX",1993-03-31,12.75403,"PX LAST","Tailandia"
"MXTH INDEX",1993-04-30,13.13782,"PX LAST","Tailandia"
"MXTH INDEX",1993-05-31,12.79689,"PX LAST","Tailandia"
"MXTH INDEX",1993-06-30,13.34643,"PX LAST","Tailandia"
"MXTH INDEX",1993-07-30,13.68718,"PX LAST","Tailandia"
"MXTH INDEX",1993-08-31,14.09167,"PX LAST","Tailandia"
"MXTH INDEX",1993-09-30,14.37421,"PX LAST","Tailandia"
"MXTH INDEX",1993-10-29,18.60669,"PX LAST","Tailandia"
"MXTH INDEX",1993-11-30,19.40906,"PX LAST","Tailandia"
"MXTH INDEX",1993-12-31,24.98905,"PX LAST","Tailandia"
"MXTH INDEX",1994-01-31,22.55477,"PX LAST","Tailandia"
"MXTH INDEX",1994-02-28,20.42097,"PX LAST","Tailandia"
"MXTH INDEX",1994-03-31,18.68158,"PX LAST","Tailandia"
"MXTH INDEX",1994-04-29,19.31032,"PX LAST","Tailandia"
"MXTH INDEX",1994-05-31,21.045,"PX LAST","Tailandia"
"MXTH INDEX",1994-06-30,20.39488,"PX LAST","Tailandia"
"MXTH INDEX",1994-07-29,22.56013,"PX LAST","Tailandia"
"MXTH INDEX",1994-08-31,24.91668,"PX LAST","Tailandia"
"MXTH INDEX",1994-09-30,23.84991,"PX LAST","Tailandia"
"MXTH INDEX",1994-10-31,24.91894,"PX LAST","Tailandia"
"MXTH INDEX",1994-11-30,22.16294,"PX LAST","Tailandia"
"MXTH INDEX",1994-12-30,22.23904,"PX LAST","Tailandia"
"MXTH INDEX",1995-01-31,19.60075,"PX LAST","Tailandia"
"MXTH INDEX",1995-02-28,20.90087,"PX LAST","Tailandia"
"MXTH INDEX",1995-03-31,19.82434,"PX LAST","Tailandia"
"MXTH INDEX",1995-04-28,19.97319,"PX LAST","Tailandia"
"MXTH INDEX",1995-05-31,23.17184,"PX LAST","Tailandia"
"MXTH INDEX",1995-06-30,22.96997,"PX LAST","Tailandia"
"MXTH INDEX",1995-07-31,22.5475,"PX LAST","Tailandia"
"MXTH INDEX",1995-08-31,21.31002,"PX LAST","Tailandia"
"MXTH INDEX",1995-09-29,21.16835,"PX LAST","Tailandia"
"MXTH INDEX",1995-10-31,20.82829,"PX LAST","Tailandia"
"MXTH INDEX",1995-11-30,19.57329,"PX LAST","Tailandia"
"MXTH INDEX",1995-12-29,20.97538,"PX LAST","Tailandia"
"MXTH INDEX",1996-01-31,22.89811,"PX LAST","Tailandia"
"MXTH INDEX",1996-02-29,21.58171,"PX LAST","Tailandia"
"MXTH INDEX",1996-03-29,21.10023,"PX LAST","Tailandia"
"MXTH INDEX",1996-04-30,21.50424,"PX LAST","Tailandia"
"MXTH INDEX",1996-05-31,21.84789,"PX LAST","Tailandia"
"MXTH INDEX",1996-06-28,20.63507,"PX LAST","Tailandia"
"MXTH INDEX",1996-07-31,17.62952,"PX LAST","Tailandia"
"MXTH INDEX",1996-08-30,17.87391,"PX LAST","Tailandia"
"MXTH INDEX",1996-09-30,17.82478,"PX LAST","Tailandia"
"MXTH INDEX",1996-10-31,14.37677,"PX LAST","Tailandia"
"MXTH INDEX",1996-11-29,14.73526,"PX LAST","Tailandia"
"MXTH INDEX",1996-12-31,13.00714,"PX LAST","Tailandia"
"MXTH INDEX",1997-01-31,12.26559,"PX LAST","Tailandia"
"MXTH INDEX",1997-02-28,11.21172,"PX LAST","Tailandia"
"MXTH INDEX",1997-03-31,11.03554,"PX LAST","Tailandia"
"MXTH INDEX",1997-04-30,10.4617,"PX LAST","Tailandia"
"MXTH INDEX",1997-05-30,9.21101,"PX LAST","Tailandia"
"MXTH INDEX",1997-06-30,8.7543,"PX LAST","Tailandia"
"MXTH INDEX",1997-07-31,9.25556,"PX LAST","Tailandia"
"MXTH INDEX",1997-08-29,6.10519,"PX LAST","Tailandia"
"MXTH INDEX",1997-09-30,6.89294,"PX LAST","Tailandia"
"MXTH INDEX",1997-10-31,4.55314,"PX LAST","Tailandia"
"MXTH INDEX",1997-11-28,4.01687,"PX LAST","Tailandia"
"MXTH INDEX",1997-12-31,3.4412,"PX LAST","Tailandia"
"MXTH INDEX",1998-01-30,4.40175,"PX LAST","Tailandia"
"MXTH INDEX",1998-02-27,5.39095,"PX LAST","Tailandia"
"MXTH INDEX",1998-03-31,4.83453,"PX LAST","Tailandia"
"MXTH INDEX",1998-04-30,4.30639,"PX LAST","Tailandia"
"MXTH INDEX",1998-05-29,3.15029,"PX LAST","Tailandia"
"MXTH INDEX",1998-06-30,2.2787,"PX LAST","Tailandia"
"MXTH INDEX",1998-07-31,2.37438,"PX LAST","Tailandia"
"MXTH INDEX",1998-08-31,1.77104,"PX LAST","Tailandia"
"MXTH INDEX",1998-09-30,2.4176,"PX LAST","Tailandia"
"MXTH INDEX",1998-10-30,3.3368,"PX LAST","Tailandia"
"MXTH INDEX",1998-11-30,3.87686,"PX LAST","Tailandia"
"MXTH INDEX",1998-12-31,3.68492,"PX LAST","Tailandia"
"MXTH INDEX",1999-01-29,3.81898,"PX LAST","Tailandia"
