"ticker","date","value","field","variable"
"MXTH INDEX",1995-07-31,3.4867,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",1995-08-31,3.3336,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",1995-09-29,3.316,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",1995-10-31,3.261,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",1995-11-30,3.0645,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",1995-12-29,3.288,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",1996-01-31,3.6086,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",1996-02-29,3.3836,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",1996-03-29,2.8241,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",1996-04-30,2.8781,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",1996-05-31,2.9328,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",1996-06-28,2.6215,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",1996-07-31,2.2318,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",1996-08-30,2.253,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",1996-09-30,2.2517,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",1996-10-31,1.8229,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",1996-11-29,1.8691,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",1996-12-31,1.595,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",1997-01-31,1.5185,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",1997-02-28,1.3882,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",1997-03-31,1.3973,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",1997-04-30,1.4324,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",1997-05-30,1.2006,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",1997-06-30,1.0785,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",1997-07-31,1.7616,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",1997-08-29,1.247,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",1997-09-30,1.4801,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",2000-08-31,1.7928,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",2000-09-29,1.4617,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",2000-10-31,1.474,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",2000-11-30,1.8063,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",2000-12-29,1.7226,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",2001-01-31,2.2085,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",2001-02-28,2.1532,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",2001-03-30,1.9207,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",2001-04-30,1.9761,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",2001-05-31,1.4166,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",2001-06-29,1.4385,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",2001-07-31,1.3025,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",2001-08-31,1.5024,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",2001-09-28,1.2406,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",2001-10-31,1.3807,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",2001-11-30,1.6313,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",2001-12-31,1.6063,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",2002-01-31,1.9025,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",2002-02-28,2.0284,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",2002-03-29,2.1503,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",2002-04-30,2.1116,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",2002-05-31,2.4935,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",2002-06-28,2.3053,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",2002-07-31,2.2036,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",2002-08-30,1.9821,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",2002-09-30,1.8099,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",2002-10-31,1.971,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",2002-11-29,1.9591,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",2002-12-31,1.9256,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",2003-01-31,2.0485,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",2003-02-28,1.9874,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",2003-03-31,1.9132,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",2003-04-30,1.9418,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",2003-05-30,2.0523,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",2003-06-30,2.2761,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",2003-07-31,2.3322,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",2003-08-29,2.3185,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",2003-09-30,2.4478,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",2003-10-31,2.5935,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",2003-11-28,2.5039,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",2003-12-31,3.2543,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",2004-01-30,2.9496,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",2004-02-27,3.3162,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",2004-03-31,2.4176,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",2004-04-30,2.4224,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",2004-05-31,2.3638,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",2004-06-30,2.3961,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",2004-07-30,2.3638,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",2004-08-31,2.4302,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",2004-09-30,2.5027,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",2004-10-29,2.4619,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",2004-11-30,2.5225,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",2004-12-31,2.5318,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",2005-01-31,2.6201,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",2005-02-28,2.8281,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",2005-03-31,2.3695,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",2005-04-29,2.2914,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",2005-05-31,2.2095,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",2005-06-30,2.241,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",2005-07-29,2.2942,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",2005-08-31,2.3433,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",2005-09-30,2.4188,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",2005-10-31,2.2351,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",2005-11-30,2.18,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",2005-12-30,2.3682,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",2006-01-31,2.5402,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",2006-02-28,2.4703,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",2006-03-31,2.401,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",2006-04-28,2.5084,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",2006-05-31,2.1629,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",2006-06-30,2.0725,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",2006-07-31,2.1268,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",2006-08-31,2.1217,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",2006-09-29,2.1319,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",2006-10-31,2.2456,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",2006-11-30,2.2201,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",2006-12-29,2.0175,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",2007-01-31,1.9391,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",2007-02-28,1.8851,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",2007-03-30,1.8745,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",2007-04-30,1.9453,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",2007-05-31,1.9632,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",2007-06-29,2.0504,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",2007-07-31,2.2931,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",2007-08-31,2.1792,"PX TO BOOK RATIO","Tailandia"
"MXTH INDEX",2007-09-28,2.285,"PX TO BOOK RATIO","Tailandia"
