"ticker","date","value","field","variable","nice_field"
"MXTH INDEX",1987-12-31,3.9857,"TOT RETURN INDEX GROSS DVDS","Tailandia","Price TR"
"MXTH INDEX",1988-01-29,4.5681,"TOT RETURN INDEX GROSS DVDS","Tailandia","Price TR"
"MXTH INDEX",1988-02-29,5.3712,"TOT RETURN INDEX GROSS DVDS","Tailandia","Price TR"
"MXTH INDEX",1988-03-31,5.5773,"TOT RETURN INDEX GROSS DVDS","Tailandia","Price TR"
"MXTH INDEX",1988-04-29,6.1061,"TOT RETURN INDEX GROSS DVDS","Tailandia","Price TR"
"MXTH INDEX",1988-05-31,6.205,"TOT RETURN INDEX GROSS DVDS","Tailandia","Price TR"
"MXTH INDEX",1988-06-30,6.5971,"TOT RETURN INDEX GROSS DVDS","Tailandia","Price TR"
"MXTH INDEX",1988-07-29,6.7501,"TOT RETURN INDEX GROSS DVDS","Tailandia","Price TR"
"MXTH INDEX",1988-08-31,6.4259,"TOT RETURN INDEX GROSS DVDS","Tailandia","Price TR"
"MXTH INDEX",1988-09-30,6.5409,"TOT RETURN INDEX GROSS DVDS","Tailandia","Price TR"
"MXTH INDEX",1988-10-31,6.2597,"TOT RETURN INDEX GROSS DVDS","Tailandia","Price TR"
"MXTH INDEX",1988-11-30,5.8363,"TOT RETURN INDEX GROSS DVDS","Tailandia","Price TR"
"MXTH INDEX",1988-12-30,5.6627,"TOT RETURN INDEX GROSS DVDS","Tailandia","Price TR"
"MXTH INDEX",1989-01-31,6.2486,"TOT RETURN INDEX GROSS DVDS","Tailandia","Price TR"
"MXTH INDEX",1989-02-28,6.2104,"TOT RETURN INDEX GROSS DVDS","Tailandia","Price TR"
"MXTH INDEX",1989-03-31,6.1305,"TOT RETURN INDEX GROSS DVDS","Tailandia","Price TR"
"MXTH INDEX",1989-04-28,6.933,"TOT RETURN INDEX GROSS DVDS","Tailandia","Price TR"
"MXTH INDEX",1989-05-31,7.4821,"TOT RETURN INDEX GROSS DVDS","Tailandia","Price TR"
"MXTH INDEX",1989-06-30,8.0378,"TOT RETURN INDEX GROSS DVDS","Tailandia","Price TR"
"MXTH INDEX",1989-07-31,8.135,"TOT RETURN INDEX GROSS DVDS","Tailandia","Price TR"
"MXTH INDEX",1989-08-31,8.9067,"TOT RETURN INDEX GROSS DVDS","Tailandia","Price TR"
"MXTH INDEX",1989-09-29,9.0424,"TOT RETURN INDEX GROSS DVDS","Tailandia","Price TR"
"MXTH INDEX",1989-10-31,9.2426,"TOT RETURN INDEX GROSS DVDS","Tailandia","Price TR"
"MXTH INDEX",1989-11-30,10.5329,"TOT RETURN INDEX GROSS DVDS","Tailandia","Price TR"
"MXTH INDEX",1989-12-29,11.6471,"TOT RETURN INDEX GROSS DVDS","Tailandia","Price TR"
"MXTH INDEX",1990-01-31,11.3278,"TOT RETURN INDEX GROSS DVDS","Tailandia","Price TR"
"MXTH INDEX",1990-02-28,10.595,"TOT RETURN INDEX GROSS DVDS","Tailandia","Price TR"
"MXTH INDEX",1990-03-30,10.9473,"TOT RETURN INDEX GROSS DVDS","Tailandia","Price TR"
"MXTH INDEX",1990-04-30,10.9627,"TOT RETURN INDEX GROSS DVDS","Tailandia","Price TR"
"MXTH INDEX",1990-05-31,12.6963,"TOT RETURN INDEX GROSS DVDS","Tailandia","Price TR"
"MXTH INDEX",1990-06-29,13.3568,"TOT RETURN INDEX GROSS DVDS","Tailandia","Price TR"
"MXTH INDEX",1990-07-31,14.2563,"TOT RETURN INDEX GROSS DVDS","Tailandia","Price TR"
"MXTH INDEX",1990-08-31,11.2804,"TOT RETURN INDEX GROSS DVDS","Tailandia","Price TR"
"MXTH INDEX",1990-09-28,8.4081,"TOT RETURN INDEX GROSS DVDS","Tailandia","Price TR"
"MXTH INDEX",1990-10-31,8.4129,"TOT RETURN INDEX GROSS DVDS","Tailandia","Price TR"
"MXTH INDEX",1990-11-30,7.2582,"TOT RETURN INDEX GROSS DVDS","Tailandia","Price TR"
"MXTH INDEX",1990-12-31,8.1632,"TOT RETURN INDEX GROSS DVDS","Tailandia","Price TR"
"MXTH INDEX",1991-01-31,8.9936,"TOT RETURN INDEX GROSS DVDS","Tailandia","Price TR"
"MXTH INDEX",1991-02-28,10.4824,"TOT RETURN INDEX GROSS DVDS","Tailandia","Price TR"
"MXTH INDEX",1991-03-29,11.4105,"TOT RETURN INDEX GROSS DVDS","Tailandia","Price TR"
"MXTH INDEX",1991-04-30,11.2832,"TOT RETURN INDEX GROSS DVDS","Tailandia","Price TR"
"MXTH INDEX",1991-05-31,10.2295,"TOT RETURN INDEX GROSS DVDS","Tailandia","Price TR"
"MXTH INDEX",1991-06-28,9.6673,"TOT RETURN INDEX GROSS DVDS","Tailandia","Price TR"
"MXTH INDEX",1991-07-31,9.3635,"TOT RETURN INDEX GROSS DVDS","Tailandia","Price TR"
"MXTH INDEX",1991-08-30,9.1656,"TOT RETURN INDEX GROSS DVDS","Tailandia","Price TR"
"MXTH INDEX",1991-09-30,8.7767,"TOT RETURN INDEX GROSS DVDS","Tailandia","Price TR"
"MXTH INDEX",1991-10-31,8.3474,"TOT RETURN INDEX GROSS DVDS","Tailandia","Price TR"
"MXTH INDEX",1991-11-29,8.905,"TOT RETURN INDEX GROSS DVDS","Tailandia","Price TR"
"MXTH INDEX",1991-12-31,9.6106,"TOT RETURN INDEX GROSS DVDS","Tailandia","Price TR"
