"ticker","date","value","field","variable"
"MXWD Index",1987-12-31,100,"TOT RETURN INDEX GROSS DVDS","Mundo"
"MXWD Index",1988-01-29,102.33,"TOT RETURN INDEX GROSS DVDS","Mundo"
"MXWD Index",1988-02-29,108.07,"TOT RETURN INDEX GROSS DVDS","Mundo"
"MXWD Index",1988-03-31,111.22,"TOT RETURN INDEX GROSS DVDS","Mundo"
"MXWD Index",1988-04-29,112.45,"TOT RETURN INDEX GROSS DVDS","Mundo"
"MXWD Index",1988-05-31,110.04,"TOT RETURN INDEX GROSS DVDS","Mundo"
"MXWD Index",1988-06-30,109.75,"TOT RETURN INDEX GROSS DVDS","Mundo"
"MXWD Index",1988-07-29,111.59,"TOT RETURN INDEX GROSS DVDS","Mundo"
"MXWD Index",1988-08-31,105.28,"TOT RETURN INDEX GROSS DVDS","Mundo"
"MXWD Index",1988-09-30,109.62,"TOT RETURN INDEX GROSS DVDS","Mundo"
"MXWD Index",1988-10-31,116.6,"TOT RETURN INDEX GROSS DVDS","Mundo"
"MXWD Index",1988-11-30,120.31,"TOT RETURN INDEX GROSS DVDS","Mundo"
"MXWD Index",1988-12-30,121.2,"TOT RETURN INDEX GROSS DVDS","Mundo"
"MXWD Index",1989-01-31,125.37,"TOT RETURN INDEX GROSS DVDS","Mundo"
"MXWD Index",1989-02-28,124.41,"TOT RETURN INDEX GROSS DVDS","Mundo"
"MXWD Index",1989-03-31,123.5,"TOT RETURN INDEX GROSS DVDS","Mundo"
"MXWD Index",1989-04-28,126.37,"TOT RETURN INDEX GROSS DVDS","Mundo"
"MXWD Index",1989-05-31,123.16,"TOT RETURN INDEX GROSS DVDS","Mundo"
"MXWD Index",1989-06-30,121.23,"TOT RETURN INDEX GROSS DVDS","Mundo"
"MXWD Index",1989-07-31,134.69,"TOT RETURN INDEX GROSS DVDS","Mundo"
"MXWD Index",1989-08-31,131.3,"TOT RETURN INDEX GROSS DVDS","Mundo"
"MXWD Index",1989-09-29,135.04,"TOT RETURN INDEX GROSS DVDS","Mundo"
"MXWD Index",1989-10-31,130.46,"TOT RETURN INDEX GROSS DVDS","Mundo"
"MXWD Index",1989-11-30,135.36,"TOT RETURN INDEX GROSS DVDS","Mundo"
"MXWD Index",1989-12-29,139.57,"TOT RETURN INDEX GROSS DVDS","Mundo"
"MXWD Index",1990-01-31,132.91,"TOT RETURN INDEX GROSS DVDS","Mundo"
"MXWD Index",1990-02-28,127.09,"TOT RETURN INDEX GROSS DVDS","Mundo"
"MXWD Index",1990-03-30,119,"TOT RETURN INDEX GROSS DVDS","Mundo"
"MXWD Index",1990-04-30,117.24,"TOT RETURN INDEX GROSS DVDS","Mundo"
"MXWD Index",1990-05-31,129.24,"TOT RETURN INDEX GROSS DVDS","Mundo"
"MXWD Index",1990-06-29,128.12,"TOT RETURN INDEX GROSS DVDS","Mundo"
"MXWD Index",1990-07-31,129.16,"TOT RETURN INDEX GROSS DVDS","Mundo"
"MXWD Index",1990-08-31,116.75,"TOT RETURN INDEX GROSS DVDS","Mundo"
"MXWD Index",1990-09-28,104.28,"TOT RETURN INDEX GROSS DVDS","Mundo"
"MXWD Index",1990-10-31,113.62,"TOT RETURN INDEX GROSS DVDS","Mundo"
"MXWD Index",1990-11-30,111.44,"TOT RETURN INDEX GROSS DVDS","Mundo"
"MXWD Index",1990-12-31,113.56,"TOT RETURN INDEX GROSS DVDS","Mundo"
"MXWD Index",1991-01-31,117.5,"TOT RETURN INDEX GROSS DVDS","Mundo"
