"ticker","date","value","field","variable","nice_field"
"SPGSCITR Index",1970-01-30,101.78,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1970-02-27,104.86,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1970-03-31,106.38,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1970-04-30,106.05,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1970-05-29,102.9,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1970-06-30,110.2,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1970-07-31,109.07,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1970-08-31,114.63,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1970-09-30,116.07,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1970-10-30,115.66,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1970-11-30,114.07,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1970-12-31,115.1,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1971-01-29,120.95,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1971-02-26,119.78,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1971-03-31,121.03,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1971-04-30,121.79,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1971-05-31,126.28,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1971-06-30,125,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1971-07-30,125.84,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1971-08-31,125.27,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1971-09-30,125.26,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1971-10-29,131.06,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1971-11-30,134.5,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1971-12-31,139.36,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1972-01-31,144.75,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1972-02-29,144.35,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1972-03-31,146.26,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1972-04-28,150.54,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1972-05-31,154.06,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1972-06-30,158.14,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1972-07-31,156.71,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1972-08-31,166.07,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1972-09-29,178.64,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1972-10-31,176.83,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1972-11-30,183.79,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1972-12-29,198.49,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1973-01-31,205.27,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1973-02-28,214.17,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1973-03-30,209.07,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1973-04-30,221.69,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1973-05-31,262.12,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1973-06-29,257.68,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1973-07-31,324.09,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1973-08-31,332.06,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1973-09-28,315.38,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1973-10-31,298.56,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1973-11-30,314.19,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1973-12-31,347.27,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1974-01-31,386.02,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1974-02-28,383.97,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1974-03-29,339.78,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1974-04-30,343.54,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1974-05-31,320.3,"PX LAST","Commodities TR","Price TR"
