"ticker","date","value","field","variable"
"SPX INDEX",1927-12-30,17.66,"PX LAST","Estados Unidos"
"SPX INDEX",1928-01-31,17.57,"PX LAST","Estados Unidos"
"SPX INDEX",1928-02-29,17.26,"PX LAST","Estados Unidos"
"SPX INDEX",1928-03-30,19.28,"PX LAST","Estados Unidos"
"SPX INDEX",1928-04-30,19.75,"PX LAST","Estados Unidos"
"SPX INDEX",1928-05-31,20,"PX LAST","Estados Unidos"
"SPX INDEX",1928-06-29,19.14,"PX LAST","Estados Unidos"
"SPX INDEX",1928-07-31,19.43,"PX LAST","Estados Unidos"
"SPX INDEX",1928-08-31,20.87,"PX LAST","Estados Unidos"
"SPX INDEX",1928-09-28,21.14,"PX LAST","Estados Unidos"
"SPX INDEX",1928-10-31,21.68,"PX LAST","Estados Unidos"
"SPX INDEX",1928-11-30,24.28,"PX LAST","Estados Unidos"
"SPX INDEX",1928-12-31,24.35,"PX LAST","Estados Unidos"
"SPX INDEX",1929-01-31,25.74,"PX LAST","Estados Unidos"
"SPX INDEX",1929-02-28,25.59,"PX LAST","Estados Unidos"
"SPX INDEX",1929-03-29,25.53,"PX LAST","Estados Unidos"
"SPX INDEX",1929-04-30,25.94,"PX LAST","Estados Unidos"
"SPX INDEX",1929-05-31,24.83,"PX LAST","Estados Unidos"
"SPX INDEX",1929-06-28,27.41,"PX LAST","Estados Unidos"
"SPX INDEX",1929-07-31,28.88,"PX LAST","Estados Unidos"
"SPX INDEX",1929-08-30,31.71,"PX LAST","Estados Unidos"
"SPX INDEX",1929-09-30,30.16,"PX LAST","Estados Unidos"
"SPX INDEX",1929-10-31,24.15,"PX LAST","Estados Unidos"
"SPX INDEX",1929-11-29,20.92,"PX LAST","Estados Unidos"
"SPX INDEX",1929-12-31,21.45,"PX LAST","Estados Unidos"
"SPX INDEX",1930-01-31,22.79,"PX LAST","Estados Unidos"
"SPX INDEX",1930-02-28,23.28,"PX LAST","Estados Unidos"
"SPX INDEX",1930-03-31,25.14,"PX LAST","Estados Unidos"
"SPX INDEX",1930-04-30,24.9,"PX LAST","Estados Unidos"
"SPX INDEX",1930-05-30,24.49,"PX LAST","Estados Unidos"
"SPX INDEX",1930-06-30,20.46,"PX LAST","Estados Unidos"
"SPX INDEX",1930-07-31,21.21,"PX LAST","Estados Unidos"
"SPX INDEX",1930-08-29,21.37,"PX LAST","Estados Unidos"
"SPX INDEX",1930-09-30,18.59,"PX LAST","Estados Unidos"
"SPX INDEX",1930-10-31,16.94,"PX LAST","Estados Unidos"
"SPX INDEX",1930-11-28,16.38,"PX LAST","Estados Unidos"
"SPX INDEX",1930-12-31,15.34,"PX LAST","Estados Unidos"
"SPX INDEX",1931-01-30,16.19,"PX LAST","Estados Unidos"
"SPX INDEX",1931-02-27,18.03,"PX LAST","Estados Unidos"
"SPX INDEX",1931-03-31,16.69,"PX LAST","Estados Unidos"
"SPX INDEX",1931-04-30,15.09,"PX LAST","Estados Unidos"
"SPX INDEX",1931-05-29,13.02,"PX LAST","Estados Unidos"
"SPX INDEX",1931-06-30,14.83,"PX LAST","Estados Unidos"
"SPX INDEX",1931-07-31,13.73,"PX LAST","Estados Unidos"
"SPX INDEX",1931-08-31,13.86,"PX LAST","Estados Unidos"
"SPX INDEX",1931-09-30,9.71,"PX LAST","Estados Unidos"
"SPX INDEX",1931-10-30,10.43,"PX LAST","Estados Unidos"
"SPX INDEX",1931-11-30,9.5,"PX LAST","Estados Unidos"
"SPX INDEX",1931-12-31,8.12,"PX LAST","Estados Unidos"
"SPX INDEX",1932-01-29,7.94,"PX LAST","Estados Unidos"
"SPX INDEX",1932-02-29,8.29,"PX LAST","Estados Unidos"
"SPX INDEX",1932-03-31,7.31,"PX LAST","Estados Unidos"
"SPX INDEX",1932-04-29,5.83,"PX LAST","Estados Unidos"
"SPX INDEX",1932-05-31,4.47,"PX LAST","Estados Unidos"
"SPX INDEX",1932-06-30,4.43,"PX LAST","Estados Unidos"
"SPX INDEX",1932-07-29,6.03,"PX LAST","Estados Unidos"
"SPX INDEX",1932-08-31,8.39,"PX LAST","Estados Unidos"
"SPX INDEX",1932-09-30,8.08,"PX LAST","Estados Unidos"
"SPX INDEX",1932-10-31,6.96,"PX LAST","Estados Unidos"
"SPX INDEX",1932-11-30,6.55,"PX LAST","Estados Unidos"
"SPX INDEX",1932-12-30,6.92,"PX LAST","Estados Unidos"
"SPX INDEX",1933-01-31,6.94,"PX LAST","Estados Unidos"
"SPX INDEX",1933-02-28,5.66,"PX LAST","Estados Unidos"
"SPX INDEX",1933-03-31,5.85,"PX LAST","Estados Unidos"
"SPX INDEX",1933-04-28,7.83,"PX LAST","Estados Unidos"
"SPX INDEX",1933-05-31,9.64,"PX LAST","Estados Unidos"
"SPX INDEX",1933-06-30,10.91,"PX LAST","Estados Unidos"
"SPX INDEX",1933-07-31,9.95,"PX LAST","Estados Unidos"
"SPX INDEX",1933-08-31,11.09,"PX LAST","Estados Unidos"
"SPX INDEX",1933-09-29,9.72,"PX LAST","Estados Unidos"
"SPX INDEX",1933-10-31,8.96,"PX LAST","Estados Unidos"
"SPX INDEX",1933-11-30,9.88,"PX LAST","Estados Unidos"
"SPX INDEX",1933-12-29,9.97,"PX LAST","Estados Unidos"
"SPX INDEX",1934-01-31,11.17,"PX LAST","Estados Unidos"
"SPX INDEX",1934-02-28,10.76,"PX LAST","Estados Unidos"
"SPX INDEX",1934-03-30,10.62,"PX LAST","Estados Unidos"
"SPX INDEX",1934-04-30,10.46,"PX LAST","Estados Unidos"
"SPX INDEX",1934-05-31,9.61,"PX LAST","Estados Unidos"
"SPX INDEX",1934-06-29,9.81,"PX LAST","Estados Unidos"
"SPX INDEX",1934-07-31,8.68,"PX LAST","Estados Unidos"
"SPX INDEX",1934-08-31,9.15,"PX LAST","Estados Unidos"
"SPX INDEX",1934-09-28,9.08,"PX LAST","Estados Unidos"
"SPX INDEX",1934-10-31,8.81,"PX LAST","Estados Unidos"
"SPX INDEX",1934-11-30,9.54,"PX LAST","Estados Unidos"
"SPX INDEX",1934-12-31,9.5,"PX LAST","Estados Unidos"
"SPX INDEX",1935-01-31,9.1,"PX LAST","Estados Unidos"
"SPX INDEX",1935-02-28,8.74,"PX LAST","Estados Unidos"
"SPX INDEX",1935-03-29,8.45,"PX LAST","Estados Unidos"
"SPX INDEX",1935-04-30,9.28,"PX LAST","Estados Unidos"
"SPX INDEX",1935-05-31,9.58,"PX LAST","Estados Unidos"
"SPX INDEX",1935-06-28,10.24,"PX LAST","Estados Unidos"
