"ticker","date","value","field","variable"
"SPX INDEX",1990-05-31,2.1588,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1990-06-29,2.1402,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1990-07-31,2.1279,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1990-08-31,1.8268,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1990-09-28,1.7345,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1990-10-31,1.7274,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1990-11-30,1.826,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1990-12-31,1.8648,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1991-01-31,1.9339,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1991-02-28,2.0559,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1991-03-29,2.0996,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1991-04-30,2.0814,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1991-05-31,2.1541,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1991-06-28,2.0544,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1991-07-31,2.14,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1991-08-30,2.1723,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1991-09-30,2.1348,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1991-10-31,2.1612,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1991-11-29,2.0834,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1991-12-31,2.313,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1992-01-31,2.2574,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1992-02-28,2.2749,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1992-03-31,2.2408,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1992-04-30,2.2873,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1992-05-29,2.2709,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1992-06-30,2.231,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1992-07-31,2.3109,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1992-08-31,2.2004,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1992-09-30,2.2198,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1992-10-30,2.2148,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1992-11-30,2.2855,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1992-12-31,2.3183,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1993-01-29,2.3166,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1993-02-26,2.3408,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1993-03-31,2.391,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1993-04-30,2.5312,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1993-05-31,2.5808,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1993-06-30,2.5797,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1993-07-30,2.5659,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1993-08-31,2.6431,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1993-09-30,2.6195,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1993-10-29,2.6636,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1993-11-30,2.5732,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1993-12-31,2.5988,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1994-01-31,2.6858,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1994-02-28,2.5975,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1994-03-31,2.5053,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1994-04-29,2.4908,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1994-05-31,2.4813,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1994-06-30,2.4159,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1994-07-29,2.4911,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1994-08-31,2.5493,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1994-09-30,2.4851,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1994-10-31,2.5508,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1994-11-30,2.3946,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1994-12-30,2.4212,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1995-01-31,2.4784,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1995-02-28,2.5657,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1995-03-31,2.6431,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1995-04-28,2.5906,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1995-05-31,2.6661,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1995-06-30,2.7219,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1995-07-31,2.8162,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1995-08-31,2.6914,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1995-09-29,2.8449,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1995-10-31,2.8446,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1995-11-30,2.8929,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1995-12-29,2.9284,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1996-01-31,3.0306,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1996-02-29,3.0516,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1996-03-29,3.1047,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1996-04-30,3.1082,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1996-05-31,3.088,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1996-06-28,3.0878,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1996-07-31,2.9549,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1996-08-30,2.8895,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1996-09-30,3.0994,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1996-10-31,3.1797,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1996-11-29,3.355,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1996-12-31,3.2722,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1997-01-31,3.474,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1997-02-28,3.4946,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1997-03-31,3.2347,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1997-04-30,3.402,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1997-05-30,3.5693,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1997-06-30,3.7062,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1997-07-31,4.0076,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1997-08-29,3.5963,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1997-09-30,3.8278,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1997-10-31,3.7229,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1997-11-28,3.7968,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1997-12-31,3.8568,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1998-01-30,3.9014,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1998-02-27,4.1762,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1998-03-31,4.2622,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1998-04-30,4.2996,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1998-05-29,4.2348,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1998-06-30,4.3828,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1998-07-31,4.3461,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1998-08-31,3.6756,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1998-09-30,3.9161,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1998-10-30,4.24,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1998-11-30,4.2953,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1998-12-31,4.5293,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1999-01-29,4.7054,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1999-02-26,4.6085,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1999-03-31,4.7539,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1999-04-30,4.9698,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1999-05-31,4.6357,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1999-06-30,4.8469,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1999-07-30,4.7053,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1999-08-31,4.5661,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1999-09-30,4.4877,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1999-10-29,4.7763,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1999-11-30,4.8213,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",1999-12-31,5.0988,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",2000-01-31,4.8434,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",2000-02-29,4.8254,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",2000-03-31,4.935,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",2000-04-28,4.814,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",2000-05-31,4.6486,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",2000-06-30,4.7498,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",2000-07-31,4.6869,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",2000-08-31,4.7907,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",2000-09-29,4.5775,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",2000-10-31,4.5587,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",2000-11-30,4.1077,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",2000-12-29,4.1197,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",2001-01-31,4.2957,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",2001-02-28,3.935,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",2001-03-30,3.6007,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",2001-04-30,3.8477,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",2001-05-31,3.6549,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",2001-06-29,3.5516,"PX TO BOOK RATIO","Estados Unidos"
"SPX INDEX",2001-07-31,3.5305,"PX TO BOOK RATIO","Estados Unidos"
