"ticker","date","value","field","variable"
"SPX INDEX",1927-12-30,17.66,"TOT RETURN INDEX GROSS DVDS","Estados Unidos"
"SPX INDEX",1928-01-31,17.57,"TOT RETURN INDEX GROSS DVDS","Estados Unidos"
"SPX INDEX",1928-02-29,17.26,"TOT RETURN INDEX GROSS DVDS","Estados Unidos"
"SPX INDEX",1928-03-30,19.28,"TOT RETURN INDEX GROSS DVDS","Estados Unidos"
"SPX INDEX",1928-04-30,19.75,"TOT RETURN INDEX GROSS DVDS","Estados Unidos"
"SPX INDEX",1928-05-31,20,"TOT RETURN INDEX GROSS DVDS","Estados Unidos"
"SPX INDEX",1928-06-29,19.14,"TOT RETURN INDEX GROSS DVDS","Estados Unidos"
"SPX INDEX",1928-07-31,19.43,"TOT RETURN INDEX GROSS DVDS","Estados Unidos"
"SPX INDEX",1928-08-31,20.87,"TOT RETURN INDEX GROSS DVDS","Estados Unidos"
"SPX INDEX",1928-09-28,21.14,"TOT RETURN INDEX GROSS DVDS","Estados Unidos"
"SPX INDEX",1928-10-31,21.68,"TOT RETURN INDEX GROSS DVDS","Estados Unidos"
"SPX INDEX",1928-11-30,24.28,"TOT RETURN INDEX GROSS DVDS","Estados Unidos"
"SPX INDEX",1928-12-31,24.35,"TOT RETURN INDEX GROSS DVDS","Estados Unidos"
"SPX INDEX",1929-01-31,25.74,"TOT RETURN INDEX GROSS DVDS","Estados Unidos"
"SPX INDEX",1929-02-28,25.59,"TOT RETURN INDEX GROSS DVDS","Estados Unidos"
"SPX INDEX",1929-03-29,25.53,"TOT RETURN INDEX GROSS DVDS","Estados Unidos"
"SPX INDEX",1929-04-30,25.94,"TOT RETURN INDEX GROSS DVDS","Estados Unidos"
"SPX INDEX",1929-05-31,24.83,"TOT RETURN INDEX GROSS DVDS","Estados Unidos"
"SPX INDEX",1929-06-28,27.41,"TOT RETURN INDEX GROSS DVDS","Estados Unidos"
"SPX INDEX",1929-07-31,28.88,"TOT RETURN INDEX GROSS DVDS","Estados Unidos"
"SPX INDEX",1929-08-30,31.71,"TOT RETURN INDEX GROSS DVDS","Estados Unidos"
