"ticker","date","value","field","variable"
"USCRWTIC Index",1983-05-31,30.25,"PX LAST","WTI Spot"
"USCRWTIC Index",1983-06-30,31.35,"PX LAST","WTI Spot"
"USCRWTIC Index",1983-07-29,32,"PX LAST","WTI Spot"
"USCRWTIC Index",1983-08-31,31.65,"PX LAST","WTI Spot"
"USCRWTIC Index",1983-09-30,30.35,"PX LAST","WTI Spot"
"USCRWTIC Index",1983-10-31,30.35,"PX LAST","WTI Spot"
"USCRWTIC Index",1983-11-30,29.2,"PX LAST","WTI Spot"
"USCRWTIC Index",1983-12-30,29.65,"PX LAST","WTI Spot"
"USCRWTIC Index",1984-01-31,29.95,"PX LAST","WTI Spot"
"USCRWTIC Index",1984-02-29,30.45,"PX LAST","WTI Spot"
"USCRWTIC Index",1984-03-30,30.8,"PX LAST","WTI Spot"
"USCRWTIC Index",1984-04-30,30.25,"PX LAST","WTI Spot"
"USCRWTIC Index",1984-05-31,30.84,"PX LAST","WTI Spot"
"USCRWTIC Index",1984-06-29,29.77,"PX LAST","WTI Spot"
"USCRWTIC Index",1984-07-31,27.6,"PX LAST","WTI Spot"
"USCRWTIC Index",1984-08-31,29.25,"PX LAST","WTI Spot"
"USCRWTIC Index",1984-09-28,29.66,"PX LAST","WTI Spot"
"USCRWTIC Index",1984-10-31,28.47,"PX LAST","WTI Spot"
"USCRWTIC Index",1984-11-30,27.33,"PX LAST","WTI Spot"
"USCRWTIC Index",1984-12-31,26.42,"PX LAST","WTI Spot"
"USCRWTIC Index",1985-01-31,26.38,"PX LAST","WTI Spot"
"USCRWTIC Index",1985-02-28,26.2,"PX LAST","WTI Spot"
"USCRWTIC Index",1985-03-29,28.29,"PX LAST","WTI Spot"
"USCRWTIC Index",1985-04-30,27.65,"PX LAST","WTI Spot"
"USCRWTIC Index",1985-05-31,27.82,"PX LAST","WTI Spot"
"USCRWTIC Index",1985-06-28,26.85,"PX LAST","WTI Spot"
"USCRWTIC Index",1985-07-31,27.1,"PX LAST","WTI Spot"
"USCRWTIC Index",1985-08-30,28,"PX LAST","WTI Spot"
"USCRWTIC Index",1985-09-30,28.89,"PX LAST","WTI Spot"
"USCRWTIC Index",1985-10-31,30.4,"PX LAST","WTI Spot"
"USCRWTIC Index",1985-11-29,29.73,"PX LAST","WTI Spot"
"USCRWTIC Index",1985-12-31,26.35,"PX LAST","WTI Spot"
"USCRWTIC Index",1986-01-31,19.66,"PX LAST","WTI Spot"
"USCRWTIC Index",1986-02-28,13.23,"PX LAST","WTI Spot"
"USCRWTIC Index",1986-03-31,10.4,"PX LAST","WTI Spot"
"USCRWTIC Index",1986-04-30,13.34,"PX LAST","WTI Spot"
"USCRWTIC Index",1986-05-30,14.25,"PX LAST","WTI Spot"
"USCRWTIC Index",1986-06-30,13.85,"PX LAST","WTI Spot"
"USCRWTIC Index",1986-07-31,11.15,"PX LAST","WTI Spot"
"USCRWTIC Index",1986-08-29,15.9,"PX LAST","WTI Spot"
"USCRWTIC Index",1986-09-30,14.75,"PX LAST","WTI Spot"
"USCRWTIC Index",1986-10-31,15.28,"PX LAST","WTI Spot"
"USCRWTIC Index",1986-11-28,15,"PX LAST","WTI Spot"
"USCRWTIC Index",1986-12-31,18,"PX LAST","WTI Spot"
"USCRWTIC Index",1987-01-30,18.75,"PX LAST","WTI Spot"
"USCRWTIC Index",1987-02-27,16.57,"PX LAST","WTI Spot"
"USCRWTIC Index",1987-03-31,18.8,"PX LAST","WTI Spot"
"USCRWTIC Index",1987-04-30,18.73,"PX LAST","WTI Spot"
"USCRWTIC Index",1987-05-29,19.38,"PX LAST","WTI Spot"
"USCRWTIC Index",1987-06-30,20.29,"PX LAST","WTI Spot"
"USCRWTIC Index",1987-07-31,21.37,"PX LAST","WTI Spot"
"USCRWTIC Index",1987-08-31,19.73,"PX LAST","WTI Spot"
"USCRWTIC Index",1987-09-30,19.59,"PX LAST","WTI Spot"
"USCRWTIC Index",1987-10-30,19.96,"PX LAST","WTI Spot"
"USCRWTIC Index",1987-11-30,18.51,"PX LAST","WTI Spot"
"USCRWTIC Index",1987-12-31,16.7,"PX LAST","WTI Spot"
"USCRWTIC Index",1988-01-29,16.94,"PX LAST","WTI Spot"
"USCRWTIC Index",1988-02-29,16.01,"PX LAST","WTI Spot"
"USCRWTIC Index",1988-03-31,17.08,"PX LAST","WTI Spot"
"USCRWTIC Index",1988-04-29,17.99,"PX LAST","WTI Spot"
"USCRWTIC Index",1988-05-31,17.43,"PX LAST","WTI Spot"
"USCRWTIC Index",1988-06-30,15.16,"PX LAST","WTI Spot"
"USCRWTIC Index",1988-07-29,16.31,"PX LAST","WTI Spot"
"USCRWTIC Index",1988-08-31,15.18,"PX LAST","WTI Spot"
"USCRWTIC Index",1988-09-30,13.37,"PX LAST","WTI Spot"
"USCRWTIC Index",1988-10-31,13.58,"PX LAST","WTI Spot"
"USCRWTIC Index",1988-11-30,15.32,"PX LAST","WTI Spot"
"USCRWTIC Index",1988-12-30,17,"PX LAST","WTI Spot"
"USCRWTIC Index",1989-01-31,17.03,"PX LAST","WTI Spot"
"USCRWTIC Index",1989-02-28,18.15,"PX LAST","WTI Spot"
"USCRWTIC Index",1989-03-31,21.38,"PX LAST","WTI Spot"
"USCRWTIC Index",1989-04-28,20.42,"PX LAST","WTI Spot"
"USCRWTIC Index",1989-05-31,19.9,"PX LAST","WTI Spot"
"USCRWTIC Index",1989-06-30,20.27,"PX LAST","WTI Spot"
"USCRWTIC Index",1989-07-31,18.31,"PX LAST","WTI Spot"
"USCRWTIC Index",1989-08-31,18.83,"PX LAST","WTI Spot"
"USCRWTIC Index",1989-09-29,20.13,"PX LAST","WTI Spot"
"USCRWTIC Index",1989-10-31,19.94,"PX LAST","WTI Spot"
"USCRWTIC Index",1989-11-30,19.89,"PX LAST","WTI Spot"
"USCRWTIC Index",1989-12-29,21.82,"PX LAST","WTI Spot"
"USCRWTIC Index",1990-01-31,22.28,"PX LAST","WTI Spot"
"USCRWTIC Index",1990-02-28,21.54,"PX LAST","WTI Spot"
"USCRWTIC Index",1990-03-30,20.03,"PX LAST","WTI Spot"
"USCRWTIC Index",1990-04-30,18.54,"PX LAST","WTI Spot"
"USCRWTIC Index",1990-05-31,17.4,"PX LAST","WTI Spot"
"USCRWTIC Index",1990-06-29,17.07,"PX LAST","WTI Spot"
"USCRWTIC Index",1990-07-31,20.69,"PX LAST","WTI Spot"
"USCRWTIC Index",1990-08-31,27.28,"PX LAST","WTI Spot"
"USCRWTIC Index",1990-09-28,39.6,"PX LAST","WTI Spot"
"USCRWTIC Index",1990-10-31,33.85,"PX LAST","WTI Spot"
"USCRWTIC Index",1990-11-30,30.9,"PX LAST","WTI Spot"
"USCRWTIC Index",1990-12-31,28.5,"PX LAST","WTI Spot"
"USCRWTIC Index",1991-01-31,21.6,"PX LAST","WTI Spot"
"USCRWTIC Index",1991-02-28,19.12,"PX LAST","WTI Spot"
"USCRWTIC Index",1991-03-29,19.6,"PX LAST","WTI Spot"
"USCRWTIC Index",1991-04-30,20.94,"PX LAST","WTI Spot"
"USCRWTIC Index",1991-05-31,21.13,"PX LAST","WTI Spot"
"USCRWTIC Index",1991-06-28,20.54,"PX LAST","WTI Spot"
