"ticker","date","value","field","variable"
"XLE US Equity",1998-12-31,12.6928,"PX LAST","Energy ETF"
"XLE US Equity",1999-01-29,11.8602,"PX LAST","Energy ETF"
"XLE US Equity",1999-02-26,11.7583,"PX LAST","Energy ETF"
"XLE US Equity",1999-03-31,13.4204,"PX LAST","Energy ETF"
"XLE US Equity",1999-04-30,15.407,"PX LAST","Energy ETF"
"XLE US Equity",1999-05-31,15.0745,"PX LAST","Energy ETF"
"XLE US Equity",1999-06-30,15.3824,"PX LAST","Energy ETF"
"XLE US Equity",1999-07-30,15.6737,"PX LAST","Energy ETF"
"XLE US Equity",1999-08-31,15.8451,"PX LAST","Energy ETF"
"XLE US Equity",1999-09-30,15.1166,"PX LAST","Energy ETF"
"XLE US Equity",1999-10-29,14.8928,"PX LAST","Energy ETF"
"XLE US Equity",1999-11-30,14.867,"PX LAST","Energy ETF"
"XLE US Equity",1999-12-31,14.9713,"PX LAST","Energy ETF"
"XLE US Equity",2000-01-31,15.0922,"PX LAST","Energy ETF"
"XLE US Equity",2000-02-29,14.4533,"PX LAST","Energy ETF"
"XLE US Equity",2000-03-31,16.2518,"PX LAST","Energy ETF"
"XLE US Equity",2000-04-28,16.0093,"PX LAST","Energy ETF"
"XLE US Equity",2000-05-31,17.8892,"PX LAST","Energy ETF"
"XLE US Equity",2000-06-30,16.9049,"PX LAST","Energy ETF"
"XLE US Equity",2000-07-31,16.2607,"PX LAST","Energy ETF"
"XLE US Equity",2000-08-31,18.0365,"PX LAST","Energy ETF"
"XLE US Equity",2000-09-29,18.333,"PX LAST","Energy ETF"
"XLE US Equity",2000-10-31,17.8347,"PX LAST","Energy ETF"
"XLE US Equity",2000-11-30,16.8992,"PX LAST","Energy ETF"
"XLE US Equity",2000-12-29,18.6247,"PX LAST","Energy ETF"
"XLE US Equity",2001-01-31,18.0312,"PX LAST","Energy ETF"
"XLE US Equity",2001-02-28,17.8123,"PX LAST","Energy ETF"
"XLE US Equity",2001-03-30,17.2807,"PX LAST","Energy ETF"
"XLE US Equity",2001-04-30,19.0651,"PX LAST","Energy ETF"
"XLE US Equity",2001-05-31,18.885,"PX LAST","Energy ETF"
"XLE US Equity",2001-06-29,17.164,"PX LAST","Energy ETF"
"XLE US Equity",2001-07-31,16.966,"PX LAST","Energy ETF"
"XLE US Equity",2001-08-31,16.2478,"PX LAST","Energy ETF"
"XLE US Equity",2001-09-28,14.6845,"PX LAST","Energy ETF"
"XLE US Equity",2001-10-31,15.276,"PX LAST","Energy ETF"
"XLE US Equity",2001-11-30,14.4229,"PX LAST","Energy ETF"
"XLE US Equity",2001-12-31,15.2473,"PX LAST","Energy ETF"
"XLE US Equity",2002-01-31,14.7048,"PX LAST","Energy ETF"
"XLE US Equity",2002-02-28,15.2073,"PX LAST","Energy ETF"
"XLE US Equity",2002-03-29,16.5535,"PX LAST","Energy ETF"
"XLE US Equity",2002-04-30,15.9576,"PX LAST","Energy ETF"
"XLE US Equity",2002-05-31,15.6768,"PX LAST","Energy ETF"
"XLE US Equity",2002-06-28,15.1025,"PX LAST","Energy ETF"
"XLE US Equity",2002-07-31,13.01,"PX LAST","Energy ETF"
"XLE US Equity",2002-08-30,13.206,"PX LAST","Energy ETF"
"XLE US Equity",2002-09-30,12.264,"PX LAST","Energy ETF"
"XLE US Equity",2002-10-31,12.49,"PX LAST","Energy ETF"
"XLE US Equity",2002-11-29,13.0059,"PX LAST","Energy ETF"
"XLE US Equity",2002-12-31,13.0086,"PX LAST","Energy ETF"
"XLE US Equity",2003-01-31,12.6823,"PX LAST","Energy ETF"
"XLE US Equity",2003-02-28,13.0552,"PX LAST","Energy ETF"
"XLE US Equity",2003-03-31,13.0714,"PX LAST","Energy ETF"
"XLE US Equity",2003-04-30,12.9601,"PX LAST","Energy ETF"
"XLE US Equity",2003-05-30,14.3363,"PX LAST","Energy ETF"
"XLE US Equity",2003-06-30,14.1523,"PX LAST","Energy ETF"
"XLE US Equity",2003-07-31,13.6521,"PX LAST","Energy ETF"
"XLE US Equity",2003-08-29,14.523,"PX LAST","Energy ETF"
"XLE US Equity",2003-09-30,14.2233,"PX LAST","Energy ETF"
"XLE US Equity",2003-10-31,14.3594,"PX LAST","Energy ETF"
"XLE US Equity",2003-11-28,14.4717,"PX LAST","Energy ETF"
"XLE US Equity",2003-12-31,16.3665,"PX LAST","Energy ETF"
"XLE US Equity",2004-01-30,16.7349,"PX LAST","Energy ETF"
"XLE US Equity",2004-02-27,17.6141,"PX LAST","Energy ETF"
"XLE US Equity",2004-03-31,17.5037,"PX LAST","Energy ETF"
"XLE US Equity",2004-04-30,17.802,"PX LAST","Energy ETF"
"XLE US Equity",2004-05-31,17.7483,"PX LAST","Energy ETF"
"XLE US Equity",2004-06-30,18.855,"PX LAST","Energy ETF"
"XLE US Equity",2004-07-30,19.436,"PX LAST","Energy ETF"
"XLE US Equity",2004-08-31,19.1365,"PX LAST","Energy ETF"
"XLE US Equity",2004-09-30,21.0049,"PX LAST","Energy ETF"
"XLE US Equity",2004-10-29,21.1312,"PX LAST","Energy ETF"
"XLE US Equity",2004-11-30,22.5563,"PX LAST","Energy ETF"
"XLE US Equity",2004-12-31,21.92,"PX LAST","Energy ETF"
"XLE US Equity",2005-01-31,22.6624,"PX LAST","Energy ETF"
"XLE US Equity",2005-02-28,26.4646,"PX LAST","Energy ETF"
"XLE US Equity",2005-03-31,25.9595,"PX LAST","Energy ETF"
"XLE US Equity",2005-04-29,24.5547,"PX LAST","Energy ETF"
"XLE US Equity",2005-05-31,25.2389,"PX LAST","Energy ETF"
"XLE US Equity",2005-06-30,27.0001,"PX LAST","Energy ETF"
"XLE US Equity",2005-07-29,28.9135,"PX LAST","Energy ETF"
"XLE US Equity",2005-08-31,30.7601,"PX LAST","Energy ETF"
"XLE US Equity",2005-09-30,32.6936,"PX LAST","Energy ETF"
"XLE US Equity",2005-10-31,29.7391,"PX LAST","Energy ETF"
"XLE US Equity",2005-11-30,30.1838,"PX LAST","Energy ETF"
"XLE US Equity",2005-12-30,30.7269,"PX LAST","Energy ETF"
"XLE US Equity",2006-01-31,35.2159,"PX LAST","Energy ETF"
"XLE US Equity",2006-02-28,31.9667,"PX LAST","Energy ETF"
"XLE US Equity",2006-03-31,33.3235,"PX LAST","Energy ETF"
"XLE US Equity",2006-04-28,35.002,"PX LAST","Energy ETF"
"XLE US Equity",2006-05-31,34.028,"PX LAST","Energy ETF"
"XLE US Equity",2006-06-30,34.892,"PX LAST","Energy ETF"
"XLE US Equity",2006-07-31,36.0602,"PX LAST","Energy ETF"
"XLE US Equity",2006-08-31,34.228,"PX LAST","Energy ETF"
"XLE US Equity",2006-09-29,32.9754,"PX LAST","Energy ETF"
"XLE US Equity",2006-10-31,34.382,"PX LAST","Energy ETF"
"XLE US Equity",2006-11-30,37.331,"PX LAST","Energy ETF"
"XLE US Equity",2006-12-29,36.279,"PX LAST","Energy ETF"
"XLE US Equity",2007-01-31,35.9449,"PX LAST","Energy ETF"
