"","date","value","source"
"1",1871-01-01,6.35,3
"2",1871-02-01,6.35,3
"3",1871-03-01,6.35,3
"4",1871-04-01,6.35,3
"5",1871-05-01,6.35,3
"6",1871-06-01,6.35,3
"7",1871-07-01,6.35,3
"8",1871-08-01,6.35,3
"9",1871-09-01,6.35,3
"10",1871-10-01,6.35,3
"11",1871-11-01,6.35,3
"12",1871-12-01,6.35,3
"13",1872-01-01,7.81,3
"14",1872-02-01,7.81,3
"15",1872-03-01,7.81,3
"16",1872-04-01,7.81,3
"17",1872-05-01,7.81,3
"18",1872-06-01,7.81,3
"19",1872-07-01,7.81,3
"20",1872-08-01,7.81,3
"21",1872-09-01,7.81,3
"22",1872-10-01,7.81,3
"23",1872-11-01,7.81,3
"24",1872-12-01,7.81,3
"25",1873-01-01,8.35,3
"26",1873-02-01,8.35,3
"27",1873-03-01,8.35,3
"28",1873-04-01,8.35,3
"29",1873-05-01,8.35,3
"30",1873-06-01,8.35,3
"31",1873-07-01,8.35,3
"32",1873-08-01,8.35,3
"33",1873-09-01,8.35,3
"34",1873-10-01,8.35,3
"35",1873-11-01,8.35,3
"36",1873-12-01,8.35,3
"37",1874-01-01,6.86,3
"38",1874-02-01,6.86,3
"39",1874-03-01,6.86,3
"40",1874-04-01,6.86,3
"41",1874-05-01,6.86,3
"42",1874-06-01,6.86,3
"43",1874-07-01,6.86,3
"44",1874-08-01,6.86,3
"45",1874-09-01,6.86,3
"46",1874-10-01,6.86,3
"47",1874-11-01,6.86,3
"48",1874-12-01,6.86,3
"49",1875-01-01,4.96,3
"50",1875-02-01,4.96,3
"51",1875-03-01,4.96,3
"52",1875-04-01,4.96,3
"53",1875-05-01,4.96,3
"54",1875-06-01,4.96,3
"55",1875-07-01,4.96,3
"56",1875-08-01,4.96,3
"57",1875-09-01,4.96,3
"58",1875-10-01,4.96,3
"59",1875-11-01,4.96,3
"60",1875-12-01,4.96,3
"61",1876-01-01,5.33,3
"62",1876-02-01,5.33,3
"63",1876-03-01,5.33,3
"64",1876-04-01,5.33,3
"65",1876-05-01,5.33,3
"66",1876-06-01,5.33,3
"67",1876-07-01,5.33,3
"68",1876-08-01,5.33,3
"69",1876-09-01,5.33,3
"70",1876-10-01,5.33,3
"71",1876-11-01,5.33,3
"72",1876-12-01,5.33,3
"73",1877-01-01,5.03,3
